AC118553.2	1	+	100016955	0.000282678	5
SLC35A3	1	+	100016957	0.000119306	5
SNIP1	1	-	37538007	0.000549753	6
CDHR5	11	-	616564	0.000256674	2
CNOT2	12	+	70294253,70294253	0.0166667,0.0166667	2,2
PPHLN1	12	+	42374796	0.0447761	6
SLC2A3	12	-	7919229	0.00183234	4
HSP90AA1	14	-	102082664	0.000733945	2
USP32	17	-	60249057	0.0030349	2
GRAMD1A	19	+	35013844	0.00829876	2
NLRP2	19	+	54976930	0.030303	2
AC068547.1	2	-	151802650	7.46324e-05	5
DUSP2	2	-	96143165	0.0106545	7
EGR4	2	-	73290928	0.00378788	2
NABP1	2	+	191682766	0.0116279	2
DHX36	3	-	154277624	0.000660066	2
HLA-A	6	+	29945583	0.015625	2
HLA-B	6	-	31353871	0.0114566	7
PHF1	6	+	33416412,33416450	0.0017452,0.00347222	2,2
DBF4	7	+	87885344	0.0111732	4
