AL713999.1	1	-	155169408	0.0012351	4
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320427	0.04	5
CDC42SE1	1	-	151050970	0.000915751	3
GSTM2	1	+	109675092	0.0234375	6
HP1BP3	1	-	20742660	0.00093633	2
LAPTM5	1	-	30732468	0.00367918	5
RPS27	1	+	153992144	0.0333919	19
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0205479	3
SSU72	1	-	1541672	0.00508906	2
UBXN11	1	-	26281327	0.00205973	2
ATP5F1C	10	+	7807719	0.00270636	2
CDC123	10	+	12250420	0.0240964	2
NUDT5	10	-	12167737	0.000642055	2
PAPSS2	10	+	87746173	0.0147783	3
RPS24	10	+	78040661	0.042552	2
AP001931.1	11	+	57742961	0.00672043	5
AP002990.1	11	-	62559602,62559708	0.00325855,0.000955453	48,14
C11orf98	11	-	62662815	0.0213675	5
CORO1B	11	-	67435509	0.000955292	5
FAU	11	-	65120627,65120874	0.0675676,0.00972447	5,6
LBHD1	11	-	62662816	0.0192308	6
LDHA	11	+	18398933	0.0601504	8
PTPMT1	11	+	47571651	0.00162047	2
PTPRCAP	11	-	67435509	0.0224215	5
RPS25	11	-	119015711,119017202	0.00202844,0.0101999	4,7
SELENOH	11	+	57742961	0.00672043	5
AC073610.2	12	-	48921962	0.00921659	2
ARHGDIB	12	-	14942016	0.00792079	4
BIN2	12	-	51281037	0.00433839	2
CD69	12	-	9752485	0.00201005	2
COX6A1	12	+	120440592	0.0363636	2
DYNLL1	12	+	120498232	0.019802	2
FKBP11	12	-	48921958	0.000747105	2
LDHB	12	-	21635341	0.015	3
M6PR	12	-	8940362	0.000625391	2
NACA	12	-	56712427,56712749	0.00658322,0.00819227	7,6
RPL41	12	+	56117645,56117820	0.0133132,0.13645	1,40
RPLP0	12	-	120196685	0.00111483	3
SLC2A3	12	-	7931350	0.00111732	1
SLC38A1	12	-	46183062	0.000338581	2
RPL21	13	+	27256335,27256507	0.0184034,0.0410834	2,9
AL928654.3	14	+	105488786	0.0393703	5
CRIP1	14	+	105488786	0.0393703	5
DEGS2	14	-	100143956	0.00069735	2
AC245033.1	15	-	82536787	0.00011632	2
