ESPN	1	+	6461282	0.0206186	2
DCLRE1C	10	-	14907878	0.0151229	8
AP002990.1	11	-	62559602	0.000721709	10
NMRAL1	16	-	4463742	0.000264096	1
RAB26	16	+	2151516	0.01	3
PTMA	2	+	231712035	0.00319489	2
DYNLRB1	20	+	34540744	0.00833333	1
PROCR	20	+	35216112	0.0333808	6
PARVG	22	+	44193128	0.00980392	10
GZMK	5	+	55034111	0.0162162	3
SERF1B	5	+	70030025	0.0472973	7
SQSTM1	5	+	179821833	0.0789474	21
TNFAIP8	5	+	119391628	0.0171429	3
HLA-A	6	+	29945620	0.0121212	2
HLA-C	6	-	31268748	0.00237154	6
KMT2E	7	+	105064305	0.00772201	2
C9orf78	9	-	129827289	0.00229621	2
TMSB4X	X	+	12977009	0.010101	2
