AGL	1	+	99852808	0.0243902	3
ASH1L	1	-	155481410,155493003	0.0002717,4.64573e-05	10,1
C1orf162	1	+	111478247	0.016129	2
CAPZB	1	-	19338775	0.000752634	3
CCT3	1	-	156308967	7.10757e-05	2
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320432	0.0538462	7
EIF3I	1	+	32231346	0.0133333	2
ELOVL1	1	-	43363396	0.00385356	2
GON4L	1	-	155749661	0.000192406	3
GTF2B	1	-	88852931	0.00711744	2
LAPTM5	1	-	30732468	0.00367918	5
MINOS1	1	+	19626486	0.0117647	1
NDUFS2	1	+	161214342	0.00997506	4
RPS27	1	+	153991676,153992149	0.3881,0.104721	39,18
SFPQ	1	-	35176377	0.00183486	3
SH3BGRL3	1	+	26281268	0.0105263	3
TAGLN2	1	-	159918106	0.004329	3
UQCRH	1	+	46316670	0.0378775	7
YBX1	1	+	42702218	0.00413254	4
NDUFB8	10	-	100523936	0.00090746	4
NSMCE4A	10	-	121957087	0.00088968	2
NUDT5	10	-	12167737	0.000642055	2
RPS24	10	+	78040677	0.0476149	4
AP002990.1	11	-	62559602	0.00687442	102
AP003419.1	11	-	67351571	0.0307329	13
ATP5MG	11	+	118409090	0.024387	5
CCDC85B	11	+	65891509	0.017094	2
COPB1	11	-	14457505	0.00628931	2
CORO1B	11	-	67435509	0.00324799	17
COX8A	11	+	63976522	0.00990099	2
CTSW	11	+	65883620	0.0247934	3
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120924	0.0806452,0.021164	10,12
HSPA8	11	-	123057488	0.0285714	7
IFITM1	11	+	315272	0.144654	23
IFITM2	11	+	315272	0.144654	23
PTPRCAP	11	-	67435509	0.0403587	9
RPS25	11	-	119015711,119015816,119017336	0.0102761,0.110833,0.0200188	7,25,12
UBXN1	11	-	62676497	0.00909091	2
UCP2	11	-	73974666	0.00486618	2
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.00606061	2
ATP5F1B	12	-	56638178	0.0208333	3
CD27	12	+	6451500	0.037037	4
CD69	12	-	9752485	0.00603015	6
CERS5	12	-	50129305	5.45941e-05	1
GPN3	12	-	110452483	0.00363636	2
HNRNPA1	12	+	54285031	0.00392836	2
KLRC4-KLRK1	12	-	10372352	8.49858e-05	3
KLRK1	12	-	10372352	0.00394218	2
LDHB	12	-	21635341	0.01	2
M6PR	12	-	8940362	0.000625391	2
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161572	0.00241741	3
NACA	12	-	56712427,56712728	0.039307,0.0255706	16,17
PHB2	12	-	6965351	0.00182315	2
PTPN6	12	+	6961134	0.00740741	2
RPL41	12	+	56117814	0.3	87
