AC114490.2	1	-	34981532	0.00251151	6
AKR7A2	1	-	19303964	0.00647249	2
AL713999.1	1	-	155169408	0.00218825	8
CAPZB	1	-	19338775	0.000501756	1
CD52	1	+	26320400	0.0204082	1
EIF3I	1	+	32231344	0.0135135	2
FAM69A	1	-	92842159	0.00327065	4
FCMR	1	-	206904385	0.000233945	2
JUN	1	-	58780787	0.00386296	4
RPL11	1	+	23695905,23696384	0.0357955,0.0447666	35,35
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991677,153992155	0.539216,0.120879	55,11
S100A11	1	-	152032505	0.0128205	2
S100A4	1	-	153543612	0.0136986	2
SELL	1	-	169690666	0.00268577	3
SFPQ	1	-	35182931	0.00853018	13
SSR2	1	-	156009047	0.000392734	4
STK40	1	-	36339623	0.000559441	2
TMEM35B	1	-	34981534	0.0146699	6
TMEM56-RWDD3	1	+	95247052	0.0274725	5
TPM3	1	-	154155303	0.000111857	2
CCNJ	10	+	96060736	0.00200401	5
NDUFB8	10	-	100523936	0.00107016	5
PDCD4	10	+	110898362	0.0182482	5
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040669	0.000741015	2
VIM	10	+	17236629	0.0088495	6
AP001931.1	11	+	57742939	0.0635621	6
AP002990.1	11	-	62559602	0.00665801	99
ATP5MG	11	+	118409089	0.0231174	5
CARD16	11	-	105041522	0.00149775	3
CHORDC1	11	-	90201159	0.00160643	2
CORO1B	11	-	67435509	0.000764234	4
CRY2	11	+	45872469	0.0294118	7
CTSD	11	-	1752751	0.000930233	2
EEF1G	11	-	62559600	0.025641	2
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627,65120938	0.173913,0.0361664	24,20
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315235	0.0983607	12
IFITM2	11	+	315235	0.0983607	12
PPP1R14B	11	-	64244479	0.00729927	2
PTPRCAP	11	-	67435509	0.0179372	4
RARRES3	11	+	63546426	0.0176471	3
RASGRP2	11	-	64726910	0.000353707	5
RPL27A	11	+	8684771,8685689	0.0049512,0.0522261	4,12
RPS13	11	-	17074388	0.0681818	3
RPS25	11	-	119015711,119015872	0.0172249,0.0794742	3,51
SELENOH	11	+	57742939	0.0635621	6
TMEM123	11	-	102396331	0.000788955	2
UCP2	11	-	73974666	0.0170316	7
AC023055.1	12	-	55757274	0.021097	5
ARHGDIB	12	-	14942016	0.00594059	3
CCDC65	12	+	48921572	0.000120555	2
CD69	12	-	9752485	0.00201005	2
COX14	12	+	50120311	0.0212766	2
DDX47	12	+	12829742	0.0106383	2
GAPDH	12	+	6538235	0.0461538	3
LDHB	12	-	21635341	0.015	3
LMBR1L	12	-	49096550	0.000151252	2
MYL6	12	+	56161505	0.00340716	4
NACA	12	-	56712427,56712708	0.0109768,0.0315268	12,26
NDUFA12	12	-	94971331	7.81311e-05	2
PFDN5	12	+	53298149,53299418	0.00378767,0.00315391	5,3
PHB2	12	-	6965351	0.00182315	2
RAN	12	+	130875903	0.0162602	2
RPL41	12	+	56117818	0.346939	102
RPLP0	12	-	120196685	0.00852569	22
TUBA1A	12	-	49184795	0.0140187	3
TUBA1B	12	-	49127781	0.000808407	2
UBC	12	-	124911603	0.0181818	2
RGCC	13	+	41470676	0.0104712	2
AL132780.3	14	-	22946269	0.0196078	5
CALM1	14	+	90405044	0.00337838	2
HAUS4	14	-	22946227	0.016835	5
MDP1	14	-	24213936	0.0183486	2
NEDD8-MDP1	14	-	24213954	0.00111857	2
RPS29	14	-	49583571	0.0210526	2
TRAC	14	+	22552154	0.00335345	5
AC245033.1	15	-	82536787,82538303	0.0537737,0.000337858	11,5
FAM98B	15	+	38481835	0.0142857	4
RPLP1	15	+	69455544	0.0540541	2
RPS17	15	-	82536749,82538298	0.0396825,0.0219977	5,11
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43794097	0.0123457	4
AMFR	16	-	56361451	0.00137268	2
ANKS3	16	-	4696509	9.91572e-05	3
BOLA2B	16	-	30192933	0.00714286	3
COTL1	16	-	84565593	0.00159872	2
GLYR1	16	-	4803202	7.42648e-05	3
HMOX2	16	+	4509760	0.0122699	2
IL32	16	+	3069818	0.00431965	2
NME3	16	-	1770285	0.00222965	2
NMRAL1	16	-	4461679	0.00111297	2
RPL13	16	+	89562388,89563022,89563461	0.171485,0.35006,0.0204662	21,93,13
RPS2	16	-	1962051,1962455	0.178771,0.0287908	32,36
SEPT1	16	-	30378132	0.00120135	5
AC026954.2	17	-	7312660	0.00104239	3
ACTG1	17	-	81509970	0.0139082	10
ALYREF	17	-	81887843	0.00696864	2
CCR7	17	-	40553768	0.00409905	3
DDX5	17	-	64499615	0.00151188	7
EIF1	17	+	41691192	0.00546448	2
EIF4A1	17	+	7578665	0.0335196	6
GPS2	17	-	7312659	0.00990099	3
MYO19	17	-	36495632	0.000105809	2
NME1-NME2	17	+	51171673	0.0843373	13
NME2	17	+	51171673	0.0843373	13
OXLD1	17	-	81665035	0.0023753	3
P2RX5-TAX1BP3	17	-	3663062	0.000319455	3
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017414	0.0215054	2
RPL26	17	-	8377515,8377621,8379789	0.0565812,0.231478,0.00703555	9,81,6
SKAP1	17	-	48133439	2.59664e-05	3
SRSF2	17	-	76734114	0.000977517	2
TAX1BP3	17	-	3662895	0.00234742	2
TOB1	17	-	50862222	0.00264201	2
MYL12B	18	+	3278135	0.020202	4
AC010422.8	19	-	12668070	0.000169938	2
AP2S1	19	-	46838135	0.0096463	3
BST2	19	-	17402938	0.0026455	2
CDKN2D	19	-	10566461	0.00503356	3
CIRBP	19	+	1274614	0.00660066	2
COX6B1	19	+	35658750	0.0142857	2
DPP9	19	-	4675223	0.00145243	2
EEF2	19	-	3976055	0.0100402	5
EMC10	19	+	50490867	0.000119502	1
FOSB	19	+	45473591	0.00269542	2
FTL	19	+	48966877	0.0422535	6
GADD45B	19	+	2477726	0.0060698	4
GPX4	19	+	1106666	0.0166667	2
IQCN	19	-	18257096	0.0240964	2
JUNB	19	+	12793167	0.164773	58
JUND	19	-	18279759	0.0117474	8
KLF2	19	+	16327361	0.00581395	2
MED29	19	+	39400637	0.00138959	11
MYO9B	19	+	17205001	0.0267857	6
REX1BD	19	+	18592217	0.00294676	3
RNASEH2A	19	+	12813557	0.021978	2
RPL18	19	-	48615327,48615871	0.0055118,0.19245	3,40
RPL28	19	+	55388048,55388373	0.247437,0.0530331	8,7
RPL36	19	+	5691666,5691875	0.0608358,0.00481357	8,1
RPS11	19	+	49498044,49499664	0.133836,0.000617308	15,1
RPS15	19	+	1440459	0.0714286	10
RPS16	19	-	39433206	0.130292	39
RPS19	19	+	41869190	0.0125166	66
RPS28	19	+	8322091,8322375	0.207668,0.104771	3,12
RPS5	19	+	58394800	0.04	2
RPS9	19	+	54207589,54207520	0.191648,0.167513	37,33
SNRPD2	19	-	45687453	0.0122449	3
TGFB1	19	-	41301586	0.0027933	3
TRIR	19	-	12730639	0.00232288	2
UBA52	19	+	18575253	0.0194175	1
WDR83OS	19	-	12668070	0.00449438	2
ZFP36	19	+	39409412,39408178	0.00420757,0.00557621	3,6
ATG9A	2	-	219219379	0.0017306	6
COPS9	2	-	240130825	0.00888889	2
CXCR4	2	-	136114348	0.00961538	5
EEF1B2	2	+	206162690	0.00564584	11
GALM	2	+	38726451,38729231,38729626	0.00011323,0.000190791,0.000611579	3,5,19
HADHA	2	-	26190634	7.77186e-05	3
HSPD1	2	-	197494639	0.00182949	5
MDH1	2	+	63607097	0.0181818	2
OST4	2	-	27070471	0.0102517	8
POLE4	2	+	74969549	0.015748	2
PTMA	2	+	231713276	0.00993748	18
RDH14	2	-	18554722	0.00641026	3
RPL31	2	+	101006415	0.00235294	5
RPL37A	2	+	216500030,216501450	0.1577,0.0446637	11,6
SUCLG1	2	-	84423522	0.00896861	2
TMSB10	2	+	84906656	0.223176	52
ZAP70	2	+	97739667	0.0118343	2
ZC3H8	2	-	112211524	0.00010313	2
AL121845.3	20	+	63736216	0.013468	4
CEBPB	20	+	50192312	0.00829876	2
LIME1	20	+	63738950	0.04	2
PCNA	20	-	5114952	0.00606061	2
RPS21	20	+	62387911,62388361,62388493	0.0323998,0.0749435,0.0487417	4,15,11
ZGPAT	20	+	63736015	0.0416667	4
HMGN1	21	-	39342314	0.000387597	2
ITGB2	21	-	44885952	9.47104e-05	2
AP000350.4	22	+	23895158	0.0645161	6
MIF	22	+	23895157	0.0392157	2
RAC2	22	-	37225260	0.00141643	2
RPL3	22	-	39312881	0.0344828	2
TSPO	22	+	43163069	0.025641	2
UQCR10	22	+	29769773	0.000914913	2
C3orf52	3	+	112116888	0.0206612	5
CNBP	3	-	129169483	0.00309598	3
GPX1	3	-	49357170	0.00616523	5
H1FX	3	-	129314770	0.0102041	5
NCBP2	3	-	196935405	0.000750751	3
RPL24	3	-	101681091	0.0229885	2
RPL29	3	-	51993521	0.023611	33
RPL35A	3	+	197954146,197955826	0.0088308,0.0506329	25,4
RPSA	3	+	39412439	0.0422535	3
TMA7	3	+	48444076	0.0103093	2
LSM6	4	+	146189770	0.0175439	2
PLAC8	4	-	83090047	0.00214458	9
RNF4	4	+	2513969	0.0180995	4
RPS3A	4	+	151104284,151104650,151104235	0.466667,0.142857,0.16662	21,26,42
TXK	4	-	48066392	0.000568936	3
ANKHD1-EIF4EBP3	5	+	140549569	0.0271084	9
BTF3	5	+	73505468	0.00869565	2
COX7C	5	+	86620698	0.00162734	2
DUSP1	5	-	172768089	0.0104105	6
EGR1	5	+	138469312	0.00647315	7
EIF4EBP3	5	+	140549578	0.028481	9
FYB1	5	-	39105254	9.64367e-05	2
NPM1	5	+	171410855	0.0551724	16
RACK1	5	-	181236908,181237548	0.00129563,0.0611968	8,8
SLC4A9	5	+	140375143	0.00170576	4
SRA1	5	-	140537339	0.0553042	12
CCND3	6	-	41934932	0.0019861	2
HLA-B	6	-	31353871	0.0392134	23
HLA-C	6	-	31268748,31268896	0.00774759,0.000587152	19,1
HSP90AB1	6	+	44253793	0.0205128	4
LTB	6	-	31580554	0.0129482	13
PTP4A1	6	+	63580412	0.0168067	4
RMND1	6	-	151404761	0.000157878	5
RPS10	6	-	34417453	0.00960219	7
AC105052.3	7	-	102637048	0.000171928	5
ACTB	7	-	5527146,5527285	0.00919562,0.00258483	17,4
ATP6V1F	7	+	128865842	0.0113636	3
CHCHD2	7	-	56101568	0.0141844	4
GET4	7	+	895548	0.0634921	8
HNRNPA2B1	7	-	26173056	0.000642134	13
STK17A	7	+	43624974	0.0151515	2
TRBC1	7	+	142793291	0.08	12
UPK3BL1	7	-	102637024	0.01	5
ZNF786	7	-	149069642	0.00384615	3
EEF1D	8	-	143579696,143579912	0.00501079,0.0116108	4,8
LOXL2	8	-	23297188	0.00468384	4
MAF1	8	+	144107260	0.013245	2
RPL30	8	-	98041720,98042643	0.0924321,0.00572591	57,13
RPL8	8	-	144789765,144789876	0.0542525,0.108355	20,27
RPS20	8	-	56072946	0.0162382	12
SARAF	8	-	30063011	0.000272232	3
ANP32B	9	+	98015653	0.0135135	3
ANXA1	9	+	73170226	0.0168067	2
CTSL	9	+	87731254	0.00680272	1
RPL12	9	-	127447673	0.0425532	2
RPL35	9	-	124857879	0.0101868	6
RPS6	9	-	19378773	0.00347826	2
SUSD3	9	+	93084876	0.0155039	2
AC244197.3	X	-	149482542	0.00985222	2
BCAP31	X	-	153700491	0.00449438	2
BEX5	X	-	102153707	0.00900901	2
MECP2	X	-	154031369,154036778	0.000500648,6.58032e-05	13,1
PLP2	X	+	49174852	0.0126582	2
RPL36A	X	+	101395756	0.230778	23
RPL39	X	-	119786505	0.168539	30
SAT1	X	+	23785981	0.016	2
TMSB4X	X	+	12977183	0.158602	59
TSC22D3	X	-	107713220	0.00231125	3
ZMAT1	X	-	101882287	0.00163666	2
