AL713999.1	1	-	155169408	0.00138227	5
ARHGEF2	1	-	155946850	0.000500626	1
B4GALT3	1	-	161171309	0.00395257	1
CAPZB	1	-	19338775	0.000501756	1
CCT3	1	-	156308967	7.10757e-05	2
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0228758	6
CD52	1	+	26320517	0.027907	6
CDC42SE1	1	-	151050970	0.000915751	3
GPR89A	1	+	145670648	8.51172e-05	4
HAX1	1	+	154275753	0.0384615	2
LAPTM5	1	-	30732468	0.00294334	4
MINOS1	1	+	19626546	0.0137931	2
PRDX6	1	+	173487959	0.0208333	2
RPS27	1	+	153991676,153992150	0.468621,0.126306	47,23
S100A10	1	-	151982914	0.00806452	2
TMEM56-RWDD3	1	+	95247095	0.0222222	5
TXNIP	1	-	145992434	0.00706215	10
UBXN11	1	-	26281327	0.00205973	2
UQCRH	1	+	46316679	0.0010665	6
DNAJC9	10	-	73242823	0.00347222	2
NDUFB8	10	-	100523936	0.000696429	3
RPS24	10	+	78040226,78040660	0.0600135,0.0435051	1,1
SPOCK2	10	-	72059034	0.000536913	1
AP001931.1	11	+	57742246,57742961	0.107765,0.0990371	3,12
AP002990.1	11	-	62559602,62559715	0.00804797,0.000758595	119,11
AP003419.1	11	-	67351571	0.0449057	18
ATP5MG	11	+	118409064	0.0521726	7
CORO1B	11	-	67435509	0.00285355	14
COX8A	11	+	63976442	0.0163934	2
EEF1G	11	-	62559600	0.0512821	4
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627,65120928	0.125,0.035524	16,20
FTH1	11	-	61964284	0.00478469	6
GRK2	11	+	67286348	0.00334076	3
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315189	0.0789474	6
IFITM2	11	+	315189	0.0789474	6
PTPRCAP	11	-	67435509	0.0403587	9
RPS25	11	-	119015711,119015885	0.0147312,0.0500517	3,31
SELENOH	11	+	57742246,57742961	0.107765,0.0990371	3,12
SSRP1	11	-	57325984	0.00473934	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0121212	4
BIN2	12	-	51281037	0.00433839	2
BTG1	12	-	92140277	0.00184114	7
CD27	12	+	6451514	0.0163934	2
