IGHM	14	-	105851704	0.0114943	3
PDPK1	16	+	2538816	0.012987	3
RPS2	16	-	1962051	0.0017762	3
CDC37	19	-	10395022	0.000357782	2
EMC10	19	+	50476917	0.0327869	8
RHPN2	19	-	32978592,32980395	4.28438e-05,4.77673e-05	1,1
TYK2	19	-	10350528	0.00574713	2
IGKC	2	-	88857160	0.01	2
RPS21	20	+	62388326	0.00530973	3
SIK1	21	-	43414482	0.00354139	8
CD74	5	-	150405315	0.00720165	7
NPM1	5	+	171410700	0.0148148	2
HLA-B	6	-	31353871	0.00327332	2
CCZ1	7	+	5901281	0.00490196	2
CSPP1	8	+	67159033	0.00014905	6
HGSNAT	8	+	43168170	0.0330579	4
PIM2	X	-	48913181	0.00210748	1
