ADIPOR1	1	-	202940822	0.00101523	3
ATP5IF1	1	+	28237953	0.00133601	2
CD52	1	+	26320504	0.049505	10
CDA	1	+	20618745	0.0225989	4
CTSS	1	-	150730195	0.00011318	2
DDOST	1	-	20651766	0.00816993	5
EFHD2	1	+	15428884	0.0121951	2
FCER1G	1	+	161219238	0.040678	12
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148901	0.0147059	3
HIST2H2AA3	1	-	149842187	0.0169492	2
JAK1	1	-	64833228	0.00150038	2
KDM1A	1	+	23083530	0.0120482	2
LAPTM5	1	-	30732468	0.00735835	10
MAD2L2	1	-	11674479	0.0101695	3
MCL1	1	-	150574550	0.00140432	3
MNDA	1	+	158849423	0.016129	3
NBPF14	1	-	148531384	0.000130585	6
PGD	1	+	10419842	0.0215054	2
PRDX1	1	-	45511035	0.00682594	2
PRG4	1	+	186314462	0.00292398	2
RPS27	1	+	153991676,153992150	0.0408126,0.0460409	4,6
S100A10	1	-	151982914	0.00806452	2
S100A11	1	-	152032505	0.0512821	8
S100A12	1	-	153373705	0.0413223	5
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.112676	8
S100A9	1	+	153361022	0.798913	147
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281370	0.0258398	10
STK40	1	-	36339623	0.00111888	4
TAGLN2	1	-	159918106	0.004329	3
TXNIP	1	-	145992434	0.0049435	7
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.00411946	4
WASF2	1	-	27404225	0.000504668	2
ALOX5	10	+	45445798	0.018018	2
FBH1	10	+	5937401	0.0165289	2
KIF5B	10	-	32009009	0.000306796	2
MRPS16	10	-	73248842	0.00099552	2
NCOA4	10	-	46005087	0.000492732	2
PSAP	10	-	71816297	0.00787402	9
RPS24	10	+	78040224,78040696	0.0655937,0.0357184	1,3
SRGN	10	+	69104643	0.00956023	5
AP001931.1	11	+	57743195	0.00301039	2
AP002990.1	11	-	62559602	0.0017671	26
BANF1	11	+	66003933	0.0186335	3
CTSD	11	-	1752751	0.00650035	13
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120978	0.0786517,0.0233918	14,12
FERMT3	11	+	64223674	0.010989	2
LAMTOR1	11	-	72097291	0.00543478	6
LIN7C	11	-	27494575	0.000491039	2
LMO2	11	-	33858575	0.000321182	2
MS4A6A	11	-	60172013	0.000479463	3
NDUFV1	11	+	67612386	0.00793651	2
PNPLA2	11	+	825078	0.0231481	5
RHOG	11	-	3826977	0.00512821	3
RPS25	11	-	119015711,119017148	0.00140793,0.00744589	3,5
SELENOH	11	+	57742957	0.00405405	3
SF1	11	-	64764605	0.00036846	2
SIGIRR	11	-	405715	0.0106952	1
SPI1	11	-	47354859	0.00320513	2
SSRP1	11	-	57325984	0.00473934	2
TALDO1	11	+	764920	0.0367028	3
TCIRG1	11	+	68050893	0.0283019	3
UCP2	11	-	73974666	0.00729927	3
AC023055.1	12	-	55757274	0.0337553	7
AC078927.1	12	-	66123916	0.000141143	2
ARPC3	12	-	110434824	0.0212121	7
ATP5MC2	12	-	53665165	0.0202703	3
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719556	0.00672646	3
BLOC1S1-RDH5	12	+	55719715	0.00495868	3
CHD4	12	-	6570081	0.000149948	2
DYNLL1	12	+	120498415	0.0140845	4
GAPDH	12	+	6538332	0.0123457	2
HCAR3	12	-	122714755	0.00855746	7
HDAC7	12	-	47782721	0.00013611	2
HSP90B1	12	+	103947687	0.00666667	2
KRR1	12	-	75490860	0.000223514	2
LLPH	12	-	66116554	0.000274537	2
LPCAT3	12	-	6976185	0.000368053	2
LTA4H	12	-	96000827	0.000292675	6
LYZ	12	+	69354234	0.151724	154
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161512	0.0465057	5
NACA	12	-	56712427,56712741	0.00993591,0.0108276	11,8
NDUFA12	12	-	94971331	7.81311e-05	2
PLBD1	12	-	14503660	0.018018	2
PTPN6	12	+	6961127	0.00760456	2
RPL41	12	+	56117803	0.114695	32
SRSF9	12	-	120461667	0.000636132	2
TMBIM4	12	-	66135845	8.96245e-05	3
TUBA1A	12	-	49184795	0.0186916	3
ESD	13	-	46771255	0.0125	2
KCTD12	13	-	76880165	0.000799201	4
LCP1	13	-	46125919	0.00119689	2
