ENO1	1	-	8860999	0.000425472	3
HDGF	1	-	156742106	0.00223547	3
PRDX6	1	+	173488587	0.00414365	3
TAGLN2	1	-	159918106	0.00865801	6
UBXN11	1	-	26281327	0.00411946	4
FERMT3	11	+	64223686	0.0103093	2
ARHGDIB	12	-	14942016	0.0039604	2
GAPDH	12	+	6538243	0.0273973	2
MYL6	12	+	56161536	0.0266611	3
TUBA1B	12	-	49127781	0.00161681	4
SERF2	15	+	43793932	0.0251572	4
UNC45A	15	+	90953806	0.0222222	2
ALDOA	16	+	30070343	0.0792952	18
ACTG1	17	-	81509970	0.00556328	4
CCL5	17	-	35871490	0.00563342	4
ITGA2B	17	-	44372179	0.0108696	2
SEPT4	17	-	58520249	0.00122549	2
CDKN2D	19	-	10566461	0.00503356	3
MISP3	19	+	14074836	0.0176991	2
LIMS1	2	+	108684172	0.017341	2
NAT8B	2	-	73700575	0.0392157	2
OST4	2	-	27070471	0.004561	4
GP1BB	22	+	19724744	0.282143	79
GPX1	3	-	49357170,49357310	0.0342838,0.015195	27,10
AC126283.2	4	-	109713915	0.0281996	13
PPBP	4	-	73987037	0.0854701	20
HLA-B	6	-	31353871	0.00981997	6
HLA-C	6	-	31268748	0.000790514	2
TREML1	6	-	41149341	0.00733945	4
AC004922.1	7	+	99394652	0.13636	29
ACTB	7	-	5527146	0.0131718	25
ARPC1B	7	+	99394704	0.121044	31
GNG11	7	+	93926447	0.04329	10
MSANTD3	9	+	100451091	0.016	2
BEX3	X	+	103377953	0.0238095	3
