ARHGAP30	1	-	161046947	0.00260756	2
CD52	1	+	26320395	0.0215054	2
DDOST	1	-	20651766	0.00490196	3
FCER1G	1	+	161219188	0.0204082	5
LAPTM5	1	-	30732468	0.00147167	2
MCL1	1	-	150574550	0.00203664	5
MINOS1	1	+	19626508	0.0186916	1
MNDA	1	+	158849330	0.0215054	2
PABPC4	1	-	39560815	0.00226757	2
PGD	1	+	10419904	0.0129032	2
RPS27	1	+	153991643	0.0441176	3
S100A10	1	-	151982914	0.00806452	2
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0342466	5
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361022	0.125	23
TMEM50A	1	+	25360828	0.0162602	2
PSAP	10	-	71816297	0.00262467	3
RPS24	10	+	78040671	0.000740466	2
AP001931.1	11	+	57742902	0.00583942	3
AP002990.1	11	-	62559602	0.000720568	10
FAU	11	-	65120627	0.00462963	4
RPS25	11	-	119015711	0.000898876	2
SELENOH	11	+	57742902	0.00583942	3
TALDO1	11	+	764901	0.00409836	2
AC023055.1	12	-	55757274	0.021097	5
ARHGDIB	12	-	14942016	0.0039604	2
GAPDH	12	+	6538247	0.038961	3
GNS	12	-	64713444	0.000606796	1
MYL6	12	+	56161511	0.00254237	3
PFDN5	12	+	53299313	0.00105559	3
RPL41	12	+	56117734	0.0428571	9
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256469	0.0241167	6
RUBCNL	13	-	46341999	9.44287e-05	1
SLC7A7	14	-	22773221	0.000877193	2
AC091167.7	15	+	90251679	0.0222222	2
AC245033.1	15	-	82536787,82538265	0.0909091,0.000223835	9,3
PKM	15	-	72199028	0.000351062	4
RPS17	15	-	82536749,82538227	0.0909091,0.00803571	5,9
RPL13	16	+	89563109	0.00342843	4
RPS2	16	-	1962051	0.0017762	3
AC120057.2	17	-	7240426	0.00160128	1
ACTG1	17	-	81509970	0.00834492	6
DDX5	17	-	64499615	0.000647948	3
FLII	17	-	18244835	0.000163961	2
NLRP1	17	-	5499426	0.000837872	2
NME1-NME2	17	+	51171622	0.0869565	10
NME2	17	+	51171622	0.0869565	10
RPL26	17	-	8377515,8379733	0.0512821,0.012685	6,12
AC007192.1	19	+	18178115	0.00150181	12
AC010422.8	19	-	12668070	0.000169938	2
CEBPG	19	+	33379840	0.0135135	2
FTL	19	+	48966863	0.046875	6
IFI30	19	+	18178114	0.044335	9
JUNB	19	+	12793051	0.00847458	2
JUND	19	-	18279759	0.00293686	2
NDUFA11	19	-	5894674	0.000500082	3
RPL28	19	+	55388047,55388295	0.0517154,0.0364233	1,3
RPS9	19	+	54207555,54207521	0.00387517,0.00417197	3,3
WDR83OS	19	-	12668070	0.00449438	2
DBI	2	+	119372391	0.0273973	2
EEF1B2	2	+	206162817	0.00130323	2
IDH1	2	-	208236226	0.00234742	2
PCBP1	2	+	70088925	0.018018	2
POLR2D	2	-	127843550	0.00131694	6
TMSB10	2	+	84906520	0.0309278	3
BLCAP	20	-	37517416	0.00133869	2
FKBP1A	20	-	1368977	0.000638162	2
ITGB2	21	-	44885952	9.47104e-05	2
EIF3L	22	+	37888571	0.0230769	3
TSPO	22	+	43163187	0.0102041	1
GPX1	3	-	49357170	0.0123305	10
EREG	4	+	74384973	0.0121212	2
H2AFZ	4	-	99948087	0.00534759	1
RPS3A	4	+	151104549,151104109	0.0129032,0.002443	4,2
DUSP1	5	-	172768089	0.0104167	7
FAM151B	5	+	80506075	0.0499998	3
TAF7	5	-	141318487	0.00394477	2
VDAC1	5	-	133971914	0.00350467	3
COX7A2	6	-	75237674	0.00081766	2
HLA-A	6	+	29945661	0.00970874	1
HLA-B	6	-	31353871	0.00818331	5
HLA-C	6	-	31268748	0.0027668	7
LST1	6	+	31588751	0.0180723	3
RAB32	6	+	146554860	0.00784314	2
AC004922.1	7	+	99394120,99394623	0.0706014,0.0404669	1,7
AC105052.3	7	-	102637048	0.000171928	5
ACTB	7	-	5527146	0.0152792	29
ARF5	7	+	127591543	0.0368852	9
ARPC1B	7	+	99394120,99394623	0.0886922,0.0404633	1,7
BRI3	7	+	98291387	0.0208333	3
CHCHD2	7	-	56101568	0.0106383	3
GSAP	7	-	77310750	0.00329489	2
UPK3BL1	7	-	102637024	0.01	5
CPQ	8	+	97143276	0.0215054	2
NIPAL2	8	-	98189832	0.000621504	1
RPL30	8	-	98041720,98042584	0.00192216,0.00162043	6,3
DHRSX	X	-	2266853,2327963	5.12152e-05,2.30884e-05	6,1
RPL36A	X	+	101395438	0.000894721	3
RPL39	X	-	119786505	0.0393258	7
TMSB4X	X	+	12977087	0.0833333	23
