AL713999.1	1	-	155169408	0.00196676	7
ARHGAP30	1	-	161046947	0.00260756	2
ATP1A1	1	+	116404619	0.0285714	5
ATP5PB	1	+	111461171	0.0225989	4
BTF3L4	1	+	52086987	0.00749064	2
C1orf162	1	+	111478457	0.0299401	10
C1orf74	1	-	209779207	0.000552944	2
CAPZB	1	-	19338775	0.000501756	1
CCT3	1	-	156308967	0.000142151	4
CD48	1	-	160678745	0.0294118	9
CD52	1	+	26320483	0.0939227	17
CITED4	1	-	40861050	0.00383142	2
CTSS	1	-	150730195	0.000392035	6
DCST1	1	+	155049176	0.0350877	2
EIF3I	1	+	32231363	0.011976	2
ENO1	1	-	8860999	0.00141824	10
FCER1G	1	+	161219216	0.102564	28
GNG5	1	-	84498324	0.00113636	4
GUK1	1	+	228148840	0.013986	2
H3F3A	1	+	226071910	0.0510441	22
HDGF	1	-	156742106	0.00149031	2
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851570	0.046875	3
HSPA6	1	+	161526669	0.0253165	2
IFI44	1	+	78664000	0.026455	5
IFI44L	1	+	78642021	0.00943396	2
IFI6	1	-	27666060	0.009375	3
JAK1	1	-	64833228	0.00150038	2
LAMTOR5	1	-	110401248	0.0109489	3
LAPTM5	1	-	30732468	0.0110338	14
MCL1	1	-	150574550	0.0046034	13
MFSD14A	1	+	100082635	0.00469484	2
MINOS1	1	+	19626492	0.021978	2
NBPF14	1	-	148531384	4.35284e-05	2
PABPC4	1	-	39560815	0.00340136	3
PARK7	1	+	7985133	0.0379747	3
PGD	1	+	10419945	0.0102041	1
PMF1	1	+	156233651	0.000621504	7
PRDX6	1	+	173487956	0.0215054	2
PTP4A2	1	-	31906420	0.000404804	3
RHOC	1	-	112701105	0.000866927	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991674,153992137	0.164235,0.039571	16,6
S100A10	1	-	151982914	0.108871	27
S100A11	1	-	152032505	0.0512821	8
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.130137	19
S100A6	1	-	153534598	0.0824742	8
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360900,153361024	0.782194,0.217763	48,40
SARS	1	+	109238027	0.0215827	3
SF3B4	1	-	149923316	0.00888889	2
SH3BGRL3	1	+	26281318	0.080597	27
SHC1	1	-	154962297	0.00111607	2
SLC27A3	1	+	153780123	0.0247934	3
SRM	1	-	11054588	0.013986	4
TAGLN2	1	-	159918106	0.011544	8
TMEM50A	1	+	25360880	0.0114286	2
TOMM20	1	-	235109335	0.000733138	2
TRAF3IP3	1	+	209782114	0.00273224	2
TXNIP	1	-	145992434	0.00706215	10
UBXN11	1	-	26281327	0.0144181	14
UCK2	1	+	165907966	0.013986	2
UQCRH	1	+	46316761	0.0379143	13
AGAP6	10	+	50010323	0.0145985	2
APBB1IP	10	+	26567569	0.0246914	2
CALHM2	10	-	103446785	0.00546448	2
COMMD3	10	+	22320113	0.0173913	2
EIF5AL1	10	+	79513652	0.00740718	3
FUOM	10	-	133355153	0.0057971	2
IFIT1	10	+	89403774	0.0322581	2
LIPA	10	-	89213568	0.00635425	7
MRPL43	10	-	100986273	0.00286533	2
NDUFB8	10	-	100523936	0.000551572	3
PGAM1	10	+	97433439	0.00546448	5
PIK3AP1	10	-	96593311	0.000883002	2
PSAP	10	-	71816297	0.040245	46
PSD	10	-	102402616	0.0154374	9
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040223,78040697	0.10189,0.0465158	2,4
VIM	10	+	17237578	0.199511	90
VSIR	10	-	71747558	0.00135355	5
AHNAK	11	-	62515904	0.0166865	14
AP001931.1	11	+	57742245,57742911	0.0496708,0.0576152	1,4
AP002990.1	11	-	62559602,62559752	0.00563842,0.000646431	84,9
AP003419.1	11	-	67351571	0.0070922	3
APLP2	11	+	130122061	0.00149142	1
ARAP1	11	-	72685068	0.00336134	2
C11orf58	11	+	16754948	0.0405405	3
CCDC73	11	-	32602245	0.00707965	4
CFL1	11	-	65854674	0.0393343	26
COX8A	11	+	63976436	0.0517241	6
CTSD	11	-	1752751	0.00325581	7
DNAJC4	11	+	64234162	0.00816327	2
FAU	11	-	65120627,65120917	0.102564,0.0174216	12,10
GSTP1	11	+	67586465,67586471	0.0181801,0.0140248	19,13
HNRNPUL2	11	-	62712629	0.000749344	2
HSPA8	11	-	123057488	0.0326531	8
IRF7	11	-	612552	0.00123967	3
LAMTOR1	11	-	72097291	0.00724638	8
MPEG1	11	-	59208509	0.00362812	8
MS4A6A	11	-	60172013	0.00218331	13
MTRNR2L8	11	-	10507886	0.00754717	2
PPP1CA	11	-	67398182	0.0113636	4
PSMA1	11	-	14504875	0.00632911	2
RARRES3	11	+	63546390	0.0223881	3
RHOG	11	-	3826977	0.00683761	4
RPL27A	11	+	8685655	0.0186229	17
RPS13	11	-	17074388	0.0454545	2
RPS25	11	-	119015711	0.039554	31
RPS3	11	+	75404821,75405670	0.247353,0.00588897	41,5
SELENOH	11	+	57742245,57742911	0.0496708,0.0576152	1,4
SF1	11	-	64764605	0.00055269	3
SLC36A4	11	-	93144170	0.000458085	2
SPI1	11	-	47354859	0.0128205	8
TALDO1	11	+	764948	0.0378086	7
TMEM123	11	-	102396331	0.000788955	2
TMEM223	11	-	62789970	0.00613497	4
UBE2L6	11	-	57551655	0.00569801	4
UCP2	11	-	73974666	0.00973236	4
UVRAG	11	+	76137537	0.0213904	3
AC023055.1	12	-	55757274	0.0126582	3
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0545455	18
ATP5MC2	12	-	53665165	0.0337838	5
BIN2	12	-	51281037	0.00867679	4
BLOC1S1	12	+	55719569	0.0087146	4
BLOC1S1-RDH5	12	+	55719569	0.0087146	4
C12orf45	12	+	104994754	0.00727273	2
C12orf76	12	-	110027027	0.0012945	2
CASC1	12	-	25108419	0.00023932	12
CDK2AP1	12	-	123260970	0.00392157	3
CLEC7A	12	-	10116776,10127445	0.00090952,0.0217391	8,2
CNPY2	12	-	56309841	0.00249066	4
GAPDH	12	+	6538370	0.085	17
GIT2	12	-	109929791	0.00094162	3
HCAR2	12	-	122701292	0.00222469	2
HCAR3	12	-	122714755	0.00366748	3
LTA4H	12	-	96000827	0.000239333	5
LYZ	12	+	69354231	0.148221	150
MYL6	12	+	56161564	0.0499972	8
NACA	12	-	56712427,56712731	0.135743,0.0123275	27,8
NDUFA12	12	-	94971331	0.000231106	5
P2RX4	12	+	121234106	0.000336152	4
PFDN5	12	+	53298149,53299323,53299433	0.00226646,0.00394841,0.0695951	3,6,17
PHB2	12	-	6965351	0.00182315	2
PLBD1	12	-	14503660	0.027027	3
PTPN6	12	+	6961240	0.0239362	9
RAN	12	+	130876069	0.0242215	7
RPL41	12	+	56117788	0.325758	86
RPLP0	12	-	120196685,120197273	0.0544554,0.00332858	11,7
SLC38A2	12	-	46358188	0.000220192	2
SRSF9	12	-	120461667	0.000954198	3
STAT6	12	-	57095407	0.000167983	2
TPI1	12	+	6870667	0.028169	8
TUBA1A	12	-	49184795	0.0280374	6
TWF1	12	-	43793722	0.000164433	2
UBC	12	-	124911603	0.0181818	2
YBX3	12	-	10699088	0.00227376	5
ANKRD10	13	-	110892691	0.000377881	3
ERCC5	13	+	102853754	0.00613497	10
ITM2B	13	+	48255867	0.00012033	2
KCTD12	13	-	76880165	0.0015984	8
LCP1	13	-	46125919	0.010172	16
POLR1D	13	+	27623338	0.0227273	2
UBL3	13	-	29764370	0.000693481	2
USP12	13	-	27170090	0.00869565	2
ZDHHC20	13	-	21372572	0.000213812	2
AL121594.1	14	+	35276637	0.000651254	2
AL132780.3	14	-	22946269	0.00784314	2
AL928654.3	14	+	105488516,105488770	0.453181,0.14679	2,16
CHURC1	14	+	64932318	0.0168067	2
