AC114490.2	1	-	34981532	0.00167434	4
BCAS2	1	-	114567556	0.0034904	2
CD247	1	-	167430639	0.00288184	3
CD52	1	+	26320471	0.0591716	10
EIF3I	1	+	32231430	0.017094	4
FCMR	1	-	206904385	0.000350918	3
HIST2H4A	1	+	149834269	0.00785546	10
LAMTOR5	1	-	110401248	0.00729927	2
LCK	1	+	32285974	0.00775194	2
MARCKSL1	1	-	32333831	0.00261438	1
MINOS1	1	+	19626509	0.0277778	3
PABPC4	1	-	39560815	0.00336881	2
RPL22	1	-	6185019	0.00181598	3
RPL5	1	+	92841922	0.0350877	2
RPS27	1	+	153991674,153992147	0.401215,0.104525	39,19
SFPQ	1	-	35176377	0.00174087	2
TMEM35B	1	-	34981534	0.00977995	4
TMEM56-RWDD3	1	+	95247126	0.0117188	3
TXNIP	1	-	145992434	0.00635593	9
ZNF669	1	-	247099961	0.00485437	1
ITPRIP	10	-	104309697	0.000636943	3
NDUFB8	10	-	100523936,100525273	0.00229221,0.00110498	12,4
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040223,78040695	0.0655937,0.0357184	1,3
AP001931.1	11	+	57743004	0.00376666	2
AP002990.1	11	-	62559602	0.00618128	92
AP003419.1	11	-	67351571	0.0118203	5
C11orf80	11	+	66799130	0.000702988	2
CARD16	11	-	105041522	0.000998502	2
CFL1	11	-	65854674	0.0134373	8
CORO1B	11	-	67435509	0.000955292	5
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120955	0.0709677,0.0261194	11,14
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315207	0.0851064	8
IFITM2	11	+	315207	0.0851064	8
ILK	11	+	6605174	0.00666667	2
LTBP3	11	-	65538804	0.000128601	2
MRPL23	11	+	1956576	0.0530431	14
PITPNM1	11	-	67491767	0.00754717	2
PPP1CA	11	-	67398182	0.00568182	2
PPP1R14B	11	-	64244479	0.0108778	2
PTPRCAP	11	-	67435509	0.0134529	3
RBM14-RBM4	11	+	66646469	0.001007	6
RBM4	11	+	66646469,66646468	0.00106952,0.00107043	2,2
RPS25	11	-	119015711,119015830,119017351	0.00903655,0.0808593,0.020424	6,21,11
RPS3	11	+	75404868,75405658	0.218225,0.0443074	51,12
SELENOH	11	+	57743004	0.00376666	2
AC048338.1	12	-	122207778	0.00018875	2
ARPC3	12	-	110434824	0.00606061	2
BTG1	12	-	92140277	0.000789058	3
CD69	12	-	9752485	0.00301508	3
GAPDH	12	+	6538261	0.021978	2
LDHB	12	-	21635341	0.035	7
NACA	12	-	56712427,56712741	0.0130141,0.0262882	14,21
ORAI1	12	+	121641752	0.0183486	2
PA2G4	12	+	56113027	0.0143885	2
RPL41	12	+	56117818	0.262714	77
