CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320478	0.0397727	7
EIF3I	1	+	32231367	0.0116959	2
EPS15	1	-	51461122	0.000762195	2
GNG5	1	-	84498324	0.000568182	2
HAX1	1	+	154275506	0.0111524	3
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851604	0.0306122	3
KLHL20	1	+	173785424	0.0112994	2
ODF2L	1	-	86352858	0.001002	1
PIP5K1A	1	+	151199516	0.0125	5
RPL11	1	+	23695144	0.00094162	3
RPS27	1	+	153991676,153992123	0.170822,0.0667783	17,10
RSRP1	1	-	25242236	0.00070028	2
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281249	0.018797	5
SPATA45	1	-	212830140	0.019802	2
TAGLN2	1	-	159918106	0.002886	2
TRAF3IP3	1	+	209782109	0.00275103	2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.0030896	3
AL360181.3	10	+	133420373	0.0240385	5
MTG1	10	+	133420373	0.0240385	5
NDUFB8	10	-	100523936	0.000367715	2
PDCD4	10	+	110898328	0.0125	3
RPS24	10	+	78040696	0.000733676	2
AP001931.1	11	+	57742984	0.0065189	5
AP002990.1	11	-	62559602	0.00106473	16
AP003419.1	11	-	67351571	0.0283688	12
APLP2	11	+	130122195	0.00388094	5
CORO1B	11	-	67435509	0.00114635	6
DRAP1	11	+	65921561	0.0238095	3
FADS3	11	-	61873518	0.00677966	2
FAU	11	-	65120627,65120736	0.0164202,0.00751904	14,5
H2AFX	11	-	119093853	0.00180343	2
PTPRCAP	11	-	67435509	0.0179372	4
RASGRP2	11	-	64726910	0.000141483	2
RPS25	11	-	119015711,119017196	0.00271594,0.0121041	6,8
SELENOH	11	+	57742984	0.0065189	5
SWAP70	11	+	9732608	0.000564918	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0151515	5
CD69	12	-	9752485	0.00603015	6
DYNLL1	12	+	120498350	0.0136986	3
MON2	12	+	62471375	0.00458716	3
NACA	12	-	56712427,56712694	0.00413148,0.00855391	4,7
PA2G4	12	+	56113006	0.0169492	2
PTPN6	12	+	6961128	0.00757576	2
RPL41	12	+	56117816	0.160959	47
RPLP0	12	-	120196685	0.000743218	2
TUBA1A	12	-	49184795	0.0140187	3
ZNF385A	12	-	54369132	0.000805153	2
N4BP2L1	13	-	32400722	0.000267182	5
NUP58	13	+	25303126	0.0254237	3
CHMP4A	14	-	24209582	0.00312663	6
IGHM	14	-	105851704	0.0727969	19
PABPN1	14	+	23325281	0.00203666	1
SYNJ2BP-COX16	14	-	70359581	0.000123985	2
AC245033.1	15	-	82536787,82538270	0.000320487,0.000249183	5,3
APH1B	15	+	63277964	0.0223214	5
RPS17	15	-	82536749,82538232	0.000679882,0.00707166	1,7
SERF2	15	+	43793904	0.0229008	3
ALDOA	16	+	30070206	0.0222222	2
ARL6IP1	16	-	18791666	0.000665115	1
BOLA2B	16	-	30192933	0.00952381	4
CIAO2B	16	-	66932054	0.00142248	3
COX4I1	16	+	85806804	0.013245	4
RPL13	16	+	89562960,89563299	0.192034,0.0268538	39,11
RPS2	16	-	1962051,1962441	0.0606061,0.0100048	10,12
SETD1A	16	+	30984555	0.0037594	2
TCF25	16	+	89884773	0.00111572	7
AC120057.2	17	-	7240426	0.0104083	13
ACTG1	17	-	81509970	0.0069541	5
CD79B	17	-	63928739	0.00617284	3
EIF1	17	+	41691167	0.00879765	3
EIF4A1	17	+	7574639	0.0224719	2
KRT10	17	-	40818116	0.00835655	3
ORMDL3	17	-	39921040	0.00198807	2
OVCA2	17	+	2043228	0.0241935	3
RPL19	17	+	39204706	0.0344828	2
RPL26	17	-	8377515,8379787	0.0823529,0.0403587	14,36
SLC25A39	17	-	44319624	0.00116686	1
ZNF652	17	-	49289207,49292460	0.000965902,0.000463126	8,2
MYL12A	18	+	3256108	0.0210526	4
RPL17-C18orf32	18	-	49481680	0.00087745	6
AC008763.3	19	+	7682741	0.015873	4
CD79A	19	+	41881225	0.0244898	6
CIRBP	19	+	1274609	0.00671141	2
EEF2	19	-	3976055	0.0100402	5
FTL	19	+	48966822	0.045977	4
GMFG	19	-	39328352	0.0016116	2
