AL445685.3	1	-	52020152	0.000159439	1
AL713999.1	1	-	155169408	0.00267055	10
ATP1A1	1	+	116404681	0.0126582	3
ATP5IF1	1	+	28237974	0.00197628	3
C1orf162	1	+	111478262	0.0143885	2
CD48	1	-	160678745	0.0228758	6
CD52	1	+	26320481	0.0111732	2
CD55	1	+	207340729	0.0235294	2
CDA	1	+	20618782	0.0186916	3
CDC42SE1	1	-	151050970	0.000610501	2
CITED4	1	-	40861050	0.00383142	2
CTSS	1	-	150730195	0.000334786	5
DDOST	1	-	20651766	0.0147059	9
DENND4B	1	-	153929500	0.00376884	3
DPYD	1	-	97077742	0.00162206	2
DRAM2	1	-	111117332	0.00241838	2
DUSP23	1	+	159782497	0.0125786	2
ENO1	1	-	8860999	0.000992767	6
FCER1G	1	+	161219222	0.0573477	16
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00255485	8
H3F3A	1	+	226071954	0.0505263	24
HIST2H2AA3	1	-	149842187	0.0338983	4
IFI6	1	-	27666060	0.00625	2
KDM1A	1	+	23083512	0.0135135	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00809419	11
LYST	1	-	235661040	1.56529e-05	1
MCL1	1	-	150574550	0.00566572	16
MNDA	1	+	158849359	0.0327869	4
NCF2	1	-	183555562	0.00900901	5
NDUFS2	1	+	161214253	0.00641026	2
NID1	1	-	235975829	0.000981836	2
PARK7	1	+	7985229	0.0171429	3
PLK3	1	+	44805990	0.00641026	2
PPP1R15B	1	-	204403386	0.000739372	2
PRDX1	1	-	45511035	0.0136519	4
RPL5	1	+	92841902	0.0540541	2
RPS27	1	+	153991675,153992154	0.14,0.0543478	14,5
S100A10	1	-	151982914	0.0685484	17
S100A11	1	-	152032505	0.025641	4
S100A12	1	-	153373705	0.0495868	6
S100A4	1	-	153543612	0.109589	16
S100A6	1	-	153534598	0.0721649	6
S100A8	1	-	153390031	0.225352	16
S100A9	1	+	153361024	0.811828	151
