ARHGAP30	1	-	161046947	0.00521512	4
ATP1A1	1	+	116404635	0.0157068	3
ATP5IF1	1	+	28237940	0.00134771	2
ATP5PB	1	+	111461140	0.0342466	5
BTF3L4	1	+	52090716	0.000500501	2
C1orf56	1	+	151050753	0.0169492	5
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320467	0.0787879	12
CDA	1	+	20618679	0.036036	4
CSRP1	1	-	201483529	0.00253593	3
CTSS	1	-	150730195	0.00011318	2
EIF2D	1	-	206571291	0.000305499	3
ENO1	1	-	8860999	0.000709119	5
FCER1G	1	+	161219246	0.0792079	24
FCGR3A	1	-	161541758	0.0279323	34
GNG5	1	-	84498324	0.0017003	5
H3F3A	1	+	226071852	0.0536193	20
JAK1	1	-	64833228	0.00150038	2
JUN	1	-	58780787	0.002331	3
LAPTM5	1	-	30732468	0.0154422	20
MCL1	1	-	150574550	0.00106232	3
MINOS1	1	+	19626479	0.025641	2
MINOS1-NBL1	1	+	19623470,19626450	8.45668e-05,0.000138117	1,3
PARK7	1	+	7985147	0.0322581	3
RHD	1	+	25322899	0.00136822	8
RHOC	1	-	112701105	0.00260078	6
RNPEP	1	+	202005810	0.0212766	2
RPL5	1	+	92841922	0.0350877	2
RPS27	1	+	153991677,153992151,153992150	0.129638,0.0127316,0.0567513	13,1,10
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0479452	7
S100A6	1	-	153534598	0.0412371	4
S100A9	1	+	153360981	0.027972	4
SARS	1	+	109238010	0.0163934	2
SH3BGRL3	1	+	26281376	0.0585242	23
SRSF4	1	-	29154735	0.000177415	2
SSU72	1	-	1541672	0.0101781	4
SZRD1	1	+	16398145	0.000998336	3
TAGLN2	1	-	159918106	0.00577201	4
TARS2	1	+	150507609	0.000374836	6
TXNIP	1	-	145992434	0.00564972	8
UBXN11	1	-	26281327	0.0113285	11
UFC1	1	+	161158587	0.0210526	2
WASF2	1	-	27404225	0.000757002	3
ACBD5	10	-	27195213	0.000902527	2
ADAM8	10	-	133262402	0.00311042	4
ATP5F1C	10	+	7807713	0.00272851	2
BORCS7	10	+	102863214	0.00689655	2
BORCS7-ASMT	10	+	102863214	0.00689655	2
COX15	10	-	99713514	0.00466418	5
DHX32	10	-	125836336	0.00571429	2
GDI2	10	-	5765222	0.00235849	2
LIPA	10	-	89213568	0.00158856	1
MMS19	10	-	97458323	8.80747e-05	2
MYOF	10	-	93397184	0.0689655	4
NDUFB8	10	-	100523936	0.00109466	5
PIK3AP1	10	-	96593311	0.000883002	2
PSAP	10	-	71816297	0.0288714	33
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040696	0.0476149	4
RRP12	10	-	97356700	0.00763359	3
RUFY2	10	-	68341106	0.00150182	7
VIM	10	+	17236602	0.00165426	2
VSIR	10	-	71747558	0.00135355	5
AC084337.2	11	+	6482852	0.00316957	2
AHNAK	11	-	62515904	0.00476758	4
AP001931.1	11	+	57742244,57743489	0.104685,0.00642572	2,8
AP002990.1	11	-	62559602	0.00209537	31
AP003419.1	11	-	67351571	0.0567376	24
ARAP1	11	-	72685068	0.00840336	5
ARL2	11	+	65022003	0.0135135	2
ATP5MG	11	+	118409277	0.00380646	8
BANF1	11	+	66003910	0.0144928	2
C11orf68	11	-	65916807	0.0030722	2
C11orf98	11	-	62662815	0.0128205	3
CARD16	11	-	105041522	0.000998502	2
CASP1	11	-	105025442	0.00613497	5
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891510	0.0338983	4
CDKN1C	11	-	2883212	0.00884434	6
CFL1	11	-	65854674,65854849	0.0279886,0.0174888	18,8
COX8A	11	+	63976437	0.034188	4
CTSD	11	-	1752751	0.00186047	4
DNAJC4	11	+	64234088	0.0116959	2
EIF4G2	11	-	10797049	0.00387847	2
FAM168A	11	-	73400486	0.00127768	9
FAM89B	11	+	65574181	0.00458015	3
FAU	11	-	65120627,65120978	0.0449438,0.0116959	8,6
FCHSD2	11	-	72836744	0.00146628	3
FNBP4	11	-	47716516	0.00220994	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315223	0.163636	18
IFITM2	11	+	309315,315223	0.0624523,0.163636	18,18
IFITM3	11	-	319668	0.0225564	12
LBHD1	11	-	62662816	0.00961538	3
LMO2	11	-	33858575	0.000481773	3
MAP3K11	11	-	65597754	0.00022205	2
MPEG1	11	-	59208509	0.000907029	2
MS4A4A	11	+	60308972	0.000149973	2
MS4A6E	11	+	60379766,60385019	0.000248328,0.000237142	9,10
MS4A7	11	+	60394622	0.00262812	2
PCSK7	11	-	117204336	0.000826446	2
PPP1CA	11	-	67398182	0.0170455	6
RARRES3	11	+	63546349	0.0215054	2
RELA	11	-	65653595	0.000245339	1
RHOG	11	-	3826977	0.00512821	3
RNH1	11	-	494511	0.0011254	7
RPS25	11	-	119015711,119017192	0.00203443,0.0248298	4,18
SELENOH	11	+	57742244,57742991	0.0511075,0.0601256	1,9
SIPA1	11	+	65650874	0.0125786	2
SPI1	11	-	47354859	0.0112179	7
TAGLN	11	+	117204498	0.0143885	2
TALDO1	11	+	764941	0.00754466	3
TCIRG1	11	+	68050860,68047075	0.0273973,0.025	2,2
TIMM10B	11	+	6482852	0.00316957	2
TMX2-CTNND1	11	+	57789595	0.00402414	2
TSSC4	11	+	2403779	0.0122699	2
UCP2	11	-	73974666	0.00729927	3
UNC93B1	11	-	67991103	0.00452489	2
AC023055.1	12	-	55757274	0.0506329	12
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0454545	15
ATP5MC2	12	-	53665165	0.0135135	2
BIN2	12	-	51281037	0.00650759	3
BLOC1S1	12	+	55719593	0.00621118	3
BLOC1S1-RDH5	12	+	55719593	0.00621118	3
CDK2AP1	12	-	123260970	0.00261438	1
CLEC7A	12	-	10116776	0.000305095	3
COX14	12	+	50120365	0.0202703	3
COX6A1	12	+	120440677	0.0214286	3
DYNLL1	12	+	120498381	0.036	9
ERP29	12	+	112023451	0.00155763	2
GAPDH	12	+	6538266	0.0625	6
H2AFJ	12	+	14774949	0.0224719	2
H3F3C	12	-	31791184	0.00348432	2
HNRNPA1	12	+	54287087	0.00180245	5
LTA4H	12	-	96000827	0.000168983	4
M6PR	12	-	8940362	0.00156348	5
MYL6	12	+	56161567	0.0380411	6
NAA25	12	-	112029549	2.94829e-05	2
NACA	12	-	56712427,56712746	0.0223147,0.0295832	25,23
OR7E47P	12	+	52108236	0.000248447	7
RPL41	12	+	56117828	0.240132	73
RPLP0	12	-	120196685	0.00297287	8
SELPLG	12	-	108622276	0.00252525	2
SRSF9	12	-	120461667	0.000954198	3
TESC	12	-	117038922	0.00111419	10
TNFRSF1A	12	-	6328756	0.000426167	1
TPI1	12	+	6870474	0.021978	2
TUBA1A	12	-	49184795	0.0280374	6
TUBA1B	12	-	49127781	0.00323363	8
UBC	12	-	124911603	0.0181818	2
CARS2	13	-	110662837	0.010582	2
ERCC5	13	+	102853794	0.00359281	6
ESD	13	-	46771255	0.0125	2
LCP1	13	-	46125919	0.00478755	8
NUP58	13	+	25303168	0.05	8
RPL21	13	+	27256334,27256526	0.116842,0.0544721	17,11
SAP18	13	+	21147422	0.00793651	2
AKT1	14	-	104769348	0.000813339	2
AL928654.3	14	+	105488720	0.0678012	4
CALM1	14	+	90404835	0.00522193	2
CCDC88C	14	-	91271322	0.000139402	2
CRIP1	14	+	105488720	0.0678012	4
DAD1	14	-	22564904	0.000276126	2
DEGS2	14	-	100143956	0.0013947	4
GCH1	14	-	54842007	0.0024888	5
HSP90AA1	14	-	102082664	0.00107858	2
