CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320510	0.0432692	9
CDC14A	1	+	100391714	0.00213675	2
CDC42SE1	1	-	151050970	0.000915751	3
DDOST	1	-	20651766	0.0130719	8
EIF3I	1	+	32231330	0.0149254	2
ENO1	1	-	8860999	0.000283648	2
FCMR	1	-	206904385	0.000350918	3
JUN	1	-	58780787	0.003108	4
LAPTM5	1	-	30732468	0.00367918	5
MRTO4	1	+	19258896,19259977	0.0596794,0.000925158	3,1
RPL5	1	+	92841924	0.0338983	2
RPS27	1	+	153991673,153991801,153992152	0.267659,0.00782915,0.0978261	26,1,9
S100A10	1	-	151982914	0.00806452	2
TPM3	1	-	154155303	0.00033557	6
UBXN11	1	-	26281327	0.00205973	2
HNRNPH3	10	+	68342187	0.0150376	2
PDCD4	10	+	110898587	0.0240481	12
RPS24	10	+	78040202,78040658	0.000837498,0.00265279	1,7
ZNF32	10	-	43643858	0.0104712	2
AP001931.1	11	+	57742246,57742925	0.0421248,0.0614721	1,5
AP002990.1	11	-	62559602	0.00299105	44
AP003419.1	11	-	67351571	0.035461	15
ATP5MG	11	+	118409031	0.00143816	3
CORO1B	11	-	67435509	0.00343905	18
COX8A	11	+	63976437	0.017094	2
FAM76B	11	-	95787624	0.00238095	3
FAU	11	-	65120627,65120918	0.0932203,0.026178	11,15
HSPA8	11	-	123057488	0.0204082	5
IFITM1	11	+	315272	0.125786	20
IFITM2	11	+	315272	0.125786	20
LAMTOR1	11	-	72097291	0.00271739	3
LTBP3	11	-	65538804	0.000128601	2
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.058296	13
RBM14-RBM4	11	+	66640026	0.0181818	4
RPL27A	11	+	8685763	0.0373256	16
RPS25	11	-	119015711,119015839,119017360	0.00807802,0.061836,0.00920998	4,12,5
RPS3	11	+	75404797,75405583	0.256496,0.00127243	62,1
SELENOH	11	+	57742246,57742925	0.0421248,0.0614721	1,5
TMEM123	11	-	102396331	0.000788955	2
UCP2	11	-	73974666	0.00486618	2
UQCC3	11	+	62672181	0.0298507	2
AC068775.1	12	-	10412311	0.0115385	3
ARPC3	12	-	110434824	0.00909091	3
DYNLL1	12	+	120498345	0.00934579	1
GAPDH	12	+	6538293	0.0162602	2
KLRC3	12	-	10412311	0.0115385	3
KLRK1	12	-	10373184	0.000362384	2
METAP2	12	+	95512932	0.0366972	4
NACA	12	-	56712427,56712775	0.0258621,0.0154004	3,11
OS9	12	+	57696555	0.00775194	2
PFDN5	12	+	53298148,53299400	0.00340741,0.00289765	4,3
RPL41	12	+	56117942	0.119617	50
RPLP0	12	-	120196685,120196804,120197297	0.0724412,0.0034333,0.00102071	16,7,2
SMARCC2	12	-	56162982,56170963	0.00052571,0.000165182	11,2
TUBA1B	12	-	49127781	0.00160218	3
RPL21	13	+	27256333,27256499	0.051822,0.0601975	7,13
AL928654.3	14	+	105488758	0.0606064	6
CRIP1	14	+	105488758	0.0606064	6
IRF9	14	+	24163790	0.00989164	7
MOAP1	14	-	93182195	0.00201816	2
NEDD8	14	-	24216851	0.00156617	2
RPS29	14	-	49583571	0.0526316	5
SYNJ2BP	14	-	70366495	0.000615858	4
SYNJ2BP-COX16	14	-	70359581	0.00024797	4
AC245033.1	15	-	82536787,82538305,82538879	0.00362955,0.00021849,0.000106458	8,3,1
BCL2A1	15	-	79960888	0.00740741	2
