CD48	1	-	160678745	0.0163399	5
CDA	1	+	20618716	0.0202703	3
CTSS	1	-	150730195	0.000219223	3
GNG5	1	-	84498324	0.00141443	4
HMGN2	1	+	26475304	0.0320513	5
JAK1	1	-	64833228	0.00150038	2
KIF21B	1	-	200969389	0.00042508	2
LAMTOR2	1	+	156058457	0.0232558	2
LAPTM5	1	-	30732468	0.00588668	8
NASP	1	+	45602433	0.000207069	2
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0410959	6
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360915,153361023	0.3507,0.064844	27,11
TMEM56-RWDD3	1	+	95247120	0.02	5
TXNIP	1	-	145992434	0.00564972	8
ADAM8	10	-	133262402	0.00466563	6
NDUFB8	10	-	100523936	0.000551572	3
PTEN	10	+	87961183	0.0357143	2
RPS24	10	+	78040651	0.00074599	2
VIM	10	+	17237575	0.0222138	25
AHNAK	11	-	62515904	0.00357569	3
ANKRD13D	11	+	67302396	0.03125	2
AP001931.1	11	+	57743028	0.00491448	3
AP002990.1	11	-	62559602	0.00151405	22
AP003419.1	11	-	67351571	0.0189125	8
ATP5MG	11	+	118409055	0.000947867	2
CARD16	11	-	105041522	0.00197922	3
COX8A	11	+	63976448	0.015625	2
CTSD	11	-	1752751	0.000930233	2
EIF4G2	11	-	10797049	0.00522193	4
FAM168A	11	-	73400486	0.000425894	3
FAU	11	-	65120627	0.0080627	6
FERMT3	11	+	64223638	0.0136986	2
PATL1	11	-	59636715	0.00119474	1
PNPLA2	11	+	825028	0.0120482	2
SELENOH	11	+	57743028	0.00491448	3
SPI1	11	-	47354859	0.00320513	2
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0121212	4
ASB8	12	-	48149528	0.00145278	3
GAPDH	12	+	6538283	0.0265487	3
HCAR3	12	-	122714755	0.00244499	2
NACA	12	-	56712427,56712778	0.0336134,0.0102898	4,7
RPL41	12	+	56117808	0.0598592	17
SLC2A3	12	-	7919229	0.00137426	3
SRSF9	12	-	120461667	0.000636132	2
TMBIM4	12	-	66135845	0.000179249	6
ITM2B	13	+	48253933	0.000136175	2
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256528	0.00594573	6
CHMP4A	14	-	24209582	0.00104221	1
NFKBIA	14	-	35401510	0.00492341	9
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
ZFP36L1	14	-	68787659	0.00141443	4
AC245033.1	15	-	82536787	0.00011632	2
CTSH	15	-	78921057	8.40407e-05	1
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749	0.000769823	1
SERF2	15	+	43793944	0.0350877	6
ATP6V0C	16	+	2520147	0.0497512	20
COTL1	16	-	84565593	0.00799361	10
COX4I1	16	+	85806802	0.01	3
EDC4	16	+	67884328	0.0111111	2
NDUFB10	16	+	1961881	0.0136054	2
RPL13	16	+	89562373,89563117	0.00361814,0.00886469	2,6
AC120057.2	17	-	7240426	0.0440341	54
ACTG1	17	-	81509970	0.0069541	5
ATP5PD	17	-	75039017	0.00200602	2
CRK	17	-	1420688	0.000677048	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691120	0.0136054	4
EIF4A1	17	+	7578751	0.0113208	3
EVI2B	17	-	31303765	0.00603622	3
FLII	17	-	18244835	0.000163961	2
MILR1	17	+	64468474	0.00233372	1
NME1-NME2	17	+	51171628	0.0826446	10
NME2	17	+	51171628	0.0826446	10
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379787	0.0529412,0.0246637	9,22
SRSF2	17	-	76734114	0.00195503	4
RIOK3	18	+	23475374	0.0144509	5
ATP5F1D	19	+	1244736	0.00638978	2
FTL	19	+	48966878	0.153846	22
GADD45B	19	+	2477609	0.00738007	4
GMFG	19	-	39328352	0.00478949	5
IER2	19	+	13154282	0.00471698	2
IFI30	19	+	18178052	0.113475	16
JUNB	19	+	12793142	0.058104	19
JUND	19	-	18279759	0.0381695	25
LENG9	19	-	54461795	0.00680272	2
PLAUR	19	-	43648575,43655438	0.0127068,0.000654349	3,3
RPL18	19	-	48615327	0.00552565	7
RPL28	19	+	55388048,55388409	0.10597,0.00831065	3,3
RPL36	19	+	5691622	0.0178571	2
RPS11	19	+	49499596	0.0344795	5
RPS15	19	+	1440387	0.0294118	2
RPS16	19	-	39433206	0.0130293	4
RPS9	19	+	54207539,54207522	0.0479427,0.00731452	6,7
TYROBP	19	-	35904400	0.00312566	9
BCL2L11	2	+	111130374	0.028777	4
CCDC88A	2	-	55287841	2.63543e-05	2
CXCR4	2	-	136114348	0.00384615	2
IL1B	2	-	112829750	0.0245902	15
MRPL33	2	+	27779566	0.0238095	2
NR4A2	2	-	156324431	0.00113058	1
PCBP1	2	+	70088914	0.03	3
PLEK	2	+	68396072	0.0078125	2
PPP3R1	2	-	68178856	0.000949668	2
PTMA	2	+	231713081	0.00294627	4
RPL37A	2	+	216501385	0.00280308	4
SSB	2	+	169806848	0.00252845	2
TMSB10	2	+	84906627	0.107843	22
ZFP36L2	2	-	43222401	0.00156495	3
CEBPB	20	+	50192606	0.0554802	20
RPS21	20	+	62388257	0.00403226	2
TGIF2-RAB5IF	20	+	36612294	0.0205761	5
ITGB2	21	-	44885952	9.47104e-05	2
CHKB	22	-	50578948	0.00862069	2
OSM	22	-	30262828	0.00664137	7
TSPO	22	+	43163110	0.0336134	4
CX3CR1	3	-	39263493	0.00102669	2
GPX1	3	-	49357170	0.0135635	11
RHOA	3	-	49359144	0.00089153	3
RPL29	3	-	51993521	0.00486449	7
RPL35A	3	+	197954126	0.00213447	6
SERP1	3	-	150541993	0.000811688	2
USP4	3	-	49277830	0.00487013	3
BST1	4	+	15731973	0.015625	2
CXCL2	4	-	74097034	0.00277393	2
FAM193A	4	+	2725020,2725284	3.82913e-05,0.000326971	1,9
RPS3A	4	+	151104283,151104556,151104063	0.0234965,0.0448583,0.00338409	1,5,4
SCARB2	4	-	76158732	9.50751e-05	2
SLAIN2	4	+	48382881	0.0483871	3
TMEM165	4	+	55417190	0.000358912	5
BTF3	5	+	73505371	0.0150376	2
