CD48	1	-	160678745	0.00653595	2
CDC42SE1	1	-	151050970	0.000610501	2
DENND2D	1	-	111187173	0.00464037	2
DENND4B	1	-	153929500	0.00251256	2
GBP1	1	-	89052318	0.0019305	2
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991673,153992097	0.10284,0.0543305	10,6
S100A10	1	-	151982914	0.00806452	2
SELL	1	-	169690666	0.00268577	3
SSR2	1	-	156009047	0.000294551	3
TXNIP	1	-	145992434	0.00282486	4
RPS24	10	+	78040203,78040623	0.000470593,0.00111163	1,2
SRGN	10	+	69104277	0.0127389	2
AP002990.1	11	-	62559602	0.00165801	24
C11orf58	11	+	16754958	0.0238095	2
CORO1B	11	-	67435509	0.000382117	2
FAU	11	-	65120627	0.00918813	7
HSPA8	11	-	123057488	0.00816327	2
PTPRCAP	11	-	67435509	0.00896861	2
RPS25	11	-	119015711,119017192	0.00136294,0.00936486	3,6
NACA	12	-	56712427	0.0079929	9
RPL41	12	+	56117803	0.078853	22
RPLP0	12	-	120196685	0.00332421	8
ERCC5	13	+	102852329	0.0146341	3
TPT1	13	-	45333470,45337260	0.00158323,0.0867869	6,18
C15orf38-AP3S2	15	-	89834307	0.001657	2
SERF2	15	+	43793904	0.0152672	2
CORO7-PAM16	16	-	4340250,4340832	0.000265359,0.000109292	5,2
NPIPB4	16	-	21837623	0.000208435	3
PAM16	16	-	4340247,4340829	0.00356327,0.00547054	4,3
RPL13	16	+	89562392,89563324	0.178183,0.0362833	22,18
RPS2	16	-	1962051	0.00881961	14
NME1-NME2	17	+	51171673	0.0783133	13
NME2	17	+	51171673	0.0783133	13
OVCA2	17	+	2043339	0.0382979	9
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379741	0.00450529,0.0135699	14,12
TRAPPC1	17	-	7930344	0.00258065	2
MYL12A	18	+	3256061	0.020979	3
MYL12B	18	+	3278038	0.019802	2
AES	19	-	3052909	0.00211416	2
EEF2	19	-	3976055	0.00803213	3
FTL	19	+	48966811	0.0263158	2
GMFG	19	-	39328352	0.0016116	2
JUND	19	-	18279759	0.00440529	3
LENG9	19	-	54461795	0.00680272	2
RPL18	19	-	48615327,48615959	0.00487257,0.00577641	6,4
RPL28	19	+	55388047,55388316	0.0648699,0.0526766	2,5
RPL36	19	+	5691595	0.0235294	2
RPS11	19	+	49499614	0.0326051	5
RPS15	19	+	1440445	0.0238095	3
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869190	0.00284468	15
RPS28	19	+	8322091,8322331	0.0757341,0.0491981	1,3
RPS9	19	+	54207610,54207522	0.0279001,0.00522466	5,5
ING5	2	+	241723884	0.0215054	2
OST4	2	-	27070471	0.0022805	2
PTMA	2	+	231712882	0.00336076	4
RPL31	2	+	101006380	0.000956938	2
RPL37A	2	+	216501391	0.00348918	5
TMSB10	2	+	84906674	0.0557769	14
YPEL5	2	+	30159201	0.00558659	2
RPS21	20	+	62388348	0.00681431	4
ZBTB46	20	-	63743665	0.000919118	3
SIK1	21	-	43414482	0.00221337	5
AP000350.4	22	+	23895108	0.0465116	2
PPP6R2	22	+	50444323	0.0333333	3
RAC2	22	-	37225260	0.00212465	3
RPL29	3	-	51993521	0.0076442	11
RPL35A	3	+	197955769	0.00364661	16
SLC4A7	3	-	27372720	6.20482e-05	2
RPS3A	4	+	151104287,151104604,151104099	0.120474,0.0752017,0.00738916	5,11,9
CD74	5	-	150401636	0.0011976	2
NHP2	5	-	178149459	0.00595238	2
NPM1	5	+	171410727	0.0246914	4
SMN2	5	+	70069135,70070459	0.0532978,0.00075534	3,1
SQSTM1	5	+	179821712	0.0137931	2
ATP6V1G2-DDX39B	6	-	31530218,31530624	0.000588597,0.000179442	6,2
DDX39B	6	-	31530218,31530624	0.00719501,0.00544289	6,2
HLA-A	6	+	29945569	0.0175439	2
HLA-B	6	-	31353871	0.00981997	6
HLA-E	6	+	30493489	0.00330396	3
NUP43	6	-	149724314	0.00075358	2
ACTB	7	-	5527146	0.00105374	1
TRBC1	7	+	142793262	0.0165289	2
PARP10	8	-	143977152	0.000339271	2
RPL30	8	-	98041720,98042621	0.00393277,0.00273817	12,6
RPL8	8	-	144789765	0.00822293	12
RPS20	8	-	56072946	0.00405954	3
SARAF	8	-	30063011	0.000181488	1
ZFAND1	8	-	81701721	0.000564175	4
PAXX	9	+	136993877	0.0277778	2
RPL35	9	-	124857879	0.00679117	4
RPS6	9	-	19378773	0.00347826	2
SMARCA2	9	+	2040112	0.0123457	2
RPL10	X	+	154400907	0.0377358	2
RPL36A	X	+	101395432	0.00149388	5
RPL39	X	-	119786505	0.0337079	6
TMSB4X	X	+	12977091	0.0535714	15
