AL713999.1	1	-	155169408	0.00123518	4
APH1A	1	-	150265398	0.00178094	2
ATP6V0B	1	+	43978282	0.00688863	6
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320446	0.0763889	11
CD55	1	+	207359675	0.000714924	4
CDA	1	+	20618666	0.0204082	1
CRTC2	1	-	153947668	0.000351556	2
CTNNBIP1	1	-	9848275	0.000819001	2
CTSS	1	-	150730195,150730556,150732461	0.00151097,0.00015948,0.000164818	26,2,2
DAP3	1	+	155738338	0.020979	3
FCER1G	1	+	161219184	0.0456432	11
GNB1	1	-	1785284	0.000977517	2
HAX1	1	+	154275662	0.00705882	3
HIST2H2AA4	1	+	149851624	0.0254237	3
HIST2H4A	1	+	149833086	0.0222222	2
HP1BP3	1	-	20742660	0.00140449	3
IER5	1	+	181090732	0.00591017	5
INTS11	1	-	1311584	0.00017328	2
IVNS1ABP	1	-	185306749	0.00952381	2
LAPTM5	1	-	30732468	0.00662252	9
MCL1	1	-	150574550	0.00670624	18
MINOS1	1	+	19626568	0.0299401	5
MNDA	1	+	158849432	0.0410256	8
NBPF14	1	-	148531384,148534761	0.000164261,3.0311e-05	7,1
NBPF26	1	+	120834518	0.00332993	2
NCF2	1	-	183555562	0.00900901	5
NDUFS2	1	+	161214242	0.00664452	2
PGD	1	+	10420038	0.0103806	3
PTAFR	1	-	28147165	0.000707464	2
PUSL1	1	+	1311558	0.0111732	2
RPL22	1	-	6185019	0.00121065	2
RPL5	1	+	92841924	0.0338983	2
RPS27	1	+	153991676,153992151,153992150	0.105483,0.0155377,0.0530795	10,1,9
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0320513	5
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.123288	18
S100A6	1	-	153534598	0.103093	10
S100A8	1	-	153390031	0.169014	12
S100A9	1	+	153361026	1.04787	197
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281298	0.0380952	12
SLC35E2A	1	-	1727385	0.000394555	2
TAGLN2	1	-	159918106	0.00577201	4
TATDN3	1	+	212812279	0.00044484	2
TXNIP	1	-	145992434	0.00847458	12
UBXN11	1	-	26281327	0.00823893	8
UQCRH	1	+	46316699	0.0263147	5
ATP5F1C	10	+	7807752	0.031898	3
C10orf143	10	-	130063899	4.96561e-05	2
CCDC186	10	-	114161607	0.00195122	2
ECHS1	10	-	133362479	0.00515464	2
FAM107B	10	-	14518556	5.74432e-05	2
FUOM	10	-	133355153	0.0057971	2
GDI2	10	-	5765222	0.00235849	2
LIPA	10	-	89213568	0.00238284	3
MRPL43	10	-	100986273	0.00429799	3
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000367715	2
OTUD1	10	+	23441152	0.00803213	1
PSAP	10	-	71816297	0.0131234	15
RPS24	10	+	78040226,78040702	0.055865,0.0564957	1,5
SRGN	10	+	69104752	0.0427215	27
VIM	10	+	17237591	0.084771	37
AP001931.1	11	+	57742247,57743636	0.12901,0.00431972	3,6
AP002990.1	11	-	62559602	0.00270342	40
AP003419.1	11	-	67351571	0.00472813	2
APLP2	11	+	130121974	0.00239234	3
ATP5MG	11	+	118409164	0.0420933	12
BSCL2	11	-	62690274	0.00356824	4
CARD16	11	-	105041522	0.00245765	4
CCDC85B	11	+	65891509	0.017094	2
CD44	11	+	35189542	0.000740466	2
COPB1	11	-	14457505	0.00628931	2
COX8A	11	+	63976522	0.00990099	2
CTSD	11	-	1752751	0.00232558	5
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120949	0.0402685,0.00738007	6,4
HNRNPUL2-BSCL2	11	-	62690274	0.000235682	4
HSPA8	11	-	123057488	0.00816327	2
LAMTOR1	11	-	72097291	0.00724638	8
LMO2	11	-	33858575	0.000321182	2
MPEG1	11	-	59208509	0.00136054	3
MS4A6A	11	-	60172013	0.001544	9
NXF1	11	-	62792122	0.000365898	3
PRDX5	11	+	64321743	0.0384615	2
PSMA1	11	-	14504875	0.00949367	3
RHOG	11	-	3826977	0.0034188	2
RNH1	11	-	494511	0.000321543	2
RPL27A	11	+	8685636	0.0136793	12
RPS25	11	-	119015711,119017344	0.00245532,0.0161066	5,9
RPS3	11	+	75404797,75405621	0.0706116,0.0252506	16,10
RPS6KB2	11	+	67435277	0.0185185	2
SELENOH	11	+	57742247,57742961	0.0732434,0.0600207	2,7
SF1	11	-	64764605	0.00055269	3
SPI1	11	-	47354859	0.00801282	5
TALDO1	11	+	764941	0.0384459	5
TPP1	11	-	6612762	0.00031109	2
TSPAN4	11	+	866758	0.015625	2
AC023055.1	12	-	55757274	0.00843882	1
ARPC3	12	-	110434824	0.030303	10
ATP5MC2	12	-	53665165	0.0337838	5
CHD4	12	-	6570081	0.000149948	2
CNOT2	12	+	70294229,70294229	0.0208333,0.0208333	2,2
COX6A1	12	+	120440627	0.0333333	3
DYNLL1	12	+	120498388	0.0116732	3
GAPDH	12	+	6538297	0.0944882	12
GLIPR1	12	+	75499047	0.00115004	3
HCAR3	12	-	122714755	0.00244499	2
HECTD4	12	-	112265932	0.000512033	2
HSP90B1	12	+	103947746	0.00557103	2
LYZ	12	+	69354234	0.170443	173
MYL6	12	+	56161586	0.0063745	8
NACA	12	-	56712427,56712773	0.0434783,0.0509134	5,31
NCOR2	12	-	124324414	0.00175593	2
PTPN6	12	+	6961146	0.0106383	3
RPL41	12	+	56117798	0.193431	53
RPLP0	12	-	120196685	0.0029474	7
SLC2A3	12	-	7919229,7931350	0.00137426,0.0100393	3,17
SMARCC2	12	-	56162982	0.000316613	7
TPI1	12	+	6870644	0.0191571	5
UBC	12	-	124911603	0.0181818	2
YBX3	12	-	10699088	0.000909504	2
DHRS12	13	-	51767992	0.00176835	2
LCP1	13	-	46125919	0.00359066	6
MPHOSPH8	13	+	19650401	0.0291262	3
RPL21	13	+	27256332,27256511	0.0806292,0.0508414	12,11
AL121594.1	14	+	35317473	0.000170561	7
ATP5MPL	14	-	103912287	0.00296902	4
ATP6V1D	14	-	67343371	0.00123153	5
ATXN3	14	-	92058551	5.75357e-05	2
DAD1	14	-	22564904	0.000292597	3
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.0136761	25
OXA1L	14	+	22771659	0.019802	2
PSMA6	14	+	35317492	0.0243902	6
PSME2	14	-	24143364	0.000802246	2
RNASE6	14	+	20782410	0.0116279	3
RPS29	14	-	49583571	0.0315789	3
SLC7A7	14	-	22773221	0.00175439	4
SYNJ2BP-COX16	14	-	70326063	0.0185874	5
TINF2	14	-	24239642	0.00165426	2
TSHR	14	+	81108695	0.0125523	3
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538294,82538868	0.047662,0.00108974,0.000173381	21,16,2
CLN6	15	-	68206991	0.000120584	5
NOP10	15	-	34341712	0.021292	5
PKM	15	-	72199028	0.000614358	7
PPIB	15	-	64155811	0.014218	3
RPLP1	15	+	69455550	0.0465116	2
RPS17	15	-	82536749,82538256	0.047619,0.0597377	4,34
SERF2	15	+	43794025	0.0595238	15
SLC12A6	15	-	34229995	0.000242512	2
SQOR	15	+	45691124	0.0212766	2
USP3	15	+	63539422,63537693	0.000427636,0.000522062	4,4
AC010531.1	16	-	87302875	0.00207564	5
AC135050.2	16	-	31083438	0.000779727	6
ALDOA	16	+	30070393	0.180505	50
ATP6V0C	16	+	2520034	0.0588235	17
BOLA2-SMG1P6	16	-	29443229	0.000278242	3
BRICD5	16	-	2209252	0.0183486	2
C16orf95	16	-	87302800	0.00202302	5
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66566018	0.000684229	2
CKLF-CMTM1	16	+	66566153	0.000654022	2
COTL1	16	-	84565593	0.0119904	15
COX4I1	16	+	85806803	0.00996678	3
CYBA	16	-	88643282	0.0285714	2
MSRB1	16	-	1938209	0.000983929	3
NDUFAB1	16	-	23581001	0.000205761	3
NDUFB10	16	+	1961903	0.0177515	3
NPRL3	16	-	85385	7.57289e-05	3
PPP4C	16	+	30085158	0.0208333	2
PRSS53	16	-	31083424	0.0164384	5
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562963,89563105	0.197376,0.0521374	40,11
RPS2	16	-	1962051,1962482	0.116505,0.0150924	24,18
SLX1A	16	+	30197338	0.031746	2
STUB1	16	+	682632	0.034965	5
AC087289.3	17	-	75898644	0.00109639	12
AC104581.2	17	-	7925930	0.000427807	2
AC120057.2	17	-	7240426,7240532	0.0245083,0.00908933	30,10
ACTG1	17	-	81509970	0.0292072	21
C1QBP	17	-	5432776	0.00840336	2
DDX5	17	-	64499615	0.00237581	11
DNAJC7	17	-	41976432	0.000184624	5
EIF1	17	+	41691467	0.0171607	11
EIF4A1	17	+	7578579	0.11828	11
EVI2B	17	-	31303765	0.00804829	4
GRB2	17	-	75318075	0.00130095	3
MRPL38	17	-	75898642	0.0531401	11
NME1-NME2	17	+	51171742	0.0893617	21
NME2	17	+	51171744	0.0886076	21
NUFIP2	17	-	29255835	0.000229806	2
PER1	17	-	8140471	0.0012766	3
PFN1	17	-	4945651	0.0241935	6
PSMB3	17	+	38764118	0.000792083	2
PSMD11	17	+	32480881	0.008	2
RANGRF	17	+	8289932	0.00539084	2
RNASEK-C17orf49	17	+	7017413	0.0217391	2
RPL19	17	+	39204682	0.0588235	2
RPL26	17	-	8377515,8379766	0.201342,0.0832419	29,75
SLC26A11	17	+	80251535	0.0171429	3
SRSF2	17	-	76734114	0.000977517	2
TIMP2	17	-	78852976	0.000449539	2
TRAPPC1	17	-	7930344	0.00258065	2
TXNDC17	17	+	6643024	0.00168209	2
UTP18	17	+	51288180	0.000244798	2
VMP1	17	+	59841092,59773801	8.77261e-05,0.000110223	2,4
WDR45B	17	-	82614561	0.000132864	1
MYL12A	18	+	3256178	0.0115385	3
MYL12B	18	+	3278184	0.0161943	4
AC007192.1	19	+	18178117	0.00598253	49
AC008763.3	19	+	7682852	0.0385675	14
AD000671.2	19	-	35739251	0.000390549	2
AP2S1	19	-	46838135	0.00643087	2
BLVRB	19	-	40447764	0.000389902	4
C19orf24	19	+	1279022	0.00816327	2
CFD	19	+	863335	0.0206186	2
COX6B1	19	+	35658757	0.0136054	2
EEF2	19	-	3976055	0.0261044	13
ETHE1	19	-	43506718	9.85076e-05	2
EXOSC5	19	-	41386373	0.00772201	2
FOSB	19	+	45474224,45472081	0.00218182,0.00665449	3,6
FTL	19	+	48966875	0.192857	27
GMFG	19	-	39328352	0.00561566	6
GP6	19	-	55013704	0.00164474	2
GPX4	19	+	1106741	0.025641	5
GSK3A	19	-	42230185	0.00328947	2
HCST	19	+	35904213	0.0377358	2
HOMER3	19	-	18929200	0.00826446	2
IFI30	19	+	18178116	0.117073	24
JUNB	19	+	12793226	0.0437956	18
JUND	19	-	18279759,18279885	0.0439352,0.00554972	29,3
KLF2	19	+	16327442	0.00470588	1
LENG9	19	-	54461795	0.00680272	2
LILRA2	19	+	54577972	0.0103448	3
MARK4	19	+	45305283	7.32708e-05	1
MBOAT7	19	-	54173411	0.000389788	4
MKNK2	19	-	2037464	0.000327332	2
MOB3A	19	-	2071037	0.000848536	2
NDUFA11	19	-	5894674	0.000590929	4
NDUFA13	19	+	19528130	0.0639908	14
NDUFA3	19	+	54106866	0.0021575	1
NDUFB7	19	-	14566077	0.00664011	5
NDUFS7	19	+	1395554,1395555	0.000583352,0.000433803	3,3
PPP2R1A	19	+	52229532	0.000807972	3
RASGRP4	19	-	38409054	0.000928936	2
REX1BD	19	+	18592141	0.00157604	2
RPL18	19	-	48615327,48615828,48616030	0.003992,0.0946063,0.00920085	2,14,6
RPL28	19	+	55388047,55388373,55403216	0.197831,0.0676391,0.0235294	6,11,2
RPL36	19	+	5691669	0.0357143	5
RPS11	19	+	49499660	0.0974018	26
RPS15	19	+	1440452	0.0601504	8
RPS16	19	-	39433206	0.0423453	13
RPS19	19	+	41869191	0.00360258	19
RPS28	19	+	8322091,8322418	0.0995973,0.0878442	1,14
RPS9	19	+	54207586,54207522	0.121656,0.0681004	23,19
STX10	19	-	13144057	0.000361664	2
TRIR	19	-	12730639	0.00348432	3
TYROBP	19	-	35904400,35905155	0.066283,0.00509369	51,3
UBA52	19	+	18575215	0.0307692	2
UBL5	19	+	9830075	0.0222222	2
USE1	19	+	17219346	0.00205339	2
ARPC2	2	+	218254211	0.0236486	7
CHMP3	2	-	86503430	0.000842815	2
FOSL2	2	+	28412755	0.00651466	2
GEMIN6	2	+	38781695	0.0121212	2
IL1B	2	-	112829750	0.0344262	21
LAPTM4A	2	-	20032649	0.00540541	3
MTLN	2	-	110211528	0.00363196	3
NHEJ1	2	-	219146706	0.000731506	7
NMI	2	-	151270464	0.0131579	3
NR4A2	2	-	156324431	0.00226116	3
OST4	2	-	27070471	0.00338997	2
PCBP1	2	+	70089058	0.00819672	2
PLEK	2	+	68396135	0.00626959	2
POLE4	2	+	74969623	0.0199005	4
PTMA	2	+	231711981,231712883	0.0590002,0.00221734	6,2
RNF103-CHMP3	2	-	86505667	0.0367647	5
