CDC42SE1	1	-	151050970	0.000610501	2
CCDC7	10	+	32685967,32686209	1.09476e-05,2.78547e-05	1,2
MCU	10	+	72727979,72787513,72787515	9.49208e-05,0.000113053,9.6788e-05	3,10,7
MMS19	10	-	97458323	0.000132112	3
AP002990.1	11	-	62559602	0.000441545	6
IFITM1	11	+	315221	0.037037	4
IFITM2	11	+	315221	0.037037	4
RPS25	11	-	119015711	0.000898876	2
RBM25	14	+	73088588	0.0239234	5
RPL13	16	+	89562966	0.00233827	3
RPS2	16	-	1962051	0.00296033	5
AC015813.2	17	-	57989037	0.000239392	4
ICAM2	17	-	64002593	0.00153728	2
PFN1	17	-	4945651	0.00806452	2
SHPK	17	-	3608261	0.000870322	2
MALT1	18	+	58710155	0.023622	3
JUNB	19	+	12792959	0.0208333	3
PPP1R15A	19	+	48875267	0.0172414	3
RABAC1	19	-	41956680	0.0097561	2
RPS19	19	+	41869190	0.000568936	3
RTN2	19	-	45485288,45487200,45489833	0.00022071,0.00408046,0.000594428	1,28,2
S1PR4	19	+	3180059	0.0178571	2
UBE2M	19	-	58555711	0.00795756	3
VASP	19	+	45526981	0.000473597	2
ZFP14	19	-	36360111	0.00634921	2
GLS	2	+	190913371	0.011976	2
WBP1	2	+	74460813	0.030303	4
WIPF1	2	-	174566160	0.00339751	3
ZFP36L2	2	-	43222401	0.0010433	2
XBP1	22	-	28794554	0.00201816	2
CD96	3	+	111567797	0.00763359	2
RPL35A	3	+	197954113	0.000714796	2
TNIK	3	-	171346933	0.0333333	9
RPS3A	4	+	151104585	0.00578035	2
CAMK4	5	+	111395354,111395263	0.0113269,0.0132827	7,7
DBN1	5	-	177456607	0.00160514	2
GOLPH3	5	-	32126366	0.000105516	5
RAD50	5	+	132579968	0.00622084	4
HLA-A	6	+	29945883	0.0116822	5
HLA-C	6	-	31268748	0.000790514	2
AC105052.1	7	-	102582522	6.99913e-05	2
H2AFV	7	-	44834924	0.00535714	3
TRBC2	7	+	142802702	0.0289017	5
TSC22D4	7	-	100466518	0.00454545	2
HSD17B10	X	-	53431257	0.00638978	2
