AL713999.1	1	-	155169408	0.000496401	2
ATP5PB	1	+	111461122	0.015625	2
C1orf162	1	+	111478313	0.0263158	5
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320433	0.0229008	3
CDA	1	+	20618760	0.015625	3
CTSS	1	-	150730195	0.00011318	2
EIF3I	1	+	32231408	0.0141509	3
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219205	0.0458015	12
GJA9-MYCBP	1	-	38864502	0.000217794	2
GNB1	1	-	1785284	0.000977517	2
H3F3A	1	+	226071956	0.00838574	4
LAPTM5	1	-	30732468	0.00662252	9
MCL1	1	-	150574550	0.00318697	9
MEF2D	1	-	156463726	0.000256476	3
MINOS1	1	+	19626541	0.0214286	3
MNDA	1	+	158849414	0.0282486	5
NCF2	1	-	183555562	0.00899072	4
PARK7	1	+	7985146	0.0217391	2
PPP1R15B	1	-	204403386	0.000739372	2
PRDX6	1	+	173487900	0.0540541	2
PTP4A2	1	-	31906420	0.000404804	3
RNPEP	1	+	202005831	0.0173913	2
RPL5	1	+	92841922	0.0350877	2
RPS27	1	+	153991673,153992152	0.122449,0.0326087	12,3
S100A10	1	-	151982914	0.0443548	11
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0684932	10
S100A6	1	-	153534598	0.0515464	5
S100A8	1	-	153390031	0.211268	15
S100A9	1	+	153360900,153361021	1.13001,0.289285	70,52
SARS	1	+	109237999	0.018018	2
SLC35E2B	1	-	1661477	0.000697026	3
TMEM50A	1	+	25360906	0.00995025	2
TPM3	1	-	154155303	0.000279642	5
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00823893	8
UROD	1	+	45015420	0.0322581	2
FRAT2	10	-	97332496	0.0014556	2
GDI2	10	-	5765222	0.00471698	4
HNRNPH3	10	+	68342144	0.0222222	2
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000367715	2
PSAP	10	-	71816297	0.0148731	17
RPS24	10	+	78040224,78040676	0.0596329,0.0468888	1,3
SRGN	10	+	69104590	0.0106383	5
VIM	10	+	17237559	0.0300982	45
ANAPC15	11	-	72109582	0.00671141	2
AP002990.1	11	-	62559602,62559722	0.00199885,0.000543217	29,8
APLP2	11	+	130121132	0.00485437	1
ASCL2	11	-	2268494	0.00159236	2
ATP5MG	11	+	118409125	0.000917431	2
CFL1	11	-	65854674	0.01059	7
CTSD	11	-	1752751	0.00465116	10
DENND5A	11	-	9138824	0.00315789	3
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120932	0.0681818,0.0125224	9,7
FERMT3	11	+	64223692	0.01	2
LAMTOR1	11	-	72097291	0.00362319	4
LMO2	11	-	33858575	0.000642364	4
MPEG1	11	-	59208509	0.00136054	3
MTRNR2L8	11	-	10507886	0.00754717	2
PPP1CA	11	-	67398182	0.0113636	4
RPS25	11	-	119015711,119017211	0.00268719,0.0138221	5,10
SIK3	11	-	116843401	2.38217e-05	2
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.00801282	5
TALDO1	11	+	764988	0.00517656	2
TPP1	11	-	6612762	0.00031109	2
TSPAN4	11	+	866776	0.0136986	2
UNC93B1	11	-	67991103	0.00452489	2
WDR74	11	-	62832341	0.0114754	7
AC078927.1	12	-	66123916	0.00042343	6
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0181818	6
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719611	0.00598802	3
BLOC1S1-RDH5	12	+	55719611	0.00598802	3
CDK2AP1	12	-	123260970	0.00522876	3
CLEC7A	12	-	10116776	0.000711889	7
GAPDH	12	+	6538345	0.12	21
HCAR2	12	-	122701292	0.00333704	3
HCAR3	12	-	122714755	0.00244499	2
KRR1	12	-	75490860	0.000314727	2
LDHB	12	-	21635341	0.01	2
LTA4H	12	-	96000827	8.44916e-05	2
LYZ	12	+	69354233	0.137081	139
MYL6	12	+	56161534	0.0466568	6
NACA	12	-	56712427,56712702	0.0283393,0.0195471	11,13
NDUFA12	12	-	94971331	7.81311e-05	2
NFE2	12	-	54292110	0.00760456	2
OSBPL8	12	-	76351796	0.000488759	2
PFDN5	12	+	53298150,53299358	0.00306558,0.087907	4,15
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117826	0.162252	49
RPLP0	12	-	120196685	0.00293909	7
SRSF9	12	-	120461667	0.000636132	2
STAT6	12	-	57095407	0.000167983	2
TMBIM4	12	-	66135845	0.000221411	7
UBC	12	-	124911603	0.0181818	2
ALOX5AP	13	+	30764213	0.0186916	1
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256331,27256483	0.0424348,0.0762251	6,15
AL132780.3	14	-	22946269	0.0156863	4
FOS	14	+	75282030	0.00330033	2
HAUS4	14	-	22946227	0.013468	4
HSP90AA1	14	-	102080737,102082664	0.00308008,0.000733945	3,2
NFKBIA	14	-	35401510	0.00273523	5
PSME1	14	+	24138847	0.00542005	2
