CD52	1	+	26320409	0.0280374	3
HDAC1	1	+	32333134	0.0222222	2
ID3	1	-	23557917	0.00287908	3
MINOS1-NBL1	1	+	19601043	0.0188679	3
RPS27	1	+	153991674,153992135	0.0976388,0.0541269	9,7
SFPQ	1	-	35176377	0.00183486	3
NDUFB8	10	-	100523936	0.000735429	4
RPS24	10	+	78040661	0.040815	2
AP002990.1	11	-	62559602	0.00171064	25
CCDC73	11	-	32602245	0.00353982	2
CORO1B	11	-	67435509	0.000573175	3
FAU	11	-	65120627	0.00802918	6
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315162	0.0408163	1
IFITM2	11	+	315162	0.0408163	1
NARS2	11	-	78436732	4.76826e-05	2
PTPRCAP	11	-	67435509	0.00896861	2
RBM14	11	+	66622573	0.000926946	3
RPS25	11	-	119015711	0.0199802	16
AC068775.1	12	-	10412311	0.0269231	7
ANKRD52	12	-	56237806	0.000374883	2
ARHGDIB	12	-	14942016	0.0039604	2
HSP90B1	12	+	103947538	0.013245	2
KLRC3	12	-	10412311	0.0269231	7
KLRC4-KLRK1	12	-	10372352	0.000339943	12
KLRK1	12	-	10372352,10373184,10378216	0.0157687,0.00139584,0.00266192	11,7,1
NACA	12	-	56712427,56712724	0.00673296,0.00652882	7,5
RPL41	12	+	56117767	0.123457	30
RPLP0	12	-	120196685	0.00179233	4
TMEM116	12	-	111931281,111942019	0.000202704,3.74861e-05	9,1
WASHC3	12	-	102012926	0.000106301	4
RPL21	13	+	27256334,27256549	0.106633,0.0348764	16,8
AC005520.1	14	+	73892985	0.010101	9
FOS	14	+	75280325	0.025974	2
HSP90AA1	14	-	102080737,102082664	0.00308008,0.00145546	3,3
IRF2BPL	14	-	77024542	0.00232829	2
RPS29	14	-	49583571	0.0210526	2
B2M	15	+	44716217,44717984	0.0372747,0.0485531	2,26
IMP3	15	-	75639084	0.00378072	2
PSMA4	15	+	78548911	0.0384615	4
SERF2	15	+	43793880	0.0186916	1
SNRPN	15	+	24978512	0.0294118	2
RPL13	16	+	89562944,89563186	0.181188,0.0252375	34,7
RPS2	16	-	1962051	0.0194879	32
AC026954.2	17	-	7312660	0.00104239	3
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691362	0.00373134	2
EIF4A1	17	+	7578633	0.0272109	4
RPL26	17	-	8377515,8379766	0.0469799,0.0219058	7,20
SKAP1	17	-	48133439,48224937	8.68982e-05,0.000221046	10,5
TRAPPC1	17	-	7930344	0.00258065	2
ELP2	18	+	36167226	0.0176991	2
EEF2	19	-	3976055	0.0060241	3
FTL	19	+	48966791	0.0357143	2
GTF2F1	19	-	6379568	0.00280899	2
JUNB	19	+	12793227	0.0339806	14
LSM7	19	-	2321516	0.000662105	3
MAN2B1	19	-	12646512	0.0186916	1
MYDGF	19	-	4657544	0.00434783	2
NLRP2	19	+	54986401	0.0273973	2
