ADAR	1	-	154582056	0.000255004	2
AL591806.3	1	-	160997956	0.000510305	11
AL713999.1	1	-	155169408,155169690	0.00147303,0.000284266	5,1
ARHGAP30	1	-	161046947	0.00391134	3
ATP5PB	1	+	111461132	0.0289855	4
ATP6V0B	1	+	43978288	0.038961	12
CAPZB	1	-	19338775	0.000752634	3
CD48	1	-	160678745	0.0392157	12
CD52	1	+	26320449	0.0272109	4
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.00016977	3
DDOST	1	-	20651766	0.0212405	12
EIF2D	1	-	206591641	0.0300752	4
ELOVL1	1	-	43363396	0.00385356	2
ENO1	1	-	8860999	0.00156006	11
FCER1G	1	+	161219200	0.0856031	22
FHL3	1	-	37996769	0.00314961	2
GNB1	1	-	1785284	0.00193764	3
HDGF	1	-	156742106	0.00149031	2
IARS2	1	+	220147767	0.0227273	3
IFI6	1	-	27666060	0.00625	2
KHDRBS1	1	+	32042697	0.0273973	2
LAPTM5	1	-	30732468	0.00735835	10
LMNA	1	+	156139405	0.0167224	5
LRRC42	1	+	53968029	0.0222222	2
MARCKSL1	1	-	32333831	0.00653595	5
MCL1	1	-	150574550	0.00318697	9
MINOS1	1	+	19626508	0.0654206	6
MNDA	1	+	158849493	0.0078125	2
MRPL20	1	-	1401907,1402181	0.0114286,0.00516796	2,2
NBPF14	1	-	148531384	0.000123281	5
NCF2	1	-	183555562	0.0108108	6
NDUFS5	1	+	39034614	0.0169492	2
NID1	1	-	235975829	0.000981836	2
NOTCH2	1	-	119992780	0.000770812	3
NRDC	1	-	51789190	0.000693963	2
NUDC	1	+	26946257	0.0263158	2
PABPC4	1	-	39560815	0.00566207	4
PKN2	1	+	88833594	0.0136986	2
PLK3	1	+	44805860	0.010989	2
POLR3GL	1	+	145978566	0.0168067	2
PRDX1	1	-	45511035	0.00682594	2
PUM1	1	-	30931505	0.00117302	2
RBP7	1	+	10016018	0.000222257	2
RCC2	1	-	17406759	0.000858369	2
RPL22	1	-	6185019	0.0035087	5
RPS27	1	+	153991673,153992127	0.141767,0.044862	13,6
S100A10	1	-	151982914	0.173387	43
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.116438	17
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153360898,153361022	0.662849,0.137114	39,25
SDF4	1	-	1216907	0.00116754	2
SDHB	1	-	17018721	0.0125786	2
SELENOF	1	-	86862444	0.000539084	2
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281308	0.0830769	27
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.0186612	12
TMEM56-RWDD3	1	+	95247079	0.0334928	7
TOMM20	1	-	235109335	0.00107703	2
