TAGLN2	1	-	159918106	0.002886	2
TMEM56-RWDD3	1	+	95247002	0.0454545	6
C10orf95	10	-	102449836	0.00487805	3
STAM	10	+	17673077	0.030303	3
WAC	10	+	28623112,28538595,28541597,28559905,28571091,28610707	6.18888e-05,0.00135086,0.000482566,0.000201883,0.000475437,0.000264016	2,5,3,5,17,20
AP002990.1	11	-	62559602	0.000855151	13
AP003419.1	11	-	67351571	0.0118203	5
NACA	12	-	56712427	0.0017762	2
TMEM116	12	-	111931281	6.31938e-05	3
ERH	14	-	69386654	0.00657895	2
HSP90AA1	14	-	102082664	0.00349035	9
PPP2R5C	14	+	101921323	0.0215054	2
NPIPB12	16	-	29485632	0.000205311	3
RPS2	16	-	1962051	0.0017762	3
TXNDC11	16	-	11692013,11701116	0.000254428,9.56843e-05	7,1
AC120057.2	17	-	7240426	0.00240192	3
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691139	0.00638978	2
FOSB	19	+	45472081	0.0114833	12
JUNB	19	+	12793144	0.0182371	6
PPM1N	19	+	45502112	0.0303009	2
RPS16	19	-	39433206	0.00651466	2
RTN2	19	-	45485288	0.000790068	7
RNF149	2	-	101271221	0.00144092	3
RPL37A	2	+	216501442	0.00269542	4
DTD1	20	+	18649454,18660422	5.88356e-05,0.000180253	1,7
RPS21	20	+	62388334	0.0052356	3
ITGB2	21	-	44885952	0.000284131	6
DIMT1	5	-	62392177	0.000950269	6
SQSTM1	5	+	179821877	0.0451613	14
AL589666.1	6	-	85557977	3.64272e-05	2
HLA-A	6	+	29945681	0.0176991	4
HLA-B	6	-	31353871	0.01473	9
HSPA1B	6	+	31830252	0.00797872	2
IFNGR1	6	-	137197483	0.000240423	3
SNX14	6	-	85513856	0.000193994	10
ACTB	7	-	5527146	0.00105374	1
EEF1D	8	-	143579696	0.00321543	3
FAM102A	9	-	127940578	0.000765404	2
NPDC1	9	-	137039469	0.00337838	2
UHRF2	9	+	6422819	0.0253165	4
