AL445685.3	1	-	52020152	0.000159439	1
AL713999.1	1	-	155169408	0.000496401	2
ARHGEF2	1	-	155946850	0.000500626	1
ATP5IF1	1	+	28237987	0.0019595	3
BTF3L4	1	+	52086857	0.0145985	2
CAPZA1	1	+	112671616	0.00202156	3
CAPZB	1	-	19338775	0.00275066	10
CD52	1	+	26320521	0.0365297	8
CDK11A	1	-	1702729	0.0017452	4
COP1	1	-	175944830	1.16953e-05	3
CTSS	1	-	150730195	0.000619886	10
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219235	0.136986	40
FCGR3A	1	-	161541758	0.0215483	27
G0S2	1	+	209676367	0.0215633	8
GNG5	1	-	84498324	0.00141431	4
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851596	0.0444444	4
LAPTM5	1	-	30732468	0.00294334	4
MARCKSL1	1	-	32333831	0.00261438	1
MINOS1	1	+	19626588	0.0213904	3
NADK	1	-	1751231	0.00119617	2
NEXN	1	+	77943008	0.027933	5
PARK7	1	+	7985144	0.0444444	4
PRDX1	1	-	45511035	0.0136519	4
PTP4A2	1	-	31906420	0.000404804	3
PTPRC	1	+	198756674	0.0040568	2
RABGAP1L	1	+	174958039	0.0149254	2
RHOC	1	-	112701105	0.00216732	5
RPF1	1	+	84497655	0.0162162	3
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991673,153992136	0.0673019,0.065599	6,11
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0576923	9
S100A4	1	-	153543612	0.164384	24
S100A6	1	-	153534598	0.0721649	6
SFPQ	1	-	35176377	0.0030581	5
SH3BGRL3	1	+	26281522	0.0649351	35
SLC27A3	1	+	153780121	0.0168067	2
SSR2	1	-	156009047	0.000294551	3
TSTD1	1	-	161037630	0.00806452	2
TXNDC12	1	-	52020130	0.000192215	2
TXNIP	1	-	145992434	0.00635593	9
UBXN11	1	-	26281327	0.0185376	18
UQCRH	1	+	46316579	0.000472813	3
UROD	1	+	45015445	0.0344828	3
WASF2	1	-	27404225	0.000757002	3
APBB1IP	10	+	26567600	0.0267857	3
ATP5F1C	10	+	7807800	0.00486172	3
ATP5MD	10	-	103389040	0.000634317	2
COX15	10	-	99713514	0.00839552	9
EXOC6	10	+	92999865	0.00948767	5
GDI2	10	-	5765222	0.00707547	6
LIPA	10	-	89213568	0.00317712	3
MRPL43	10	-	100981375	0.000823384	2
NCOA4	10	-	46005087	0.000985464	4
PLXDC2	10	+	20279947	0.015625	2
PSAP	10	-	71816297	0.00349956	4
RPS24	10	+	78040695	0.000733945	2
