ADIPOR1	1	-	202940822	0.00101523	3
AL713999.1	1	-	155169408	0.00166928	6
ARHGAP30	1	-	161046947	0.0065189	5
C1orf162	1	+	111478233	0.0272727	3
CDA	1	+	20618680	0.0178571	2
CDK11B	1	-	1635226	0.000304321	2
CTSS	1	-	150730195	0.000506116	8
ENO1	1	-	8860999	0.000425472	3
FCER1G	1	+	161219185	0.0289256	7
GNG5	1	-	84498324	0.000568182	2
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851581	0.0266667	2
JAK1	1	-	64833228	0.00150038	2
JUN	1	-	58780787	0.002331	3
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00147167	2
MCL1	1	-	150574550	0.00141643	4
MNDA	1	+	158849469	0.0215517	5
NCF2	1	-	183555562	0.00720721	4
PADI4	1	+	17363884	0.0232558	3
PGD	1	+	10419891	0.0211268	3
PHC2	1	-	33323622	0.00161031	2
PRDX1	1	-	45511035	0.00682594	2
PTGS2	1	-	186671790	0.00078064	2
PUM1	1	-	30931505	0.00117302	2
RPS27	1	+	153991676,153992132	0.104516,0.00438765	10,2
S100A10	1	-	151982914	0.0443548	11
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.140845	10
S100A9	1	+	153361027	0.968254	183
SELL	1	-	169690666	0.00358102	4
SLC27A3	1	+	153780082	0.025	2
SLC35E2A	1	-	1727385	0.000394555	2
SRRM1	1	+	24648887	0.0357143	3
TMED5	1	-	93149741	0.000296868	1
TMEM69	1	+	45693995	0.0222222	2
UBR4	1	-	19074505	0.00911273	2
UBXN11	1	-	26281327	0.00823893	8
ZBED6	1	+	203801349	0.00225479	2
NDUFB8	10	-	100523936	0.000367715	2
PSAP	10	-	71816297	0.0148731	17
SEC31B	10	-	100486641	0.000133893	3
VIM	10	+	17237591	0.0713239	32
AHNAK	11	-	62515904	0.00476758	4
ANAPC15	11	-	72109582	0.00671141	2
AP002990.1	11	-	62559602	0.00163098	24
APLP2	11	+	130122159	0.00208478	3
C11orf58	11	+	16754958	0.0357143	3
CCDC88B	11	+	64357375	0.0142349	4
COX8A	11	+	63976428	0.0185185	2
CTSD	11	-	1752751	0.00325581	7
FAU	11	-	65120627,65120978	0.0505618,0.0194932	9,10
GANAB	11	-	62624825	0.000137457	1
MPEG1	11	-	59208509	0.00136054	3
MS4A6A	11	-	60172013	0.00201542	12
NUMA1	11	-	72002863	0.00452489	3
NUP98	11	-	3675009	0.000164596	4
PICALM	11	-	85957683	3.08923e-05	1
PRDX5	11	+	64321791	0.02	2
PSMA1	11	-	14504875	0.00632911	2
RNH1	11	-	494511	0.000482315	3
RPL27A	11	+	8685554	0.00365806	5
RPS25	11	-	119015711	0.00359551	8
SF1	11	-	64764605	0.00036846	2
STX3	11	+	59802708	0.000144739	1
TALDO1	11	+	764943	0.037577	5
TRIM44	11	+	35810924	0.000660939	3
UCP2	11	-	73974666	0.00973236	4
VPS51	11	+	65111860	0.00127497	3
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.0212121	7
BLOC1S1	12	+	55719615	0.00792079	4
BLOC1S1-RDH5	12	+	55719615	0.00792079	4
BTG1	12	-	92140277	0.000526039	2
GAPDH	12	+	6538347	0.0112994	2
GLIPR1	12	+	75499062	0.000847285	2
HSP90B1	12	+	103947820	0.00692841	3
LDHB	12	-	21635341	0.01	2
LYZ	12	+	69354211	0.145161	144
M6PR	12	-	8940362	0.000938086	3
MAP3K12	12	-	53479668	0.00132188	2
MYL6	12	+	56161501	0.0672204	7
NACA	12	-	56712427,56712718	0.00707465,0.00722627	7,6
PHB2	12	-	6965351	0.00182315	2
PTPN6	12	+	6961200	0.00892857	3
RPL41	12	+	56117786	0.133588	35
RPLP0	12	-	120196685	0.00366263	9
TMBIM4	12	-	66135845	8.96245e-05	3
TUBA1A	12	-	49184795	0.0233645	5
UBC	12	-	124911603	0.0181818	2
CRYL1	13	-	20403665	2.72918e-05	2
LCP1	13	-	46125919	0.00777977	13
RPL21	13	+	27256519	0.0404753	15
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90404676	0.00892857	2
ERH	14	-	69380122	0.00481928	2
FOS	14	+	75282229	0.0983607	54
IRF9	14	+	24166523	0.0275229	9
LGALS3	14	+	55145400	0.0155039	2
NFKBIA	14	-	35401510	0.00601751	11
PSME1	14	+	24138786	0.00649351	2
RNASE2	14	+	20956329	0.0277778	2
RNASE6	14	+	20782305	0.0130719	2
RPS29	14	-	49583571	0.0315789	3
TRAPPC6B	14	-	39147811	0.000171424	2
AC245033.1	15	-	82536787,82538240,82538814	0.00623301,0.000436827,0.000166118	13,6,2
CSK	15	+	74802793	0.0142857	4
NPTN	15	-	73560013	0.0010395	2
PKM	15	-	72199028	0.000702124	8
PPIB	15	-	64155811	0.0189573	4
PSMA4	15	+	78548897	0.0222222	2
RPS17	15	-	82536749,82538202,82538776	0.00137653,0.118013,0.00657865	2,13,3
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793969	0.0408163	7
AC126755.2	16	-	18358085	0.00152788	2
ALDOA	16	+	30070388	0.172794	47
BOLA2B	16	-	30192933	0.0047619	2
CES1	16	-	55802850	0.00168966	6
CKLF	16	+	66565909	0.00142146	4
CKLF-CMTM1	16	+	66565909	0.00142146	4
CORO1A	16	+	30189071	0.0280374	3
COTL1	16	-	84565593	0.0119904	15
COX4I1	16	+	85806805	0.00990099	3
IL27	16	-	28499361	0.00692042	2
MT2A	16	+	56609346	0.0124224	1
NDUFB10	16	+	1961866	0.0151515	2
RPL13	16	+	89562391,89563284	0.0957741,0.0571678	12,29
RPS2	16	-	1962051	0.0129722	21
AC015813.2	17	-	57989037	0.000239392	4
AC046185.1	17	-	63702844	0.000312952	8
AC120057.2	17	-	7240426	0.0352282	44
ACTG1	17	-	81509970	0.0125174	9
ASGR1	17	-	7173430	0.00760456	4
CSNK1D	17	-	82239022	0.00314795	3
DDX5	17	-	64499615	0.00194384	9
EIF1	17	+	41691079	0.027668	7
EIF4A1	17	+	7578730	0.0245902	6
EVI2B	17	-	31303765	0.0100604	5
FAAP100	17	-	81539884	0.000166127	2
GABARAP	17	-	7240459	0.0447368	43
GRB2	17	-	75318075	0.000867303	2
NME1-NME2	17	+	51171643	0.0514706	7
NME2	17	+	51171643	0.0514706	7
PFN1	17	-	4945651	0.0403226	10
POLG2	17	-	64477784	0.010101	2
PSMB3	17	+	38764124	0.000939296	3
RPL19	17	+	39204732	0.0238095	2
