AL713999.1	1	-	155169408	0.00323688	13
ALG6	1	+	63438561	0.000175979	6
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.0261438	8
CD52	1	+	26320500	0.0656566	13
CDK11A	1	-	1702729	0.00345991	7
FCMR	1	-	206904385	0.000233945	2
FCRL2	1	-	157745732,157766613	0.00199402,0.010989	1,2
H3F3A	1	+	226071845	0.0300546	11
HIST2H2AA4	1	+	149851624	0.0254237	3
HIST2H4A	1	+	149833458	0.004329	2
KDM1A	1	+	23083500	0.0147059	2
LAPTM5	1	-	30732468	0.00441501	6
LSM10	1	-	36393429	0.00609756	2
MARCKSL1	1	-	32333831	0.00261438	1
PABPC4	1	-	39560815	0.00226757	2
PARK7	1	+	7985184	0.0230769	3
PIK3C2B	1	-	204422627	0.000899281	2
PMF1	1	+	156237789	0.000917095	5
PRDX1	1	-	45511035	0.00682594	2
QSOX1	1	+	180178969	0.05	6
RPL11	1	+	23695199	0.000617093	2
RPL5	1	+	92841911	0.0434783	2
RPS27	1	+	153991675,153992154	0.41,0.108696	41,10
S100A4	1	-	153543612	0.0136986	2
SSR2	1	-	156009047	0.000196367	2
SSU72	1	-	1541672	0.00508906	2
TAGLN2	1	-	159918106	0.002886	2
TPM3	1	-	154155303,154156584	0.000506301,0.000153014	9,2
UBXN11	1	-	26281327	0.0030896	3
COMMD3-BMI1	10	+	22327959	0.00373648	5
GDI2	10	-	5765222	0.00235849	2
NDUFB8	10	-	100523936	0.000551572	3
RPS24	10	+	78040696	0.00273966	7
VIM	10	+	17236613	0.00163934	2
AP001931.1	11	+	57742247,57743388	0.0622756,0.00438234	1,5
AP002990.1	11	-	62559602,62559731	0.00608923,0.000566671	90,8
AP003419.1	11	-	67351571	0.0378251	16
ATP5MG	11	+	118409235	0.0034465	7
CCDC85B	11	+	65891486	0.0212766	2
CORO1B	11	-	67435509	0.00743289	38
EEF1G	11	-	62559600	0.0384615	3
FAU	11	-	65120627,65120977	0.0677966,0.0194553	12,10
HSPA8	11	-	123057488	0.00816327	2
MARK2	11	+	63909396	0.0125786	2
PATL1	11	-	59636715	0.00119474	1
PNPLA2	11	+	824987	0.016	2
PPP1CA	11	-	67398182	0.0113636	4
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.116592	26
RASGRP2	11	-	64726910	0.000141483	2
RPL27A	11	+	8684742,8685696	0.00851373,0.0529294	6,18
RPS13	11	-	17074388	0.0454545	2
RPS25	11	-	119015711,119015838,119017358	0.0159041,0.145843,0.00299722	11,33,1
SELENOH	11	+	57742995	0.037285	6
SSSCA1	11	+	65571590	0.0103093	2
TCIRG1	11	+	68050855	0.0294118	2
UCP2	11	-	73974666	0.00486618	2
AC023055.1	12	-	55757274	0.00843882	1
AC073610.2	12	-	48921962	0.0138249	3
AC078927.1	12	-	66123916	0.000282287	4
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.00606061	2
C12orf57	12	+	6945097	0.00552486	2
CD69	12	-	9752485	0.0040201	4
COX6A1	12	+	120440670	0.0300752	4
DDIT3	12	-	57516587	0.00904977	2
DYNLL1	12	+	120498311	0.0166667	3
FKBP11	12	-	48921958	0.00112066	3
GAPDH	12	+	6538249	0.0506329	4
IKBIP	12	-	98613404	0.00221729	2
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161535	0.00249169	3
NACA	12	-	56712427,56712762	0.00907929,0.0362537	10,28
PHB2	12	-	6965351	0.00273473	3
PTPN6	12	+	6961303	0.0113895	5
RPL41	12	+	56117826	0.390728	118
RPLP0	12	-	120196685	0.0118363	31
TMBIM4	12	-	66135845	0.000119499	4
TUBA1B	12	-	49127781	0.000808407	2
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256335,27256543	0.145248,0.0926673	22,20
SAP18	13	+	21147403	0.0128755	3
ABCD4	14	-	74285422	0.000564533	8
AL928654.3	14	+	105488772	0.011583	3
CRIP1	14	+	105488772	0.011583	3
DAD1	14	-	22564904	0.000195065	2
IGHG1	14	-	105736342	0.00281889	4
LRR1	14	+	49601666	0.0265487	3
PSME1	14	+	24138795	0.0388031	4
RPS29	14	-	49583571	0.0421053	4
SLC10A1	14	-	69775416	0.00231214	2
SYNJ2BP	14	-	70366495,70367225	0.000289594,0.000367578	1,2
SYNJ2BP-COX16	14	-	70359581,70367228	8.54672e-05,0.000308973	1,2
AC087632.1	15	-	64214098	4.35511e-05	6
AC245033.1	15	-	82536787,82538304	0.0425532,8.47281e-05	5,1
CSNK1G1	15	-	64207537	0.00015412	6
JMJD7	15	+	41837479	0.0247678	8
JMJD7-PLA2G4B	15	+	41837479	0.0247678	8
NOP10	15	-	34341712	0.00711744	2
RPLP1	15	+	69455543	0.0555556	2
RPS17	15	-	82536749,82538269	0.0412371,0.00371058	4,4
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793984	0.0331754	7
AC120114.4	16	+	29819877	0.0325203	4
ALDOA	16	+	30070294	0.0280899	5
ATP6V0C	16	+	2519925	0.0111111	2
COTL1	16	-	84565593	0.00479616	6
COX4I1	16	+	85806804	0.013245	4
DDX19B	16	+	70315396	0.0034965	2
MRPS34	16	-	1771889	0.00906344	3
PAGR1	16	+	29819877	0.0325203	4
PDPK1	16	+	2538712	0.0314961	4
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562390,89562994,89563355	0.22766,0.273865,0.0360082	28,65,19
RPS2	16	-	1962051,1962169,1962485	0.0931958,0.324523,0.00347092	19,62,4
TCF25	16	+	89883408	0.000407415	2
AC120057.2	17	-	7240426	0.0104083	13
ACTG1	17	-	81509970	0.0305981	22
ARL17B	17	-	46327778	0.000373098	3
ATP2A3	17	-	3923869	0.00127959	2
C1QBP	17	-	5432776	0.00840336	2
CCR7	17	-	40553768	0.0020555	2
CD79B	17	-	63928739	0.00823045	4
DDX5	17	-	64499615	0.000863931	4
EIF1	17	+	41691219	0.0127226	5
EIF4A1	17	+	7578527	0.0731707	3
H3F3B	17	-	75776433	0.000876424	2
METTL23	17	+	76733633,76733816	0.0315315,0.0307692	6,4
MIEN1	17	-	39729155	0.00452489	2
NDEL1	17	+	8445798	0.0483871	3
NME1-NME2	17	+	51171675	0.0833333	14
NME2	17	+	51171675	0.0833333	14
OVCA2	17	+	2043274	0.0117647	2
PFN1	17	-	4945651	0.016129	4
PLEKHM1	17	-	45475695	0.00587815	12
RPL26	17	-	8377515,8379794	0.180791,0.0836157	32,73
SIRT7	17	-	81911938	0.00419287	2
SOCS3	17	-	78356777	0.00243902	4
SRSF2	17	-	76734114	0.000977517	2
TMEM256	17	-	7402974	0.00593472	4
UBB	17	+	16382737	0.0214286	3
PTPN2	18	-	12794383	9.42329e-05	4
AC008763.3	19	+	7682759	0.0481481	13
AES	19	-	3052909	0.00211416	2
ALKBH6	19	-	36009120	0.000507614	2
CCDC159	19	+	11353825	0.000629723	3
CD22	19	+	35336867	0.00364299	2
CD79A	19	+	41881228	0.0443548	11
CDC37	19	-	10391133	0.00959233	3
CDKN2D	19	-	10566461	0.0033557	2
DNAJB1	19	-	14514769	0.0017094	2
EEF2	19	-	3976055	0.0180723	9
FCER2	19	-	7688757	0.0045977	2
FKBP8	19	-	18531750	0.000653595	5
FTL	19	+	48966842	0.0654206	6
GMFG	19	-	39328352	0.00400665	4
GNG7	19	-	2511218	0.000342818	2
GPX4	19	+	1106729	0.0273224	5
JUND	19	-	18279759	0.0366856	24
LYL1	19	-	13099032	0.020979	6
NDUFA13	19	+	19528058	0.00382415	6
NDUFB7	19	-	14566077	0.00265604	1
PGLS	19	+	17521188	0.0186916	1
PNKP	19	-	49861203	0.00037594	2
POLR2I	19	-	36113709	0.00374532	2
PRPF31	19	+	54131449	0.015748	2
RPL18	19	-	48615327,48615876	0.0991736,0.17332	12,39
RPL28	19	+	55388048,55388373	0.298331,0.113643	10,17
RPL36	19	+	5691694	0.0487805	8
RPS11	19	+	49499585,49499688	0.095745,0.0276505	18,8
RPS15	19	+	1440479	0.112649	15
RPS16	19	-	39433206	0.0879479	27
RPS19	19	+	41869191	0.00910125	48
RPS28	19	+	8322089,8322597	0.271899,0.0137722	3,7
RPS9	19	+	54207531,54207644,54207520	0.158502,0.0354697,0.0892857	20,9,25
SIRT2	19	-	38878554	0.00216216	2
SWSAP1	19	+	11376948	0.0155823	14
TBCB	19	+	36125830	0.0126582	2
TEAD2	19	-	49340594	0.00411523	3
TRIR	19	-	12730639	0.00464576	4
UBA52	19	+	18575318	0.0178571	3
UBL5	19	+	9830074	0.0224719	2
ZNF880	19	+	52374687	0.00574713	1
AC068547.1	2	-	151802650	2.9853e-05	2
ARPC2	2	+	218254231	0.00632911	2
AUP1	2	-	74526644	0.00925926	4
COPS9	2	-	240130825	0.00888889	2
CXCR4	2	-	136114348	0.00576923	3
DUSP28	2	+	240563745	0.000877963	2
IGKC	2	-	88857160	0.13	26
ILKAP	2	-	238170400	0.000146531	1
OST4	2	-	27070471	0.00569268	4
PPIG	2	+	169630622	0.000185678	3
PTMA	2	+	231713335	0.00308252	5
PUM2	2	-	20248690	0.000691085	2
RPL31	2	+	101006064	0.00338219	6
RPL37A	2	+	216500031,216501466	0.232877,0.023622	17,3
SNRNP27	2	+	69904475	0.011976	2
TMSB10	2	+	84906670	0.117409	29
