C1orf162	1	+	111478286	0.0122699	2
CD52	1	+	26320376	0.027027	2
CDC42SE1	1	-	151050970	0.000915751	3
CTSS	1	-	150730195	0.00022636	4
FCER1G	1	+	161219045	0.0196078	2
H3F3A	1	+	226071870	0.0255754	10
LAPTM5	1	-	30732468	0.00220751	3
NCF2	1	-	183555562	0.0036036	2
RPL11	1	+	23696100	0.000935333	3
RPS27	1	+	153992103	0.0233238	6
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153361023	0.0702703	13
SH3BGRL3	1	+	26281236	0.0118577	3
TAGLN2	1	-	159918106	0.002886	2
UBXN11	1	-	26281327	0.00205973	2
GDI2	10	-	5765222	0.00235849	2
PSAP	10	-	71816297	0.0139983	16
RPS24	10	+	78040222,78040666	0.0824774,0.00449991	1,2
SRGN	10	+	69104609	0.00613497	3
VIM	10	+	17236709	0.00663281	5
AP002990.1	11	-	62559602	0.000745	11
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118409044	0.00188819	3
BAD	11	-	64269829	0.00527704	2
CARD16	11	-	105041522	0.000998502	2
CASP1	11	-	105026420	0.000699002	2
CASP4	11	-	104942865	0.00105988	2
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120939	0.0863309,0.0126812	12,7
LAMTOR1	11	-	72097291	0.00181159	2
MPEG1	11	-	59208509	0.000907029	2
RPS25	11	-	119015711	0.00300891	6
SF1	11	-	64764605	0.00036846	2
SPI1	11	-	47354859	0.00480769	3
TMEM123	11	-	102396331	0.000788955	2
TMEM218	11	-	125096544	0.00149445	6
UBE2L6	11	-	57551655	0.0042735	3
AC073610.2	12	-	48921962	0.00921659	2
ARPC3	12	-	110434824	0.0121212	4
FKBP11	12	-	48921958	0.00148117	3
GAPDH	12	+	6538276	0.0283019	3
LTA4H	12	-	96000827	0.000126737	3
LYZ	12	+	69354106	0.0630757	55
MYL6	12	+	56161573	0.00322061	4
NACA	12	-	56712427,56712748	0.0209941,0.00147739	18,1
RPL41	12	+	56117821	0.0572391	17
LCP1	13	-	46125919	0.00299222	5
NFKBIA	14	-	35401510	0.00109409	2
RPS29	14	-	49583571	0.0210526	2
AC107871.1	15	-	68184031	0.00019232	3
CLN6	15	-	68206991	0.0001447	6
PIAS1	15	+	68187740	0.0134228	2
PKM	15	-	72199028	0.000175531	2
SERF2	15	+	43793984	0.0236967	5
ALDOA	16	+	30070413	0.0639731	19
BOLA2-SMG1P6	16	-	29443229	0.000556483	6
COTL1	16	-	84565593	0.00559552	7
MT2A	16	+	56609475	0.00689655	2
RPL13	16	+	89562962,89563095	0.010123,0.0580556	7,12
RPS2	16	-	1962051,1962422	0.0616438,0.00455235	9,6
AC120057.2	17	-	7240426	0.0128004	15
AC134669.1	17	-	31305212	0.00112803	10
ACTG1	17	-	81509970	0.00278164	2
EIF1	17	+	41690985	0.0377358	6
EIF4A1	17	+	7578531,7578721	0.100555,0.0105321	4,2
NME1-NME2	17	+	51171612	0.0380952	4
NME2	17	+	51171612	0.0380952	4
PFN1	17	-	4945651	0.0201613	5
RPL26	17	-	8377515,8379748	0.0916031,0.0322234	12,30
SUMO2	17	-	75165585	0.00106585	2
WDR45B	17	-	82614561	0.00033216	5
ATP8B1	18	-	57646425	0.000223939	2
AD000671.2	19	-	35739251	0.000390549	2
C19orf38	19	+	10869496	0.0155039	2
EEF2	19	-	3976055	0.0100402	5
ELL	19	-	18442662	0.000211782	6
FKBP8	19	-	18531750	0.000392157	3
FTL	19	+	48966866	0.0992366	13
GPX4	19	+	1106735	0.010582	2
IFI30	19	+	18178070	0.0377358	6
JUNB	19	+	12793181	0.0519126	19
JUND	19	-	18279759	0.0190896	13
LSM7	19	-	2321516	0.000441404	2
RPL18	19	-	48615327,48615979	0.00315058,0.00525112	4,4
RPL28	19	+	55388370	0.0139257	4
RPS11	19	+	49499678	0.0359167	8
RPS15	19	+	1440404	0.0235294	2
RPS19	19	+	41869190	0.00113787	6
RPS9	19	+	54207590,54207501	0.00374643,0.0261438	3,4
TYROBP	19	-	35904400	0.00347053	10
UQCR11	19	-	1597171	0.000881834	2
ZNF580	19	+	55643187	0.0125	2
ARPC2	2	+	218254074	0.0188679	3
PTMA	2	+	231711983,231712672	0.0056544,0.00295961	3,3
TMSB10	2	+	84906670	0.0647773	16
CEBPB	20	+	50192530	0.00653595	3
CTSZ	20	-	58995184	0.00431034	2
FKBP1A	20	-	1368977	0.000957243	3
HM13	20	+	31571606	8.38245e-05	2
RPS21	20	+	62387914,62388475	0.0286963,0.00397513	4,1
ITGB2	21	-	44885952	9.47104e-05	2
TTC3	21	+	37202688	0.00179533	2
AC004997.1	22	-	30285237	0.00366993	12
AC253536.7	22	-	23971377	0.0115607	2
CASTOR1	22	-	30285116	0.00308097	12
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23972485	0.00185357	2
SNU13	22	-	41673929	0.00199402	1
TSPO	22	+	43163144	0.0130719	2
GPX1	3	-	49357170	0.0554698	44
H1FX	3	-	129314770	0.00408163	2
RPL15	3	+	23919767	0.0075188	2
RPL29	3	-	51993521	0.00833912	12
RPL35A	3	+	197955814	0.0298476	8
SUCLG2	3	-	67374718	0.00195122	2
DCTD	4	-	182890059	7.47105e-05	1
LAP3	4	+	17607733	0.0138889	2
RPS3A	4	+	151104283,151104602,151104120	0.061229,0.0518595,0.00484262	2,7,6
ANKHD1	5	+	140539679	0.0344828	9
BTF3	5	+	73505405	0.0239521	4
CD74	5	-	150401636,150405883	0.0125749,0.0246989	21,9
DUSP1	5	-	172768089	0.0252976	17
LMAN2	5	-	177331561	0.003125	2
PRELID1	5	+	177306286	0.00555556	2
RACK1	5	-	181236908	0.00103367	7
UBE2B	5	+	134389125,134390235	0.00569634,0.00183808	4,3
AIF1	6	+	31617020	0.0333333	4
CLIC1	6	-	31730580	0.0114943	3
HLA-B	6	-	31353871,31353981	0.0243934,0.00418294	14,2
HLA-C	6	-	31268748	0.00316206	8
HLA-DMB	6	-	32934628	0.00877193	3
HSPA1A	6	+	31817782	0.02	2
LST1	6	+	31588854	0.0111524	3
MRPL18	6	+	159798218	0.0210526	2
RAB32	6	+	146554762	0.0127389	2
RNASET2	6	-	166929503	0.000266897	4
SGK1	6	-	134169245	0.00684932	7
TAPBP	6	-	33299693	0.000968054	2
Z84488.2	6	+	116463540	0.0171429	3
AC004922.1	7	+	99394650	0.0392081	8
ACTB	7	-	5527146	0.0152792	29
AOAH	7	-	36686780	0.000593824	2
ARF5	7	+	127591549	0.044	11
ARPC1B	7	+	99394782	0.0297627	9
BRI3	7	+	98291474	0.017316	4
CCT6A	7	+	56063201	0.0172414	2
FGL2	7	-	77193370	0.00137552	4
IKZF1	7	+	50369699	0.0243902	4
MRPS24	7	-	43866557	0.035461	5
RASA4B	7	-	102483138	0.00441501	2
TMEM176B	7	-	150791284	0.00813008	2
URGCP-MRPS24	7	-	43866557	0.00494234	11
CEBPD	8	-	47736908	0.00497512	2
EEF1D	8	-	143579696	0.00321543	3
EIF4EBP1	8	+	38060156	0.0180995	4
ERICH1	8	-	664199	0.00496278	2
RAD21	8	-	116845934	0.00127796	2
RPL30	8	-	98041720,98042644	0.00269376,0.00082882	8,1
RPL8	8	-	144789765	0.00907171	10
ANXA1	9	+	73170203	0.0208333	2
FCN1	9	-	134909584	0.00938967	2
PAXX	9	+	136993868	0.031746	2
RPL35	9	-	124857879	0.00509338	3
RRAGA	9	+	19050779	0.0168539	3
COX7B	X	+	77905308	0.00116324	3
IDH3G	X	-	153785765	0.0034188	2
PLP2	X	+	49174983	0.0138408	4
RPL39	X	-	119786505	0.0674157	12
SAT1	X	+	23786185	0.00911854	3
SLC25A5	X	+	119471236	0.011236	2
TSC22D3	X	-	107713220	0.00154083	2
