AC114490.2	1	-	34981532	0.00125576	3
CD52	1	+	26320444	0.0352113	5
CDC42SE1	1	-	151050970	0.000610501	2
LAPTM5	1	-	30732468	0.00147167	2
RPS27	1	+	153991674,153992131	0.131819,0.0572559	13,8
SSR2	1	-	156009047	0.000196367	2
TMEM35B	1	-	34981534	0.00733496	3
NDUFB8	10	-	100523936	0.000735429	4
RPS24	10	+	78040667	0.0369974	3
AP002990.1	11	-	62559602	0.000328904	5
CCDC73	11	-	32602245	0.00353982	2
COX8A	11	+	63976404	0.0238095	2
HSPA8	11	-	123057488	0.0122449	3
LDHA	11	+	18407769	0.000288976	1
RPS25	11	-	119015711,119017350	0.002446,0.016307	5,9
ANO6	12	+	45228412	0.0225989	4
ARHGDIB	12	-	14942016	0.0039604	2
BLOC1S1	12	+	55719203	0.0215054	2
BLOC1S1-RDH5	12	+	55719203	0.0215054	2
CNOT2	12	+	70294250,70294250	0.025641,0.025641	3,3
RPL41	12	+	56117811	0.10453	30
RPL21	13	+	27256434,27256542	0.0174182,0.0182521	4,6
HSP90AA1	14	-	102082664	0.00145517	3
RPL36AL	14	-	49618518	0.00754717	2
AC245033.1	15	-	82536787,82538283	0.000431371,0.000162204	7,2
LYSMD2	15	-	51723010	0.0033557	2
RPS17	15	-	82536749,82538245	0.00205925,0.00421967	5,4
SNRPA1	15	-	101281509	0.000466636	2
AC120114.4	16	+	29830625	0.000183976	2
NSMCE1	16	-	27224990	0.000118892	2
RPL13	16	+	89562388,89563257	0.125005,0.029103	15,13
RPS2	16	-	1962051	0.0147426	24
C1QBP	17	-	5432776	0.00840336	2
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7578514	0.0714286	2
RPL26	17	-	8377515,8379707	0.00275303,0.0116146	8,11
MYL12A	18	+	3256150	0.00862069	2
EMC10	19	+	50476880	0.0241546	5
FKBP8	19	-	18531750	0.000261438	2
FTL	19	+	48966878	0.00699301	1
GADD45B	19	+	2477527	0.00434783	2
GMFG	19	-	39328352	0.00322321	4
JUND	19	-	18279759	0.00440529	3
PSMD8	19	+	38382203	0.00207469	2
RPL18	19	-	48615327,48615817	0.0040824,0.052239	2,10
RPL28	19	+	55388364	0.011396	4
RPL36	19	+	5691661	0.0198675	3
RPS11	19	+	49499580	0.0329605	6
RPS15	19	+	1440415	0.0208333	2
RPS16	19	-	39433206	0.0162866	5
RPS19	19	+	41869190	0.0062583	33
RPS9	19	+	54207584,54207521	0.0314087,0.00523013	5,5
TRIR	19	-	12730639	0.00232288	2
RPL31	2	+	101006125	0.00108992	2
RPL37A	2	+	216501465	0.00389686	5
TMSB10	2	+	84906547	0.0564516	7
AL121845.3	20	+	63736292	0.0080429	3
LIME1	20	+	63738989	0.0449438	4
RPS21	20	+	62388363,62388519	0.0334408,0.0323515	3,2
ZGPAT	20	+	63736009	0.0333333	3
U2AF1	21	-	43092955	0.000261335	1
U2AF1L5	21	-	6484622	0.000521921	3
CNBP	3	-	129169483	0.00206398	1
RPL29	3	-	51993521	0.010412	14
RPL35A	3	+	197954141	0.00254731	7
RPL34	4	+	108630035	0.00041468	2
RPS3A	4	+	151104573,151104136	0.0677928,0.0560058	10,8
AC008695.1	5	-	131425890	0.00218182	3
NPM1	5	+	171410835	0.0333333	9
RACK1	5	-	181236908	0.000295334	2
SQSTM1	5	+	179821800	0.0128755	3
EEF1A1	6	-	73515749,73517569	0.00110142,0.123163	2,42
HLA-B	6	-	31353871	0.0114566	7
HLA-C	6	-	31268748	0.000790514	2
HSP90AB1	6	+	44253681	0.0240964	2
RPS10	6	-	34417453	0.00274348	1
ARF5	7	+	127591470	0.0175439	3
ARL4A	7	+	12688971	0.0175439	2
BUD23	7	+	73698212,73705161	0.000280466,0.000319285	3,4
CCNE2	8	-	94879769	0.00101215	2
EIF3E	8	-	108201742	0.0211268	3
RPL30	8	-	98041720	0.00421654	13
RPL8	8	-	144789765	0.00447284	7
RPS20	8	-	56072946	0.0067659	5
PSIP1	9	-	15464065	0.00137552	2
RPL36A	X	+	101395444	0.00119083	4
RPL39	X	-	119786505	0.0449438	8
SLC25A6	X	-	1386151	0.00666667	3
TSC22D3	X	-	107713220	0.00154083	2
