AL713999.1	1	-	155169408	0.00417177	15
CAPZB	1	-	19338775	0.000752634	3
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320523	0.0588235	13
FCGR2B	1	+	161677757	0.0147059	3
FCMR	1	-	206904385	0.000233945	2
H3F3A	1	+	226071756	0.00722022	2
ID3	1	-	23557917	0.00191939	2
LAPTM5	1	-	30732468	0.0102855	13
LBR	1	-	225401501	0.00111049	2
RPS27	1	+	153991676,153992155	0.386139,0.0869565	39,8
SELL	1	-	169690666	0.00179051	2
TXNIP	1	-	145992434	0.00564972	8
UQCRH	1	+	46316632	0.000605329	3
RPS24	10	+	78040638	0.000749625	2
VDAC2	10	+	75231234	0.00816327	2
AP001931.1	11	+	57742913	0.0376702	3
AP002990.1	11	-	62559602	0.00292118	43
AP003419.1	11	-	67351571	0.0425512	17
CD44	11	+	35187482	0.00312012	2
CFL1	11	-	65854674	0.00907716	6
CORO1B	11	-	67435509	0.00382117	20
COX8A	11	+	63976390	0.0285714	2
FAU	11	-	65120627,65120894	0.0957447,0.0150754	9,9
HSPA8	11	-	123057488	0.0122449	3
MTA2	11	-	62593213	0.0136157	9
NDUFV1	11	+	67612362	0.00877193	2
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.0807175	18
RASGRP2	11	-	64726910	0.000141483	2
RPS25	11	-	119015711,119017339	0.00307919,0.018671	6,11
RPS3	11	+	75404749,75405614	0.161957,0.00462402	28,4
SELENOH	11	+	57742913	0.0376702	3
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.00486618	2
ZPR1	11	-	116782157	0.000864304	2
AC078927.1	12	-	66123916	0.000352858	5
ALG10	12	+	34024221	0.0350877	6
ANKRD13A	12	+	110036514	0.0199005	4
ARID2	12	+	45904573	0.0328638	7
BLOC1S1	12	+	55719542	0.00462963	2
BLOC1S1-RDH5	12	+	55719542	0.00462963	2
CD69	12	-	9752485	0.00603015	6
DYNLL1	12	+	120498223	0.0217391	2
HNRNPA1	12	+	54286734	0.00247831	6
HVCN1	12	-	110648685	0.00690608	5
LDHB	12	-	21635341	0.01	2
LTA4H	12	-	96000827	8.44916e-05	2
NACA	12	-	56712427,56712753	0.00955315,0.0103009	10,8
NDUFA12	12	-	94971331	0.000151353	3
RPL41	12	+	56117817	0.235495	69
RPLP0	12	-	120196685	0.00369957	9
SLC2A3	12	-	7919229,7931350	0.00137426,0.00558659	3,10
SRSF9	12	-	120461667	0.000636132	2
TMBIM4	12	-	66135845	0.000149374	5
RPL21	13	+	27256332,27256539	0.0920756,0.0374712	13,8
IGHD	14	-	105836764	0.0103627	4
IGHM	14	-	105851704	0.0842912	22
RPS29	14	-	49583571	0.0210526	2
TCL1A	14	-	95709966	0.0039469	10
AC245033.1	15	-	82536787,82538253	0.00435252,0.000290906	10,4
IMP3	15	-	75639084	0.00567108	3
MEGF11	15	-	65895078	0.00105079	3
RPLP1	15	+	69455541	0.0588235	2
RPS17	15	-	82536749,82538215	0.00136436,0.0721374	2,11
SERF2	15	+	43794015	0.0206612	5
COTL1	16	-	84565593	0.00159872	2
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562986,89563227	0.243805,0.0169337	56,6
RPS2	16	-	1962051	0.0277619	46
SNN	16	+	11676612	0.00699301	2
USP10	16	+	84779691,84779922	5.9092e-05,0.000135005	2,6
AC120057.2	17	-	7240426	0.00720576	9
ACTG1	17	-	81509970	0.00417246	3
ARHGDIA	17	-	81867720	0.0034632	4
CD79B	17	-	63928739	0.0246914	12
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691200	0.00534759	1
EIF4A1	17	+	7578572	0.0348837	3
NSRP1	17	+	30118899	0.013877	10
OVCA2	17	+	2043274	0.0294118	5
P2RX5	17	-	3673226	0.000307787	2
PER1	17	-	8144054	0.000763068	2
PFN1	17	-	4945651	0.0120968	3
RPL19	17	+	39204725	0.038961	3
RPL26	17	-	8377515,8379796	0.145251,0.074745	26,65
RPL27	17	+	43000100,43002781,43002943	0.00154031,0.0921626,0.0399454	1,25,6
RPS6KB1	17	+	59894413	0.015	9
