AC114490.2	1	-	34981532	0.00251151	6
AL713999.1	1	-	155169408	0.00130563	5
CD52	1	+	26320408	0.0188679	2
FUBP1	1	-	77948404	0.0042735	2
RPS27	1	+	153991668	0.0215054	2
TMEM35B	1	-	34981534	0.0146699	6
AP002990.1	11	-	62559602	0.000394685	6
ATP5MG	11	+	118408962	0.000991572	1
C11orf65	11	-	108308518	0.00442478	2
CORO1B	11	-	67435509	0.000382117	2
IFITM1	11	+	315243	0.0461538	6
IFITM2	11	+	315243	0.0461538	6
LDHA	11	+	18398999	0.0351759	7
PTPRCAP	11	-	67435509	0.00896861	2
CD69	12	-	9752485	0.00201005	2
KLRC4-KLRK1	12	-	10372352	0.0001983	7
KLRK1	12	-	10372352	0.00919842	7
RPL41	12	+	56117809	0.0105263	3
EVL	14	+	100105221,100123638	0.00379762,0.00132035	11,18
DIS3L	15	+	66308986,66308986	0.0571429,0.0571429	12,12
ALDOA	16	+	30070277	0.0186335	3
RPL13	16	+	89563052	0.00146092	2
RPS2	16	-	1962051	0.00296033	5
TCF25	16	+	89883407	0.000611247	3
TNRC6A	16	+	24816419	0.000272238	4
ACTG1	17	-	81509970	0.00278164	2
CD7	17	-	82314867	0.00235664	3
DDX5	17	-	64499615	0.000647948	3
NME1-NME2	17	+	51171636	0.0620155	8
NME2	17	+	51171636	0.0620155	8
JUNB	19	+	12792975	0.025	4
RPL18	19	-	48615327	0.00139665	2
CD8A	2	-	86784609	0.00305344	4
DUSP2	2	-	96143165	0.00456621	3
GALM	2	+	38731801	5.98731e-05	2
MRPL19	2	+	75655347	0.0483871	3
RPS21	20	+	62387912,62388502	0.0208026,0.00570451	3,3
ITPR1	3	+	4743134	6.37491e-05	1
DUSP1	5	-	172768089	0.00446429	3
SQSTM1	5	+	179821924	0.0168067	6
ATP6V1G2-DDX39B	6	-	31530218	0.000169305	1
CD164	6	-	109366513	0.000855798	2
DDX39B	6	-	31530218	0.00225479	2
HLA-A	6	+	29945672	0.00921659	2
HLA-B	6	-	31353871	0.016362	9
HLA-C	6	-	31268748	0.00355731	9
ZNF451	6	+	57099928	0.0119617	5
SARAF	8	-	30063011	0.000181488	1
TNFRSF10D	8	-	23135587	0.000876424	2
TMSB4X	X	+	12976965	0.012987	2
