COA7	1	-	52684450	0.000917712	3
LBR	1	-	225401501	0.00222099	4
RPL11	1	+	23695234	0.000610501	2
RPS27	1	+	153991673,153992132	0.027571,0.0417634	2,4
TRAPPC3	1	-	36137895	0.0136364	3
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00205973	2
RPS24	10	+	78040697	0.000733407	2
AP002990.1	11	-	62559602,62560033	0.000721874,8.04937e-05	10,1
ATP5MG	11	+	118409002	0.00145843	3
CORO1B	11	-	67435509	0.000382117	2
FAU	11	-	65120627	0.00692141	5
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711	0.00269663	6
SYVN1	11	-	65127278	0.00181324	2
HVCN1	12	-	110648685	0.00276243	2
RPL41	12	+	56117773	0.0522088	13
RPLP0	12	-	120196685	0.00184965	4
RPL21	13	+	27256512	0.0363433	12
FOS	14	+	75282120	0.0248307	11
FOXN3	14	-	89156171	0.00032041	2
IGHD	14	-	105836764	0.015544	6
IGHM	14	-	105851704	0.164751	43
METTL3	14	-	21498132	0.000393159	2
TCL1A	14	-	95709966	0.00466451	12
TRAF3	14	+	102906056	0.0183824	5
HYPK	15	+	43801858	0.0107914	3
SERF2	15	+	43793981	0.0240385	5
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562392,89562970	0.037523,0.0571709	4,12
RPS2	16	-	1962051	0.00296033	5
AC005837.2	17	+	76738454	0.0185185	2
AC120057.2	17	-	7240426	0.0040032	5
CD79B	17	-	63928739	0.0123457	6
CHRNE	17	-	4897773	0.00462963	5
NEURL4	17	-	7315627	0.000682827	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379737	0.0416667,0.0233546	5,22
USP32	17	-	60219635	0.00140696	4
AC010422.8	19	-	12668070	0.000169938	2
AES	19	-	3052909	0.00211416	2
BORCS8-MEF2B	19	-	19145566	0.000284406	9
CALM3	19	+	46609209	0.0357143	2
CD79A	19	+	41881163	0.0327869	6
CIRBP	19	+	1274618	0.00651466	2
COX6B1	19	+	35658719	0.0183486	2
FKBP8	19	-	18531750	0.000261438	2
JUND	19	-	18279759	0.00881057	6
KLK1	19	-	50819147	0.000558815	2
MEF2B	19	-	19145567	0.0142653	10
MYDGF	19	-	4657544	0.00434783	2
RPL18	19	-	48615327,48615803	0.00439636,0.00695896	6,6
RPS11	19	+	49499641	0.0305169	8
RPS15	19	+	1440494	0.0171429	3
RPS16	19	-	39433206	0.00651466	2
RPS19	19	+	41869191	0.00170648	9
RPS28	19	+	8322394	0.00940439	3
RPS9	19	+	54207481,54207482	0.0229871,0.00218103	1,2
WDR83OS	19	-	12668070	0.00449438	2
CAPG	2	-	85394747	0.0137931	2
CYTIP	2	-	157416070	0.000123094	2
IGKC	2	-	88857160	0.07	14
PTMA	2	+	231712439,231712850	0.00351014,0.00442676	3,6
RAB10	2	+	26137302	0.00131521	3
RPL37A	2	+	216501347	0.00143988	2
TMSB10	2	+	84906671	0.0564516	14
ZFP36L2	2	-	43222401	0.0010433	2
ACOT8	20	-	45841720	0.000326904	4
FKBP1A	20	-	1368977	0.00159541	5
PPDPF	20	+	63522024	0.0137931	2
RPS21	20	+	62388362	0.0321393	6
UCKL1	20	-	63939828	0.00233645	1
U2AF1	21	-	43092955	0.000876866	6
AC253536.7	22	-	23971377	0.0115607	2
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23971552	0.0205479	3
DDX17	22	-	38483439	0.00160321	4
H1FX	3	-	129314770	0.0102041	5
MCF2L2	3	-	183178042	0.00326797	5
RPL29	3	-	51993521	0.00761285	10
RPL35A	3	+	197955795	0.00133929	6
CCNI	4	-	77047157	0.00188501	2
CNOT6L	4	-	77713386	3.262e-05	1
RPS3A	4	+	151104613,151104174	0.0106952,0.00309358	3,4
ANKHD1-EIF4EBP3	5	+	140549338	0.019802	2
CD74	5	-	150401636	0.0113659	18
EIF4EBP3	5	+	140549363	0.019802	2
RACK1	5	-	181236908	0.000295334	2
SRP19	5	+	112864617	0.0118343	2
HLA-A	6	+	29945705	0.016	4
HLA-B	6	-	31353871	0.00818331	5
HLA-DPB1	6	+	33086652	0.00964587	3
HLA-DRA	6	+	32445046	0.0105634	12
HLA-DRB1	6	-	32578768	0.00621118	1
LTB	6	-	31580554	0.00896414	9
RPS10	6	-	34417453	0.00411523	3
SF3B5	6	-	144094880	0.0168361	5
ACTB	7	-	5527146	0.00421496	7
CHCHD2	7	-	56101568	0.0106383	3
RPL39	X	-	119786505	0.0505618	9
