C1orf54	1	+	150280072	0.0149701	5
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320460	0.0379747	6
ENO1	1	-	8860999	0.000425472	3
EPB41	1	+	29055937	0.000131855	8
GUK1	1	+	228148860	0.0122699	2
HIST2H2AA4	1	+	149851605	0.030303	3
IVNS1ABP	1	-	185296387	0.00121433	2
MIA3	1	+	222664990	0.0384615	2
NDUFS2	1	+	161214240	0.00668896	2
OSBPL9	1	+	51798427	4.6582e-05	6
PTP4A2	1	-	31906420	0.000269869	2
RPS27	1	+	153991677,153992148	0.315165,0.107012	32,19
S100A4	1	-	153543612	0.0547945	8
SRM	1	-	11054588	0.00699301	2
TAF5L	1	-	229593110	0.00168634	2
TAGLN2	1	-	159918106	0.002886	2
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00514933	5
ATP5F1C	10	+	7807738	0.00263852	2
ATP5MD	10	-	103389040	0.000634317	2
CDC123	10	+	12250452	0.0173913	2
VIM	10	+	17236616	0.00837314	6
AP001931.1	11	+	57742936	0.0531852	5
AP002990.1	11	-	62559602	0.0023234	34
ARL2	11	+	65021949	0.0212766	2
ATP5MG	11	+	118409212	0.00263869	5
CASP1	11	-	105025442	0.00245399	2
CORO1B	11	-	67435509	0.00248376	13
FAM118B	11	+	126262256	0.0162602	2
FAU	11	-	65120627,65120742	0.0192178,0.00174302	16,1
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315194	0.0740741	6
IFITM2	11	+	315194	0.0740741	6
MED17	11	+	93790584	0.000878735	5
MTRNR2L8	11	-	10507886	0.00754717	2
PPP1R14B	11	-	64244479	0.00729927	2
PTPRCAP	11	-	67435509	0.0269058	6
RBM14	11	+	66626573	0.0333333	3
RPS25	11	-	119015711,119017322	0.0421512,0.0211868	19,13
SELENOH	11	+	57742936	0.0531852	5
THAP12	11	-	76349955	0.00220264	2
AC023055.1	12	-	55757274	0.0253014	5
AC073610.2	12	-	48921962	0.00921659	2
AC078927.1	12	-	66123916	0.000211715	3
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0120967	3
CD69	12	-	9752485	0.0211055	21
COX6A1	12	+	120440615	0.025641	2
FKBP11	12	-	48921958	0.00112066	3
HNRNPA1	12	+	54286724	0.00159631	3
NACA	12	-	56712427,56712770	0.00899594,0.0111237	10,8
ORAI1	12	+	121641775	0.0151515	2
PA2G4	12	+	56113907	0.0344828	1
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117825	0.225914	68
RPLP0	12	-	120196685	0.00703114	18
TPI1	12	+	6870532	0.0201342	3
TUBA1A	12	-	49184795	0.00934579	1
GPR183	13	-	99294529	0.0113208	6
RPL21	13	+	27256333,27256536	0.110718,0.0680759	16,14
ATP6V1D	14	-	67343371	0.000738916	3
CALM1	14	+	90404974	0.00383142	2
DAD1	14	-	22564904	0.000477818	4
FOS	14	+	75280372	0.016129	2
NEDD8	14	-	24216851	0.00469851	6
NFKBIA	14	-	35401510	0.00547046	10
PPP2R5C	14	+	101857050	0.000139328	4
RPS29	14	-	49583571	0.0210526	2
PPIB	15	-	64155811	0.00947867	2
SERF2	15	+	43793998	0.0311111	7
