AIDA	1	-	222668012	0.00159574	3
ATP5PB	1	+	111461153	0.0125786	2
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320522	0.0363636	8
CLSTN1	1	-	9729025	0.000128932	2
DDOST	1	-	20651766	0.00490196	3
GUK1	1	+	228148797	0.02	2
LAPTM5	1	-	30732468	0.00515085	7
MRPL20	1	-	1401907	0.0114286	2
PRDM2	1	+	13743195	0.0017301	2
PTP4A2	1	-	31906420	0.000269869	2
RPL11	1	+	23696365	0.000453823	2
RPL22	1	-	6185019	0.0017776	2
RPS27	1	+	153991676,153992155	0.306931,0.076087	31,7
S100A10	1	-	151982914	0.00806452	2
SLC35E2B	1	-	1661477	0.000464684	2
SMYD2	1	+	214336904	0.00558659	1
SSR2	1	-	156009047	0.000196367	2
TMEM56-RWDD3	1	+	95247053	0.0491803	9
TXNIP	1	-	145992434	0.00282486	4
UQCRH	1	+	46316575	0.000315408	1
CREM	10	+	35209836,35212958,35212957	8.01344e-05,0.000169154,0.000169164	2,5,5
DNAJC9	10	-	73242823	0.00347222	2
LIPA	10	-	89213568	0.00158856	1
RPS24	10	+	78040226,78040698	0.0655937,0.0357184	1,3
AP001931.1	11	+	57742244,57743067	0.106244,0.00486048	2,4
AP002990.1	11	-	62559602	0.00424888	63
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118408978	0.000983768	2
CORO1B	11	-	67435509	0.00839374	43
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120966	0.0722892,0.0152381	12,8
HSPA8	11	-	123057488	0.0122449	3
ILK	11	+	6605091	0.0322581	7
OTUB1	11	+	63997649	0.0194175	1
PPP1CA	11	-	67398182	0.00568182	2
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.103139	23
RPS25	11	-	119015711,119017339	0.0289404,0.0131444	13,7
SELENOH	11	+	57742244,57742977	0.0774609,0.0336202	2,4
UCP2	11	-	73974666	0.00729927	3
AC023055.1	12	-	55757274	0.021097	5
ANAPC5	12	-	121308356	0.000703659	7
ARHGDIB	12	-	14942016	0.0039604	2
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719566	0.00657895	3
BLOC1S1-RDH5	12	+	55719566	0.00657895	3
CD27	12	+	6451486	0.0212766	2
CD69	12	-	9752485	0.00502513	5
CHPT1	12	+	101727036	0.00327332	2
CTDSP2	12	-	57819926	0.000544218	2
GAPDH	12	+	6538329	0.0314465	5
NACA	12	-	56712427,56712777	0.0338983,0.0193052	4,14
PTPN6	12	+	6961316	0.0414551	11
RPL41	12	+	56117814	0.293103	84
RPLP0	12	-	120196685	0.00404331	10
SRSF9	12	-	120461667	0.000636132	2
TUBA1A	12	-	49184795	0.0140187	3
TUBA1B	12	-	49127781	0.000808407	2
GPR183	13	-	99294529	0.00566038	3
NUP58	13	+	25303081	0.0273973	2
RPL21	13	+	27256332,27256543	0.149348,0.0631762	22,14
AL928654.3	14	+	105488788	0.0505415	13
CRIP1	14	+	105488788	0.0505415	13
DEGS2	14	-	100143956	0.00069735	2
EAPP	14	-	34534283	0.00112369	5
IGHG1	14	-	105736342,105741337	0.00422833,0.0222222	6,3
IGHG3	14	-	105764502,105769101	0.00779589,0.0148148	11,2
NEDD8	14	-	24216851	0.00156617	2
RNASE4	14	+	20700051	0.0127119	3
SNX6	14	-	34561093	5.31387e-05	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538261,82538833	0.00567991,0.000217974,8.8318e-05	11,3,1
B2M	15	+	44716726	0.00166113	2
HYPK	15	+	43801819	0.0269958	2
PKM	15	-	72199028	0.000351062	4
RPS17	15	-	82536749,82538223	0.00236202,0.0198093	3,12
SERF2	15	+	43793908	0.0148148	2
SQOR	15	+	45691137	0.0186916	1
ALDOA	16	+	30070317	0.0199005	4
ARHGAP17	16	-	24964196	0.000237558	2
CD19	16	+	28939181	0.0321101	7
CREBBP	16	-	3725053	0.000750751	2
CYBA	16	-	88643282	0.0285714	2
NPIPB11	16	-	29381353	0.0217391	2
PDPK1	16	+	2597772	0.04	4
RPL13	16	+	89562953,89563253	0.267463,0.0469939	52,19
RPS2	16	-	1962051,1962428	0.164474,0.0144817	25,19
TNFRSF17	16	+	11967911	0.03125	2
AC104581.2	17	-	7925930	0.000427807	2
AC120057.2	17	-	7240426	0.0152122	19
ACTG1	17	-	81509970	0.0069541	5
ARHGDIA	17	-	81867720	0.0017316	2
CD79B	17	-	63928739	0.0164609	8
DDX5	17	-	64499615	0.00151188	7
EIF1	17	+	41691336	0.00784314	4
FLII	17	-	18244835	0.000245942	3
LUC7L3	17	+	50739411	0.00560897	7
NME1-NME2	17	+	51171663	0.0320513	5
NME2	17	+	51171663	0.0320513	5
PFN1	17	-	4945651	0.016129	4
RPL26	17	-	8377515,8379760	0.13986,0.0587593	20,53
SLC25A19	17	-	75272980	0.00425532	2
SRSF2	17	-	76734114	0.000977517	2
TBC1D3E	17	+	38138648	0.0421053	4
UBB	17	+	16382700	0.0291262	3
MYL12A	18	+	3256034	0.0172414	2
SERPINB8	18	+	63987100	0.0175439	2
AC005943.1	19	-	1578338,1599412	9.49037e-05,0.0739783	2,1
AC010422.8	19	-	12668070	0.000254907	3
AC011462.1	19	+	41424740	0.0151515	2
ACP5	19	-	11574659	0.00712589	3
AD000671.2	19	-	35739251	0.000390549	2
BCKDHA	19	+	41424740	0.0151515	2
CD79A	19	+	41881267	0.0418118	12
EEF2	19	-	3976055	0.0140562	7
FOSB	19	+	45473588,45475178,45472081	0.00757736,0.0031183,0.00478469	5,7,5
FTL	19	+	48966878	0.027972	4
GPX4	19	+	1106711	0.0121212	2
HSH2D	19	+	16158574	0.00127786	9
JUNB	19	+	12793187	0.0322581	12
JUND	19	-	18279759	0.00587372	4
KLF2	19	+	16327557,16327873	0.0368614,0.0127311	11,7
RPL18	19	-	48615327,48615872	0.00561231,0.129503	3,30
RPL28	19	+	55388046,55388353	0.154671,0.0965009	5,12
RPL36	19	+	5691755	0.0352423	8
RPS11	19	+	49498046,49499675	0.0480741,0.0417034	5,9
RPS15	19	+	1440494	0.0889644	12
RPS16	19	-	39433206	0.0488599	15
RPS19	19	+	41869192	0.00796209	42
RPS28	19	+	8322092,8322361	0.14636,0.0888961	2,9
RPS9	19	+	54207599,54207522	0.0935777,0.0188088	18,18
SLC1A5	19	-	46774882	0.00318979	2
SNRPD2	19	-	45687453	0.00816327	2
TRIR	19	-	12730639	0.00464576	4
UQCR11	19	-	1597171,1599412	0.000892459,0.0731815	2,1
WDR83OS	19	-	12668070	0.00449438	2
AC068547.1	2	-	151802650	0.000246714	16
BCL2L11	2	+	111130423	0.0319149	5
DUSP2	2	-	96143165	0.00304414	2
HS1BP3	2	-	20622178	0.00119048	2
IGKC	2	-	88857160	0.095	19
PTMA	2	+	231711982,231713020	0.00706805,0.00420116	4,4
RPL31	2	+	101006358	0.0169736	6
RPL37A	2	+	216500029,216501548	0.197183,0.028436	13,6
SLC5A6	2	-	27205406	0.00438596	3
TMSB10	2	+	84906669	0.0772358	19
CENPB	20	-	3783850	0.00480192	3
CTSZ	20	-	58995184	0.00646552	3
PPDPF	20	+	63522048	0.0118343	2
RPS21	20	+	62387912,62388518	0.0601911,0.0375817	9,11
STK35	20	+	2117481	0.038835	3
TGIF2-RAB5IF	20	+	36612229	0.0224719	4
FP565260.2	21	-	5116342	0.00263158	2
GATD3B	21	-	5116340	0.00262467	2
AP000350.4	22	+	23895128	0.031746	2
CENPM	22	-	41938720	0.000408497	2
CHCHD10	22	-	23765833	0.00571429	2
DDTL	22	+	23972532	0.0017762	2
EIF3L	22	+	37889405	0.00518672	5
GUCD1	22	-	24540422	0.000754717	2
RAC2	22	-	37225260	0.00212465	3
RBX1	22	+	40972550	0.0322581	2
VPREB3	22	-	23752742	0.0150376	2
ANAPC13	3	-	134477705	0.00452489	4
GPX1	3	-	49357170	0.00369914	3
OXSR1	3	+	38199606	0.000478088	3
PHC3	3	-	170149133	0.000252143	7
RPL29	3	-	51993521	0.019458	28
RPL35A	3	+	197955905	0.00884003	16
