AL713999.1	1	-	155169408	0.00326493	12
BTG2	1	+	203307677	0.0083682	1
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320484	0.032967	6
ESPN	1	+	6461297	0.0178571	2
ETV3	1	-	157121190	0.000547945	1
GBP5	1	-	89260581	0.0163934	2
GUK1	1	+	228148789	0.0217391	2
IVNS1ABP	1	-	185296387	0.00121433	2
LAPTM5	1	-	30732468	0.00147167	2
LMNA	1	+	156139278	0.0116279	2
MINOS1	1	+	19626553	0.0394737	6
MMACHC	1	+	45513382	0.000479962	2
NASP	1	+	45594198	0.00239015	12
PRDX1	1	-	45511035	0.00682594	2
PTPN22	1	-	113813810	4.91545e-05	2
RPA2	1	-	27891523	0.00625978	4
RPL11	1	+	23696413	0.000448934	2
RPS27	1	+	153991677,153992150	0.258844,0.0744625	26,13
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0205479	3
SH3BGRL3	1	+	26281266	0.024735	7
SSU72	1	-	1541672	0.00508906	2
TAGLN2	1	-	159918106	0.002886	2
TIPRL	1	+	168192333	0.0190476	2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.0030896	3
NDUFB8	10	-	100523936	0.000735429	4
RBM17	10	+	6115650	0.0212766	2
RPS24	10	+	78040659	0.000743771	2
VIM	10	+	17237564	0.021398	15
AP002990.1	11	-	62559602	0.00612115	91
AP003419.1	11	-	67351571	0.0236407	10
ARL2	11	+	65021963	0.0185185	2
ATP5MG	11	+	118409023	0.054052	8
C11orf98	11	-	62662815	0.00854701	2
CCDC85B	11	+	65891598	0.00970874	1
CORO1B	11	-	67435509	0.00706916	37
CTSC	11	-	88293591	0.00483092	2
DEAF1	11	-	644232	0.000282406	2
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627,65120884	0.0714286,0.0181219	6,11
FERMT3	11	+	64223616	0.016129	2
HSPA8	11	-	123057488	0.0408163	10
IFITM1	11	+	315269	0.115385	18
IFITM2	11	+	315269	0.115385	18
LBHD1	11	-	62662816	0.00641026	2
PPP1R14B	11	-	64244479	0.00729927	2
PTPRCAP	11	-	67435509	0.0986547	22
RPS25	11	-	119015711,119015850	0.00841471,0.0586324	3,38
TMEM123	11	-	102396331	0.000788955	2
AC073610.2	12	-	48921962	0.0230415	5
ARHGAP9	12	-	57472254	0.00217234	3
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.00909091	3
ATP5MC2	12	-	53665165	0.0135135	2
CCDC91	12	+	28305069	0.0155844	6
CD69	12	-	9752485	0.00904523	9
COX6A1	12	+	120440654	0.017094	2
DIP2B	12	+	50748665	3.59034e-05	2
FKBP11	12	-	48921958	0.00410578	10
GAPDH	12	+	6538359	0.010582	2
NACA	12	-	56712427,56712780	0.0413223,0.024553	5,18
NDUFA12	12	-	94971331	0.000151348	3
OS9	12	+	57696914	0.012966	8
RPL41	12	+	56117785	0.314176	82
RPLP0	12	-	120196685	0.00588375	15
ITM2B	13	+	48253923	0.000136268	1
RPL21	13	+	27256334,27256507	0.115965,0.054993	17,12
AL121594.1	14	+	35273844	0.0323741	9
BCL11B	14	-	99169286	0.000411184	2
DEGS2	14	-	100143956	0.00069735	2
EIF5	14	+	103344823	0.000530363	2
KIAA0391	14	+	35273844	0.0323741	9
NFKBIA	14	-	35401510	0.00273523	5
PNN	14	+	39179154	0.00157978	2
PSME1	14	+	24138826	0.00574713	2
RPS29	14	-	49583571	0.0526316	5
RTRAF	14	+	52004653	0.0122951	3
SYNJ2BP-COX16	14	-	70326063	0.0148699	4
AC245033.1	15	-	82536787	0.0842232	18
B2M	15	+	44717926	0.00124792	3
EIF2AK4	15	+	40035371	0.0243902	7
HYPK	15	+	43801758	0.0168539	3
PIGBOS1	15	-	55317183	0.0045045	2
PLA2G4B	15	+	41847983	0.0162602	2
PSMA4	15	+	78549008	0.0149254	3
RPS17	15	-	82536749,82538287	0.0782609,0.0103774	9,11
SERF2	15	+	43793939	0.0301205	5
SNRPA1	15	-	101281509	0.000699953	3
AC009133.6	16	+	29820092	0.00199544	7
AC120114.4	16	+	29830626	0.000643856	7
ALDOA	16	+	30070370	0.0551181	14
ATP6V0C	16	+	2519987	0.0289256	7
BOLA2	16	-	29443055	0.000283634	3
BOLA2-SMG1P6	16	-	29443229	0.000278242	3
C16orf54	16	-	29742462	0.0016538	3
CENPT	16	-	67828156	0.000480885	2
CKLF	16	+	66565907	0.000711238	2
CKLF-CMTM1	16	+	66565907	0.000711238	2
IL32	16	+	3069493	0.0434783	6
PAGR1	16	+	29820116	0.019337	7
RPL13	16	+	89562995,89563408	0.284081,0.00971391	67,4
RPS15A	16	-	18781294	0.000862284	5
RPS2	16	-	1962051,1962156,1962468	0.0762397,0.23404,0.0100892	14,39,12
SULT1A4	16	+	29464976	0.000881446	2
AARSD1	17	-	42950525	0.00296296	4
ACTG1	17	-	81509970	0.00973574	7
ATP5PD	17	-	75039017	0.00200602	2
