APH1A	1	-	150265398	0.00178094	2
C1orf74	1	-	209779207	0.00181939	6
CACYBP	1	+	175010181	0.0196078	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320481	0.0335196	6
GUK1	1	+	228148846	0.0134228	2
JUN	1	-	58780787	0.002331	3
LCK	1	+	32285839	0.0162602	2
MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626517	0.0431034	5
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991676,153992120	0.176184,0.0349304	17,7
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0205479	3
SDF4	1	-	1216907	0.00116754	2
SFPQ	1	-	35176377	0.00428135	7
TRAF3IP3	1	+	209779656,209782189	0.00195185,0.0291937	3,3
UBXN11	1	-	26281327	0.00205973	2
CCAR1	10	+	68792377	0.000160189	8
PSD	10	-	102402616	0.00857633	5
RPS24	10	+	78040698	0.0357105	3
XPNPEP1	10	-	109864765	0.00478469	2
AP002990.1	11	-	62559602,62559714	0.00249717,0.000579452	37,8
ATP5MG	11	+	118409077	0.00124355	2
CCDC85B	11	+	65891490	0.0204082	1
CORO1B	11	-	67435509	0.00247892	12
EEF1G	11	-	62559600	0.0384615	3
FAU	11	-	65120627	0.0733945	8
IFITM1	11	+	315180	0.0597015	4
IFITM2	11	+	315180	0.0597015	4
NDUFV1	11	+	67612346	0.00943396	2
PTPRCAP	11	-	67435509	0.044843	10
RPS25	11	-	119015711,119017359	0.0221374,0.017092	12,9
CD27	12	+	6451583	0.0157068	3
DYNLL1	12	+	120498223	0.0217391	2
GAPDH	12	+	6538251	0.0493827	4
KLRK1	12	-	10373184	0.000362384	2
LDHB	12	-	21635341	0.02	4
NACA	12	-	56712427,56712699	0.00397416,0.00995418	4,8
ORAI1	12	+	121641771	0.015625	2
RPL41	12	+	56117803	0.150538	42
RPLP0	12	-	120196685	0.00260126	6
CRYL1	13	-	20403665	2.72918e-05	2
LAMP1	13	+	113323409	0.00202429	2
RPL21	13	+	27256334,27256520	0.0517733,0.0467668	7,10
TPT1	13	-	45333470,45337158,45337267	0.00162673,0.0444392,0.0788352	6,14,16
DEGS2	14	-	100143956	0.00104603	2
HSP90AA1	14	-	102080737	0.00205339	2
NFKBIA	14	-	35401510	0.00109409	2
RPS29	14	-	49583571	0.0210526	2
PPIB	15	-	64155811	0.00947867	2
SERF2	15	+	43794024	0.0239044	6
ALDOA	16	+	30070309	0.0310881	6
ATP6V0C	16	+	2519925	0.0333333	6
C16orf72	16	+	9113180	0.000302816	3
COTL1	16	-	84565593	0.00239808	3
COX4I1	16	+	85806805	0.00660066	2
IL32	16	+	3069427	0.0416667	3
MT1X	16	+	56684060	0.00255428	2
NMRAL1	16	-	4461679	0.00222593	4
RPL13	16	+	89562392,89562964,89563324	0.0626124,0.195372,0.0138943	7,40,6
RPS2	16	-	1962051,1962401	0.184,0.0201594	23,26
AC120057.2	17	-	7240426	0.011968	14
ACTG1	17	-	81509970	0.0166898	12
C17orf49	17	+	7017325	0.0388137	4
CCL5	17	-	35871490	0.00225734	1
DCAKD	17	-	45023339	0.00182983	2
EIF1	17	+	41691235	0.00977995	4
EIF4A1	17	+	7578612	0.0634921	8
OVCA2	17	+	2043232	0.0234375	3
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017391	0.0428571	3
RPL19	17	+	39204708	0.0333333	2
RPL26	17	-	8377515,8379740	0.097561,0.0468584	12,44
SRSF2	17	-	76734114	0.000977517	2
MYL12A	18	+	3256079	0.0186335	3
MYL12B	18	+	3278097	0.01875	3
AC010616.2	19	-	41956878	0.00097561	2
AES	19	-	3052909	0.00211416	2
CARM1	19	+	10923070	0.000207068	3
CDC37	19	-	10391133	0.00719424	3
CDKN2D	19	-	10566461	0.0033557	2
CIRBP	19	+	1274579	0.00746269	2
EEF2	19	-	3976055	0.0140562	7
FBL	19	-	39834457	0.00124051	5
FTL	19	+	48966805	0.0285714	2
JUNB	19	+	12793145	0.030303	10
JUND	19	-	18279759	0.0132159	9
LSM14A	19	+	34195407	0.0424242	7
NKG7	19	-	51371605	0.0135747	3
RABAC1	19	-	41956680	0.0097561	2
RPL18	19	-	48615327,48615802,48616004	0.00421064,0.0943705,0.00405051	2,11,3
RPL28	19	+	55388048,55388330	0.190615,0.123617	6,15
RPL36	19	+	5691667	0.0367647	5
RPS11	19	+	49499509,49499663	0.0013139,0.00340552	2,5
RPS15	19	+	1440441	0.0491803	6
RPS16	19	-	39433206	0.0553746	17
RPS19	19	+	41869191	0.00492984	26
RPS28	19	+	8322090,8322307	0.0806005,0.0526602	1,2
RPS9	19	+	54207641,54207520	0.052824,0.0104712	12,10
SNRPD2	19	-	45687453	0.00816327	2
ZFP36	19	+	39409132	0.00461894	2
CAPN10	2	+	240592549	0.0392157	2
CD8B	2	-	86841581	0.00965517	7
OST4	2	-	27070471	0.00342075	3
PTMA	2	+	231712732	0.00304414	4
RPL31	2	+	101006038	0.00171625	3
RPL37A	2	+	216500031,216501467	0.080098,0.00208933	5,3
ST3GAL5	2	-	85837119	6.0465e-05	2
TMSB10	2	+	84906633	0.0714286	15
ZFP36L2	2	-	43222401	0.0010433	2
RALY	20	+	34084731	0.00048528	3
RPS21	20	+	62387915,62388520,62388519	0.0454594,0.0194195,0.00896555	7,7,1
APP	21	-	25945523	0.00512821	2
ITGB2	21	-	44885952	9.47104e-05	2
AP000350.4	22	+	23895177	0.0267857	3
MIF	22	+	23895175	0.0289855	2
PIK3IP1	22	-	31281592	0.00178359	3
RAC2	22	-	37225260	0.00141643	2
RHBDD3	22	-	29259851	0.00137741	2
APEH	3	+	49683403	0.0327869	2
POLR2H	3	+	184368427	0.0150376	2
QARS	3	-	49095931	0.000251446	2
RPL14	3	+	40461706	0.000490677	1
RPL29	3	-	51993521	0.0118138	17
RPL35A	3	+	197954145,197955815	0.00188375,0.0434776	5,8
SPCS1	3	+	52707914	0.0196078	2
NSD2	4	+	1940061,1939890	0.0188172,0.0291262	7,3
RPS3A	4	+	151104285,151104620,151104118	0.149872,0.0728553,0.106333	6,13,14
ARRDC3	5	-	91368723	0.000747384	2
BTF3	5	+	73505467	0.0436681	10
COX7C	5	+	86620707	0.00161551	2
DUSP1	5	-	172768089	0.00446429	3
HIGD2A	5	+	176389618	0.0165289	2
NPM1	5	+	171410779	0.0373832	7
RAB24	5	-	177301450	0.010274	3
RACK1	5	-	181236908,181237569	0.00183186,0.000583515	10,3
SQSTM1	5	+	179821852	0.0210526	6
TAF7	5	-	141318487	0.00394477	2
TNIP1	5	-	151029944	0.000837054	3
ARID1B	6	+	156936572	0.00207684	2
CCND3	6	-	41934932	0.0019861	2
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945678	0.0403587	9
HLA-B	6	-	31353871	0.0245016	14
HLA-C	6	-	31268748	0.00513834	13
HMGN3	6	-	79201244	0.0042735	2
PNISR	6	-	99401460	0.000999334	3
PSMB8	6	-	32840716	0.00826446	2
RPS10	6	-	34417453	0.00274348	1
SF3B5	6	-	144094880	0.011236	4
TOMM6	6	+	41789826	0.0160643	7
ZBTB12	6	-	31899606	0.00940439	3
AC004922.1	7	+	99394652	0.0236364	13
ACTB	7	-	5527146,5527289	0.0105254,0.00514115	19,9
ARPC1B	7	+	99394663	0.0604381	13
LUC7L2	7	+	139402133,139405718	0.000468451,0.000332028	1,2
NIPSNAP2	7	+	55992022	0.0209424	4
SEC61G	7	-	54752249	0.0124224	1
TRBC2	7	+	142802718	0.015873	3
ARFGEF1	8	-	67197648	0.00233463	3
ASAH1	8	-	18075234	0.000242031	2
DOK2	8	-	21908872	0.00456621	2
RPL30	8	-	98041720,98042643	0.0615352,0.00235488	16,5
RPL8	8	-	144789765	0.0191767	22
AQP3	9	-	33441153	0.00224972	2
DPP7	9	-	137110541	0.000584795	2
PAXX	9	+	136993877	0.0277778	2
RPL35	9	-	124857879	0.0118846	7
RPS6	9	-	19378773	0.00347826	2
SPTAN1	9	+	128601409	0.0338983	2
CXCR3	X	-	71615915	0.00445434	2
IDS	X	-	149502659	0.00566038	3
RPL10	X	+	154400910	0.0178571	1
RPL36A	X	+	101395738	0.000547495	1
RPL39	X	-	119786505	0.101124	18
SLC35A2	X	-	48903179	0.00117612	7
TMSB4X	X	+	12977218	0.0786241	32
