DDOST	1	-	20651766	0.0114379	6
EPB41	1	+	29016591	8.51736e-05	2
H3F3A	1	+	226071695	0.0231481	5
PBXIP1	1	-	154944075	0.0021097	1
PPIE	1	+	39763711	0.00275989	3
RPS27	1	+	153991673,153992116	0.158899,0.0894363	15,11
SLC35E2B	1	-	1661477	0.00116171	5
YBX1	1	+	42702159	0.00259453	2
GDI2	10	-	5765222	0.00235849	2
ACAT1	11	+	108141271	0.000876424	2
AP001931.1	11	+	57742931	0.07	7
AP003108.2	11	+	61446151	0.025	2
COX8A	11	+	63976415	0.0210526	2
FAU	11	-	65120627	0.00925926	8
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315218	0.0190476	2
IFITM2	11	+	315218	0.0190476	2
RPS25	11	-	119015711,119017200	0.0020329,0.0155935	4,11
SELENOH	11	+	57742931	0.07	7
CD69	12	-	9752485	0.00301508	3
HNRNPA1	12	+	54286727	0.0015784	3
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161471	0.0352931	2
NACA	12	-	56712427	0.00621165	6
RAD52	12	-	912076	0.000420704	6
RPL41	12	+	56117812	0.170139	49
RPLP0	12	-	120196685	0.00260126	6
RPL21	13	+	27256433,27256546	0.0213987,0.0179933	5,6
DEGS2	14	-	100143956	0.00069735	2
PSME1	14	+	24138817	0.00589971	2
PSME2	14	-	24143364	0.000802246	2
AC009690.1	15	-	72284726	8.35655e-05	3
B2M	15	+	44717781	0.00102336	2
CELF6	15	-	72284726	0.000568505	3
PKM	15	-	72199028	0.000175531	2
AC010547.4	16	-	71447599	0.00031176	5
AC074143.1	16	+	67164106	0.054243	6
AC120114.4	16	+	29819953	0.0251256	5
ALDOA	16	+	30070367	0.0517928	13
CDIPT	16	-	29858356	0.000696864	2
FBXL8	16	+	67163943	0.0236842	9
IL32	16	+	3069433	0.025641	2
NTHL1	16	-	2039814	0.000823384	4
PAGR1	16	+	29819953	0.0251256	5
RPL13	16	+	89562987,89566827	0.224029,0.0013068	51,5
RPS2	16	-	1962051,1962419	0.118881,0.00757002	17,10
ZNF23	16	-	71447596	0.00166168	5
AC120057.2	17	-	7240426	0.00560448	6
ACTG1	17	-	81509970	0.00834492	6
ATP5PD	17	-	75039017	0.00200602	2
C17orf49	17	+	7017441	0.0464991	7
CCDC57	17	-	82101469	0.00943396	2
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691114	0.0104167	3
MTMR4	17	-	58510596	0.00724638	6
PFN1	17	-	4945651	0.00806452	2
RNASEK-C17orf49	17	+	7017438	0.0598291	7
RPL26	17	-	8377515,8379752	0.0814815,0.0312837	11,29
RPL27	17	+	43002768	0.0305727	7
TP53	17	-	7668401	0.000407747	2
MYL12B	18	+	3278041	0.0192308	2
AD000671.2	19	-	35739251	0.000781097	4
EEF2	19	-	3976055	0.0100308	4
IRF3	19	-	49659569	0.000843882	2
JUND	19	-	18279759	0.0279001	19
RPL18	19	-	48615327,48615802,48616004	0.00631653,0.120417,0.0275523	3,16,6
RPL28	19	+	55388047,55388323	0.116162,0.0602607	3,7
RPL36	19	+	5691610	0.03	3
RPS11	19	+	49498045,49499565	0.0299261,0.053629	3,5
RPS15	19	+	1440484	0.0506457	6
RPS16	19	-	39433206	0.00651466	2
RPS19	19	+	41869190	0.00303433	16
RPS28	19	+	8322089,8322387	0.109226,0.0336154	1,4
RPS9	19	+	54207569,54207522	0.0523203,0.00731452	8,7
UBA52	19	+	18575217	0.0298507	2
AC068547.1	2	-	151802650	8.95589e-05	6
DUSP2	2	-	96143165	0.00456621	3
MDH1	2	+	63607033	0.0434783	2
OST4	2	-	27070471	0.00569349	4
PTMA	2	+	231712742	0.00450113	6
RNF103-CHMP3	2	-	86505667	0.0367647	5
RPL31	2	+	101006025	0.00115274	2
RPL37A	2	+	216500028,216501431	0.0576815,0.0421557	4,5
TMSB10	2	+	84906591	0.0654762	11
LIME1	20	+	63739084	0.0326087	6
RPS21	20	+	62387911,62388470	0.105064,0.00782095	15,4
U2AF1	21	-	43092955	0.000369837	2
RAC2	22	-	37225260	0.00212465	3
SGSM3	22	+	40409939	0.0425532	12
UQCR10	22	+	29769807	0.000900901	2
RPL15	3	+	23919693	0.0104167	2
RPL29	3	-	51993521	0.00972898	14
RPL35A	3	+	197954147	0.00600282	17
RPSA	3	+	39412425	0.0350877	2
LARP1B	4	+	128122726	0.0283019	6
RPL34	4	+	108625255	0.0465116	2
RPS3A	4	+	151104283,151104618	0.088693,0.0861031	3,14
UBE2D3	4	-	102794382	0.00019581	3
AC008575.1	5	+	112864623	0.00140541	2
BTF3	5	+	73505379	0.0567376	8
DUSP1	5	-	172768089	0.00744048	5
FAM193B	5	-	177519787	5.84078e-05	2
HNRNPH1	5	-	179614177	0.00180111	14
MXD3	5	-	177305499	0.001853	3
NPM1	5	+	171410782	0.0230415	5
PRELID1	5	+	177306958	0.00290698	3
RACK1	5	-	181236908,181237516	0.00097637,0.0704488	6,10
SRP19	5	+	112864663	0.00930233	2
AKIRIN2	6	-	87675071	0.00761905	4
CD164	6	-	109366513	0.000855798	2
HLA-A	6	+	29945703	0.0201613	5
HLA-B	6	-	31353871	0.0130933	8
LTB	6	-	31580554	0.0059761	6
RPS10	6	-	34417453	0.00274348	1
AC004922.1	7	+	99394651	0.0821644	17
ACTB	7	-	5527146	0.0126449	24
ARF5	7	+	127591603	0.0659198	20
ARPC1B	7	+	99394666	0.0776196	16
CHCHD2	7	-	56101568	0.0070922	2
GIGYF1	7	-	100679506	0.000904159	2
GIMAP1	7	+	150721080	0.0193548	3
GIMAP2	7	+	150689699	0.0186916	1
