AC114490.2	1	-	34981532	0.00167434	4
AL713999.1	1	-	155169408	0.0151455	16
ARHGEF2	1	-	155946850	0.000500626	1
ATP1B1	1	+	169131838	0.00706714	2
BROX	1	+	222735074	0.00447793	10
CREB3L4	1	+	153974362	0.010101	3
DHRS3	1	-	12567909	0.00465116	2
EIF3I	1	+	32231330	0.0149254	2
ENO1	1	-	8860999	0.00156006	11
FCER1A	1	+	159308044	0.0267857	3
GNG5	1	-	84498324	0.00112691	3
HIST2H2AA3	1	-	149842187	0.0254237	3
HIST2H2AA4	1	+	149851567	0.0655738	4
LMNA	1	+	156139373	0.0187266	5
MARCKSL1	1	-	32333831	0.00653595	5
MCL1	1	-	150574550	0.00283286	8
MINOS1	1	+	19626480	0.0379747	3
MINOS1-NBL1	1	+	19626449	0.000156464	4
MRPL20	1	-	1401907	0.0114286	2
PPIH	1	+	42676633	0.000498539	4
PRRC2C	1	+	171591686	0.04	2
PUM1	1	-	30981337	6.75393e-05	5
RPL11	1	+	23695262	0.00090799	3
RPL22	1	-	6185019	0.00239911	3
RPS27	1	+	153991675,153992154	0.23,0.0869565	23,8
RPS8	1	+	44778739	0.037037	2
RSRP1	1	-	25242236	0.00102931	2
S100A4	1	-	153543612	0.0205479	3
SFPQ	1	-	35176377	0.00427333	6
SLC35E2B	1	-	1661477	0.00209108	9
SSR2	1	-	156009047	0.000490918	5
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.00577201	4
TAL1	1	-	47216289	0.00058309	2
TMEM35B	1	-	34981534	0.00977995	4
TPM3	1	-	154155303,154156606	0.000421362,8.84388e-05	7,1
TXNIP	1	-	145992434	0.00211864	3
UBAP2L	1	+	154271045	0.015873	2
UFC1	1	+	161158592	0.02	2
UQCRH	1	+	46316649	0.0399992	6
UTP11	1	+	38023805	0.0112994	2
ZBTB8OS	1	-	32600171	0.037037	3
ARHGAP22	10	-	48446033	0.00560224	2
ATP5F1C	10	+	7807701	0.00277393	2
COMMD3	10	+	22320139	0.0212766	3
DNAJC9	10	-	73242823	0.00694444	4
ECHS1	10	-	133362479	0.00515464	2
GDI2	10	-	5765222	0.00235849	2
GLRX3	10	+	130179478	0.0232558	2
MMS19	10	-	97458323	0.000220187	5
MSRB2	10	+	23120811	0.00141543	2
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000907315	4
RPS24	10	+	78040223,78040646	0.0874241,0.0571954	2,3
SRGN	10	+	69104564	0.0225225	10
AHNAK	11	-	62515904	0.00238379	2
AP001931.1	11	+	57742908	0.0609028	4
AP002990.1	11	-	62559602	0.00737654	110
BANF1	11	+	66003937	0.0181818	3
C11orf98	11	-	62662815	0.00854701	2
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891542	0.0133333	2
CORO1B	11	-	67435509	0.00152847	8
CTSD	11	-	1752751	0.00139535	3
CTSW	11	+	65883660	0.0186335	3
EEF1G	11	-	62559600	0.0384615	3
EIF4G2	11	-	10797049	0.00391645	2
FAM168A	11	-	73400486	0.00156161	11
FAU	11	-	65120627	0.025396	21
FERMT3	11	+	64223674	0.010989	2
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.0285714	7
IL18	11	-	112143250	0.0057971	2
LAMTOR1	11	-	72097291	0.00181159	2
LBHD1	11	-	62662816	0.0128205	4
NDUFV1	11	+	67612383	0.00803213	1
PPP1R14B	11	-	64244479	0.0109489	3
PSMA1	11	-	14504875	0.00945399	2
PTPRCAP	11	-	67435509	0.0313901	7
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017193	0.00270988,0.0255323	6,18
SELENOH	11	+	57742908	0.0609028	4
TMEM123	11	-	102396331	0.000788955	2
AC048338.1	12	-	122207778	0.000283126	3
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0212121	7
ATP5MC2	12	-	53665165	0.0135135	2
CDK2AP1	12	-	123260970	0.0104575	7
CS	12	-	56271698	0.00014794	2
DYNLL1	12	+	120498311	0.0111111	2
GAPDH	12	+	6538363	0.0466321	9
HEBP1	12	-	12974863	0.0045045	2
HNRNPA1	12	+	54284979	0.00747494	4
KMT2D	12	-	49018974	0.000713012	2
LDHB	12	-	21635341	0.045	9
M6PR	12	-	8940362	0.000625391	2
MAP3K12	12	-	53479668	0.00198282	3
NACA	12	-	56712427,56712766	0.0305133,0.00345753	27,2
NFE2	12	-	54292110	0.0190114	5
PFDN5	12	+	53299369	0.0388308	6
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117812	0.211806	61
RPLP0	12	-	120196685	0.0110938	29
TPI1	12	+	6870631	0.016129	4
TUBA1A	12	-	49184795	0.0280374	6
YBX3	12	-	10699088	0.000909504	2
ELF1	13	-	40932027	0.000103066	2
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256527	0.0489682	16
ZDHHC20	13	-	21372572	0.000213812	2
ERH	14	-	69380122	0.00481928	2
NFKBIA	14	-	35401510	0.00164114	3
NRDE2	14	-	90267855	4.48229e-05	2
PABPN1	14	+	23325340	0.00192123	2
PSMB5	14	-	23025850	0.00022735	2
PSME1	14	+	24138860	0.0078534	3
RBM25	14	+	73089601	0.00736498	9
RPS29	14	-	49583571	0.0210526	2
SPTLC2	14	-	77505996	0.000318117	2
WDR89	14	-	63597038	0.00114943	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538281,82538855	0.00623048,0.00029361,0.000134957	14,4,2
HYPK	15	+	43801805	0.00888889	2
MAP2K5	15	+	67670579	0.0218978	3
RPS17	15	-	82536749,82538243	0.0029638,0.0255265	4,15
SERF2	15	+	43793944	0.0350877	6
TRPM7	15	-	50603946	0.0032967	3
ABCC6	16	-	16148927	0.000238983	5
ALDOA	16	+	30070408	0.0308219	9
AMFR	16	-	56361451	0.00137268	2
ATP6V0C	16	+	2519924	0.0446927	8
CENPT	16	-	67828156	0.000721327	3
CFAP20	16	-	58113587	0.00457666	2
CYBA	16	-	88643282	0.0285714	2
EDC4	16	+	67884423	0.0436364	12
METTL26	16	-	634426	0.0124847	5
NDUFAB1	16	-	23581001	0.000237817	3
NME3	16	-	1770285	0.00222965	2
PMFBP1	16	-	72119096	5.65963e-05	2
RPL13	16	+	89562979,89563303	0.297304,0.028058	66,13
RPS2	16	-	1962051,1962448	0.284884,0.0263158	49,34
SOCS1	16	-	11254404	0.00456621	2
SPN	16	+	29670258	0.000563169	3
TPSAB1	16	+	1242420	0.0222222	4
TPSB2	16	-	1228335	0.00636943	2
UQCRC2	16	+	21983254	0.000751033	2
YPEL3	16	-	30092313	0.00122699	3
AC026954.2	17	-	7312660	0.000694927	2
ACTG1	17	-	81509970	0.038941	27
ATP2A3	17	-	3923869	0.00127959	2
C17orf49	17	+	7017374	0.0644897	8
DDX5	17	-	64499615	0.000863931	4
EIF1	17	+	41691320	0.00404858	2
EIF4A1	17	+	7578860	0.0106952	3
GPS2	17	-	7312659	0.00660066	2
LSM12	17	-	44034634	0.000881057	2
METTL23	17	+	76733933	0.00383142	2
MFSD11	17	+	76756414	0.000140766	2
MSL1	17	+	40131492	0.00873362	2
NARF	17	+	82490536	0.000285903	3
NME1-NME2	17	+	51171707	0.14	28
NME2	17	+	51171707	0.14	28
PFN1	17	-	4945651	0.0201613	5
RNASEK-C17orf49	17	+	7017374	0.0566038	3
RPL19	17	+	39204714	0.0454545	3
RPL26	17	-	8377515,8379768	0.178808,0.0856201	27,77
SRSF2	17	-	76734114	0.00488759	10
TOB1	17	-	50862222	0.00264201	2
UBB	17	+	16382710	0.0176991	2
VAT1	17	-	43014604	0.00137363	2
MYL12B	18	+	3278141	0.0196078	4
RPL17-C18orf32	18	-	49481680	0.000584966	4
VAPA	18	+	9954416	0.0097561	2
AC008763.3	19	+	7682632	0.013986	2
AC010422.8	19	-	12668070	0.000169938	2
AES	19	-	3052909	0.00211416	2
ATP5F1D	19	+	1244824	0.00498753	2
C19orf48	19	-	50797704	0.00769231	3
CARD8	19	-	48203145	0.000231849	7
CIRBP	19	+	1274088,1274878,1274810	0.00333825,0.017668,0.00400802	6,16,1
DAZAP1	19	+	1435686	0.00107585	1
EEF2	19	-	3976055	0.0321222	15
ERCC1	19	-	45413676	0.000492776	2
ERVK3-1	19	+	58314976	0.0259067	5
ETHE1	19	-	43506718	0.000139153	2
FTL	19	+	48966876	0.0496454	7
FXYD5	19	+	35169745	0.0333283	5
GMFG	19	-	39328352	0.00241741	3
GPX4	19	+	1106717	0.0233918	4
JUND	19	-	18279759	0.0381791	26
LSM7	19	-	2321516	0.000662105	3
LYL1	19	-	13099032	0.0244755	7
MAP2K2	19	-	4090320	0.00722022	2
MATK	19	-	3777969	0.0187793	4
MIDN	19	+	1259139	0.00160686	3
MKNK2	19	-	2037464	0.000654664	4
NDUFA11	19	-	5894674	0.00116567	7
NDUFA13	19	+	19528079	0.00926209	11
NDUFB7	19	-	14566077	0.00265604	1
PPP1R15A	19	+	48876056	0.00311526	3
RPL18	19	-	48615327,48615835,48616037	0.01181,0.185486,0.00148364	6,28,1
RPL18A	19	+	17863302	0.0512821	2
RPL28	19	+	55388302	0.147623	22
RPL36	19	+	5691661	0.0597015	8
RPS11	19	+	49498045,49499674	0.0332719,0.0846086	3,23
RPS15	19	+	1440450	0.0610687	8
RPS16	19	-	39433206	0.0325697	9
RPS19	19	+	41869191	0.00625711	33
RPS28	19	+	8322089,8322338	0.157105,0.0571492	2,4
RPS9	19	+	54207529,54207642,54207521	0.142364,0.0353338,0.0261506	19,8,25
SNRPD2	19	-	45687453	0.0122449	3
WDR83OS	19	-	12668070	0.00449438	2
ZNF574	19	+	42081384	0.0229885	2
ANKMY1	2	-	240479421	6.46928e-05	3
ARPC2	2	+	218254057	0.0140845	2
ATG9A	2	-	219219379	0.000865301	3
AUP1	2	-	74526644	0.00462963	2
CALM2	2	-	47160081	0.00341491	6
CLK1	2	-	200853008	0.000297752	2
COPS9	2	-	240130825	0.00888889	2
FAM136A	2	-	70295974	0.000770467	3
GGCX	2	-	85544722	0.000767607	3
LIMS1	2	+	108684265	0.018797	5
METTL5	2	-	169811756	0.000588302	4
MRPL33	2	+	27779638	0.0128205	2
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70089013	0.0251256	5
PPP3R1	2	-	68178856	0.00237417	5
PTMA	2	+	231711981,231712440,231713064	0.12533,0.00451514,0.00637907	12,2,7
RNF181	2	+	85597155	0.00716846	2
RPL31	2	+	101007267	0.00201545	6
RPL37A	2	+	216500028,216504083	0.183493,0.00221949	12,9
SSB	2	+	169812061	0.0131148	4
TMSB10	2	+	84906669	0.0691057	17
VAMP8	2	+	85581817	0.0168776	3
WBP1	2	+	74460787	0.0283019	3
YWHAQ	2	-	9583971	0.00228311	3
RPS21	20	+	62387912,62388507	0.0540678,0.0247803	8,7
SLA2	20	-	36612317	0.00181708	3
HMGN1	21	-	39342314	0.00155039	8
SIK1	21	-	43414482	0.000885347	2
U2AF1L5	21	-	6484622	0.00026096	1
AC004997.1	22	-	30285237	0.0019892	7
AC253536.7	22	-	23971377	0.0231214	4
AP000350.4	22	+	23895170	0.0952381	10
CASTOR1	22	-	30285116	0.00166985	7
DDT	22	-	23971364	0.0215054	4
DDTL	22	+	23971583	0.0225989	4
EIF3D	22	-	36510849	0.00649351	2
EIF3L	22	+	37888558	0.0598291	7
MIF	22	+	23895169	0.0793651	5
POLR2F	22	+	37967628	0.000471561	3
RAC2	22	-	37225260	0.00283286	4
SNU13	22	-	41673929	0.00199402	1
XBP1	22	-	28794554	0.00201816	2
AP2M1	3	+	184183825	0.0191388	4
ARIH2OS	3	-	48917787	0.00613497	3
ATP1B3	3	+	141919678,141920367	0.000105554,0.000447711	1,8
DCBLD2	3	-	98795940	0.000874381	3
DHX30	3	+	47850193,47850192	0.000134901,0.000134909	4,4
GPX1	3	-	49357170	0.0678023	54
H1FX	3	-	129314770	0.0102041	5
HCLS1	3	-	121631398	0.00447427	2
LSM3	3	+	14198236	0.0166667	2
NFKBIZ	3	+	101859656	0.00350877	1
QARS	3	-	49095931	0.000251446	2
RHOA	3	-	49359144	0.00089153	3
RPL15	3	+	23919814	0.0127796	4
RPL29	3	-	51993521	0.0208478	29
RPL35A	3	+	197955845	0.0172329	31
SLC41A3	3	-	126006354	0.00302572	2
TAMM41	3	-	11790441	5.50802e-05	3
CCNI	4	-	77047157	0.00188501	2
CYTL1	4	-	5014585	0.0106195	6
H2AFZ	4	-	99948087	0.00534759	1
HSD17B11	4	-	87336609	0.003003	2
RPL34	4	+	108625255	0.0465116	2
RPS3A	4	+	151104285,151104642,151104226	0.456522,0.156069,0.140515	21,27,34
TMEM165	4	+	55411652	0.000595735	5
BTF3	5	+	73505450	0.0801887	17
CD74	5	-	150401636	0.0011976	2
CLTB	5	-	176392454	0.000142015	2
HNRNPH1	5	-	179614177	0.000771903	6
NPM1	5	+	171410869	0.0789474	24
NSA2	5	+	74776691	0.05	2
RAB24	5	-	177301450	0.00684932	2
RACK1	5	-	181236908,181237574	0.00462054,0.00119694	28,7
SKP1	5	-	134148934	8.06159e-05	2
TAF7	5	-	141318487	0.00394477	2
AKIRIN2	6	-	87675071	0.00761905	4
AMD1	6	+	110895569,110895712	0.000344135,0.00223032	1,7
ATP6V1G2-DDX39B	6	-	31530218	0.00067722	7
C6orf226	6	-	42890264	0.00917431	2
CD164	6	-	109366513	0.0012837	3
CLIC1	6	-	31730580	0.0191571	5
DDAH2	6	-	31727037	0.0150754	3
DDX39B	6	-	31530218	0.00901917	8
HLA-B	6	-	31353871	0.0179997	10
HLA-C	6	-	31268748	0.00197628	5
HLA-DPB1	6	+	33086657	0.00477327	2
HSP90AB1	6	+	44253805	0.0483092	10
PLAGL1	6	-	143940299	0.00177936	2
RANBP9	6	-	13621497	0.00231481	2
RIPOR2	6	-	24839358	0.00223048	3
RPS10	6	-	34417453	0.00411523	3
RUNX2	6	+	45535564	0.000123364	11
SERPINB1	6	-	2832331	0.00625969	7
SNRPC	6	+	34773681	0.018018	2
SOX4	6	+	21597201	0.00161031	2
TBPL1	6	+	133987189	0.0268456	4
TMEM14B	6	+	10759161	0.0333333	2
TPMT	6	-	18128310	0.000848536	2
YIPF3	6	-	43511826	0.000705882	3
AC004922.1	7	+	99394643	0.0147874	8
ACTB	7	-	5527146	0.0210689	39
ARF5	7	+	127591399	0.02	2
ARPC1B	7	+	99394754	0.0138037	9
ATP6V1F	7	+	128865691	0.0265487	3
ATXN7L1	7	-	105613473	5.54232e-05	2
CDK6	7	-	92604920	0.000293571	3
ELMO1	7	-	36854360	0.00252101	3
FKBP14	7	-	30010586	0.000720906	7
GIGYF1	7	-	100679506	0.000904159	2
H2AFV	7	-	44826790	0.000894721	3
NT5C3A	7	-	33014112	0.000129544	2
PHKG1	7	-	56080282	0.00389105	3
POM121C	7	-	75416789	0.000997009	1
POMZP3	7	-	76609985	0.00218938	4
PPIA	7	+	44801475	0.00190295	2
SYPL1	7	-	106090502	0.000777303	2
TCAF1	7	-	143851374	0.000349589	2
TNRC18	7	-	5306789	0.00151976	2
EEF1D	8	-	143579696	0.00214362	2
FABP5	8	+	81284658	0.032967	3
HMBOX1	8	+	29064763	0.000749064	7
PABPC1	8	-	100685815,100703145	0.000347929,0.00225846	6,4
PRKDC	8	-	47773107	0.00157853	2
RPL30	8	-	98041720,98042641	0.0626139,0.00286162	31,6
RPL8	8	-	144789765	0.0204031	23
RPS20	8	-	56072946	0.00947226	7
TCEA1	8	-	53966551	0.00128866	2
VPS28	8	-	144423600	0.000826105	2
YWHAZ	8	-	100916524	0.00071977	3
ALAD	9	-	113386316	0.00100857	2
ALDH1A1	9	-	72900661	0.003663	2
EDF1	9	-	136862118	0.0118694	4
EGFL7	9	+	136672431	0.0137931	2
GPR107	9	+	130130024	5.95356e-05	3
HEMGN	9	-	97926790	0.00505902	3
RPL35	9	-	124857879	0.0186757	11
RPL7A	9	+	133351398	0.0625	2
SET	9	+	128695009	0.0115942	4
VCP	9	-	35056063	0.002849	3
BEX2	X	-	103309345	0.0122951	3
BEX3	X	+	103377956	0.0232558	3
HAUS7	X	-	153447665	0.0141509	3
MPP1	X	-	154778683	7.68079e-05	2
PGK1	X	+	78125991	0.0124224	1
PIM2	X	-	48913181	0.00210748	1
RPL36A	X	+	101395767	0.0663582	28
RPL39	X	-	119786505	0.168539	30
SLC25A5	X	+	119471186	0.015625	2
SLC25A6	X	-	1386151	0.00888889	4
TMSB4X	X	+	12977163	0.0397727	14
DDX3Y	Y	+	12918295	0.0115607	2
