AC114490.2	1	-	34981532	0.00376727	9
ADSS	1	-	244408493	0.003663	4
AL713999.1	1	-	155169408	0.0226637	24
APH1A	1	-	150265398	0.00267142	3
ARHGAP30	1	-	161048789	0.000175778	2
ATP1B1	1	+	169131742	0.0160428	3
ATP5IF1	1	+	28238042	0.00252207	4
ATP5PB	1	+	111461308	0.0254777	8
ATP6V0B	1	+	43978275	0.0337838	10
BTG2	1	+	203307752	0.00636943	2
C1orf123	1	-	53214098	0.00357143	2
C1orf162	1	+	111478478	0.0619718	22
CD1C	1	+	158293593	0.102564	12
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320486	0.048913	9
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.00011318	2
DDOST	1	-	20651766	0.0343088	20
DHX9	1	+	182887610	0.0113636	2
DPYD	1	-	97077742	0.00243309	3
DUSP23	1	+	159782481	0.013986	2
ENO1	1	-	8860999	0.000709119	5
EPS15	1	-	51354262	0.000820681	2
FAM76A	1	+	27763122	0.00157418	4
FCER1A	1	+	159308194	0.152672	40
FCER1G	1	+	161219245	0.0463576	14
FCGR2B	1	+	161677869	0.0158228	5
GNG5	1	-	84498324	0.0407741	9
GUK1	1	+	228148767	0.0285714	2
H3F3A	1	+	226071997,226067267	0.0521236,0.00219298	27,3
HDGF	1	-	156742106	0.00298063	4
HIST2H2AA4	1	+	149851614	0.037037	4
ID3	1	-	23557917	0.00191939	2
IFI16	1	+	159054970	0.0289855	2
INTS3	1	+	153774808	0.000145656	2
IVNS1ABP	1	-	185296387	0.00121433	2
JAK1	1	-	64833228	0.00150038	2
JTB	1	-	153974268	0.0121951	5
JUN	1	-	58780787	0.001554	2
LAMTOR2	1	+	156058423	0.0192308	1
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00809419	11
LMNA	1	+	156127873	0.0115304	11
MACF1	1	+	39486046	0.00793651	2
MEF2D	1	-	156463726,156472188	0.000318116,0.0039985	2,26
MINOS1	1	+	19626527	0.031746	4
MNDA	1	+	158849445	0.0480769	10
MRPL20	1	-	1401907	0.0114286	2
MRPL55	1	-	228106678	0.0246914	2
MYCL	1	-	39895425	0.00102775	2
NCF2	1	-	183555562	0.0108108	6
NENF	1	+	212446093	0.0229885	2
NUDC	1	+	26946290	0.0275229	3
OSBPL9	1	+	51745840	0.000103965	7
PABPC4	1	-	39560815	0.00226757	2
PARK7	1	+	7985257	0.044335	9
PMVK	1	-	154924733	0.00506329	2
POLR3GL	1	+	145978609	0.0123457	2
PRCC	1	+	156800646	0.016129	3
PRPF38A	1	+	52416914	0.0133929	3
RHOC	1	-	112701105	0.000866927	2
RPL11	1	+	23695906,23696369	0.0696588,0.070905	41,44
RPL22	1	-	6185019	0.00121065	2
RPL5	1	+	92841923	0.0344828	2
RPS27	1	+	153991675,153992138	0.286797,0.0658605	28,11
RPS8	1	+	44778729	0.0454545	2
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0927419	23
S100A11	1	-	152032505	0.025641	4
S100A4	1	-	153543612	0.0684932	10
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153361013	0.0171429	3
SCAMP3	1	-	155255978	0.00680272	2
SELL	1	-	169690666	0.00268577	3
SF3A3	1	-	37956974	0.00165153	2
SF3B4	1	-	149923316	0.00888889	2
SH3BGRL3	1	+	26281415	0.0925926	40
SSR2	1	-	156009047	0.000392734	4
SSU72	1	-	1541672	0.00508906	2
SYF2	1	-	25222678	0.00340716	2
SYNC	1	-	32680359	0.00201342	3
TAGLN2	1	-	159918106	0.033189	23
THEMIS2	1	+	27886682	0.00319744	4
TIPRL	1	+	168200104	0.0344828	2
TMEM35B	1	-	34981534	0.0220049	9
TMEM50A	1	+	25361031	0.00613497	2
TRMT1L	1	-	185118097	0.00104112	2
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0247168	24
UQCRH	1	+	46316636	0.000624805	4
UROD	1	+	45015452	0.0212766	2
ADAM8	10	-	133262402	0.00544323	7
APBB1IP	10	+	26567577	0.0224719	2
ATP5MD	10	-	103389040	0.000634317	2
CALHM2	10	-	103446785	0.00546448	2
CUEDC2	10	-	102423244	0.0110497	2
DHTKD1	10	+	12123225	0.000855798	2
ECHS1	10	-	133362479	0.0128571	4
ENO4	10	+	116911747	0.0228571	4
GDI2	10	-	5765222	0.0117925	10
MMS19	10	-	97458323	8.80747e-05	2
NDUFB8	10	-	100523936	0.000551572	3
NOLC1	10	+	102163871	0.000470441	3
NUDT5	10	-	12167737	0.000963082	3
PIP4K2A	10	-	22534848	0.00127551	2
PPA1	10	-	70202829	0.0215385	7
PRDX3	10	-	119167702	0.003861	3
PSAP	10	-	71816297	0.0096238	11
RGS10	10	-	119499827	0.0210526	6
RPS24	10	+	78040223,78040694	0.0653547,0.0361489	1,3
SMNDC1	10	-	110290729	0.000584795	2
TCTN3	10	-	95663395	0.00298063	2
VDAC2	10	+	75231219	0.00869565	2
VIM	10	+	17235965,17237583	0.0189023,0.0903766	2,63
VSIR	10	-	71747558,71750424	0.000351031,0.0105112	1,8
AHNAK	11	-	62515904	0.00595948	5
AP001931.1	11	+	57742246,57742909	0.0424466,0.0611417	1,4
AP002990.1	11	-	62559602	0.00704576	105
AP003419.1	11	-	67351571	0.0283688	12
APLP2	11	+	130124255	0.000723421	2
ARHGAP1	11	-	46677079	0.00102197	2
ATP5MG	11	+	118409124	0.0623543	14
BANF1	11	+	66003981	0.0191388	4
BSCL2	11	-	62690274	0.00178412	2
CARD16	11	-	105041522	0.000998502	2
CAT	11	+	34471807	0.00534759	1
CCDC73	11	-	32602245	0.0106195	6
CDK2AP2	11	-	67506496	0.00214286	3
CFL1	11	-	65854674	0.0468834	30
COX8A	11	+	63976513	0.0673575	13
CPT1A	11	-	68754888	0.000725953	1
CTSC	11	-	88293591	0.00966184	4
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120937	0.189781,0.0451264	26,25
GSTP1	11	+	67586550,67586505	0.01543,0.0139544	19,15
H2AFX	11	-	119093853	0.00270514	3
HNRNPUL2-BSCL2	11	-	62690274	0.000117841	2
HSPA8	11	-	123057488	0.106122	26
IL18	11	-	112143250	0.0057971	2
LAMTOR1	11	-	72097291	0.00452899	5
LMO2	11	-	33858575	0.000642364	4
MYBPC3	11	-	47335577	0.00104167	2
NDUFV1	11	+	67612486	0.0198864	7
PPP1CA	11	-	67398182	0.0227273	8
PPP1R14B	11	-	64244479	0.0109489	3
PSMA1	11	-	14504875	0.0158228	5
RELA	11	-	65653595	0.000245339	1
RHOG	11	-	3826977	0.00854701	5
RNH1	11	-	494511	0.00144695	9
RPL27A	11	+	8684889,8685936	0.07393,0.0494297	19,13
RPS25	11	-	119015711,119017220	0.00398846,0.0281085	8,20
RPS6KB2	11	+	67435221	0.0384615	2
SELENOH	11	+	57742246,57742909	0.0424466,0.0611417	1,4
SF1	11	-	64764605	0.00055269	3
SF3B2	11	+	66069306	0.00356506	1
SIGIRR	11	-	405715	0.0106952	1
SIPA1	11	+	65650808	0.0215054	2
SPI1	11	-	47354859	0.0160256	10
TALDO1	11	+	764893	0.0352772	3
TMEM123	11	-	102396331	0.00118343	3
TMEM179B	11	+	62790094	0.0259067	5
TMEM223	11	-	62789970	0.00766871	5
TPP1	11	-	6612762	0.000933271	6
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.0316302	13
UNC93B1	11	-	67991103	0.00678733	3
AC006064.6	12	-	6556885	0.000136227	3
AC023055.1	12	-	55757274	0.0506329	12
AC048338.1	12	-	122207778	0.000566251	6
ARHGDIB	12	-	14942016	0.039604	20
ARPC3	12	-	110434824	0.0757576	25
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719701	0.0387416	13
BLOC1S1-RDH5	12	+	55719865	0.0183168	13
BTG1	12	-	92140277	0.000526039	2
CD63	12	-	55725322	0.0127172	16
CDK2AP1	12	-	123260970	0.0196078	15
CLEC4A	12	+	8138533	0.0121951	3
COX6A1	12	+	120440676	0.028777	4
DDIT3	12	-	57516587	0.00904977	2
DDX47	12	+	12829734	0.0111111	2
DYNLL1	12	+	120498412	0.0320285	9
GAPDH	12	+	6538258,6538367	0.179138,0.0367303	15,7
GLIPR1	12	+	75499377	0.000529942	2
GTF2H3	12	+	123662606,123659584	0.000728067,0.000582276	2,5
HCAR3	12	-	122714755	0.00488998	4
ITGB7	12	-	53191317	0.00359389	4
KRR1	12	-	75490860	0.000223514	2
LYZ	12	+	69354203	0.00203252	2
MAP3K12	12	-	53479668	0.00132188	2
MLF2	12	-	6747995	0.00500626	4
MYL6	12	+	56161492	0.0917367	9
NACA	12	-	56712427,56712709	0.051644,0.0347172	20,24
NDUFA12	12	-	94971331	0.000388685	9
NOP2	12	-	6556862	0.00257511	3
ORAI1	12	+	121641786	0.013986	2
OS9	12	+	57696711	0.00724638	3
PHB2	12	-	6965351	0.00364631	4
PTPN6	12	+	6961020	0.0128205	2
R3HDM2	12	-	57253763	0.00198216	2
RAN	12	+	130876054	0.0182482	5
RHOF	12	-	121777753	0.00114679	2
RPL41	12	+	56117807	0.4947	140
RPLP0	12	-	120196685,120197406	0.0862944,0.000507614	17,1
SELPLG	12	-	108622276	0.00252525	2
SLC38A1	12	-	46183062	0.000507872	2
SRSF9	12	-	120461667	0.00159033	5
TMED2	12	+	123598576	0.00108284	2
TRIAP1	12	-	120443960	0.00219539	2
TUBA1A	12	-	49184795	0.0514019	11
TUBA1B	12	-	49127781	0.0112752	27
UBC	12	-	124911603	0.0454545	5
YBX3	12	-	10699088	0.000909504	2
ZNF385A	12	-	54369132	0.000805153	2
GPR183	13	-	99294529	0.00566038	3
KCTD12	13	-	76880165	0.000599401	3
LHFPL6	13	-	39209115	3.70865e-05	5
MYCBP2	13	-	77044654	0.00276625	2
POMP	13	+	28678217	0.0173913	2
RASA3	13	-	113977782	0.00127877	2
RPL21	13	+	27256333,27256563	0.194363,0.0539037	29,13
USP12	13	-	27170090	0.00869565	2
ACOT1	14	+	73543726	0.028169	2
ACTN1	14	-	68874142	0.0027933	2
AL928654.3	14	+	105488767	0.0934601	10
ARF6	14	+	49897054	0.00286738	8
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90404702	0.008	2
CHURC1	14	+	64932460	0.00766284	2
CHURC1-FNTB	14	+	64932582	0.00568182	2
CRIP1	14	+	105488767	0.0934601	10
DEGS2	14	-	100143956	0.00244073	7
ERH	14	-	69380122	0.0120482	5
GCH1	14	-	54842007	0.00099552	2
LGALS3	14	+	55145358	0.0229885	2
NDRG2	14	-	21016762	0.000590667	3
NEDD8	14	-	24216851	0.00469851	6
NFKBIA	14	-	35401510	0.0071116	13
PSME1	14	+	24138934	0.00657895	3
PSME2	14	-	24143364	0.00200562	5
RNASE6	14	+	20782392	0.0166667	4
RPS29	14	-	49583571	0.0421053	4
RTN1	14	-	59595976	0.00260417	2
SIVA1	14	+	104759561	0.0394737	3
SRSF5	14	+	69770979	0.00211566	3
SYNJ2BP-COX16	14	-	70326063	0.0148699	4
TMED10	14	-	75131469	0.00103256	7
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538298	0.0682056,0.000859151	21,13
ANP32A	15	-	68778534	0.00022409	2
BCL2A1	15	-	79960888	0.0148148	4
C15orf38-AP3S2	15	-	89834307	0.008285	10
CHP1	15	+	41273983	0.000267523	2
CIAO2A	15	-	64072558	0.00016977	3
HYPK	15	+	43801809	0.0299777	2
IMP3	15	-	75639084	0.00378072	2
MTHFS	15	-	79833584	0.000172043	1
NGRN	15	+	90271956	0.0357143	6
PKM	15	-	72199028	0.000263296	2
PPIB	15	-	64155811	0.014218	3
RAB8B	15	+	63267782	4.55456e-05	2
RPS17	15	-	82536749,82538260	0.0681818,0.0499043	6,28
RPS27L	15	-	63148249	0.000345901	2
SEC11A	15	-	84669537	0.000516049	5
SERF2	15	+	43794025	0.107143	27
SNRPA1	15	-	101281509	0.000466636	2
SRP14	15	-	40035738	0.003367	2
AC120114.4	16	+	29820058	0.0197368	6
ALDOA	16	+	30070398	0.0992908	28
APRT	16	-	88809338	0.0124011	9
ARL6IP1	16	-	18791666	0.000665115	1
ATP6V0D1	16	-	67438018	0.000142315	3
BOLA2B	16	-	30192933	0.00952381	4
CIAO2B	16	-	66932054	0.00188004	3
CKLF	16	+	66563214,66566046	0.0276572,0.0422171	3,9
CKLF-CMTM1	16	+	66563214,66566046	0.00907475,0.0418249	1,11
CORO1A	16	+	30189071	0.0280374	3
COTL1	16	-	84565593	0.0407674	51
COX4I1	16	+	85806803,85806944	0.0166113,0.0521105	5,15
CYBA	16	-	88643282	0.0285714	2
EIF3C	16	+	28735548	0.0571429	2
FAM173A	16	+	722402	0.00990099	2
GABARAPL2	16	+	75577598	0.0177936	5
ITGAL	16	+	30476342	0.00190476	2
JMJD8	16	-	681670	0.0013245	2
METTL26	16	-	634426,634569	0.0132642,0.00484621	6,1
MRPS34	16	-	1771889	0.0120846	4
NDUFAB1	16	-	23581001	0.000137174	2
NDUFB10	16	+	1961860	0.0238095	3
NPIPB5	16	+	22536519	0.000230521	4
NSMCE1	16	-	27224990	0.000118892	2
NUTF2	16	+	67871047	0.0223881	3
PAGR1	16	+	29820058	0.0197368	6
PSMB10	16	-	67934501	0.015873	2
RNPS1	16	-	2253115	0.00471698	4
RPL13	16	+	89562388,89563031,89563277	0.117887,0.282166,0.0203316	14,77,9
RPS2	16	-	1962051,1962432	0.365385,0.0328725	57,42
RRN3	16	-	15060021	0.00116144	2
SEPHS2	16	-	30443630	0.00266667	2
STUB1	16	+	682640	0.0198675	3
TCF25	16	+	89911294,89888091	0.025641,0.00039404	2,3
UQCRC2	16	+	21983313	0.00145561	3
VKORC1	16	-	31090841	0.0149573	7
ZNF205	16	+	3120421	0.0208333	2
AC046185.1	17	-	63702844	7.82381e-05	2
AC087289.3	17	-	75898644	0.000548196	6
AC120057.2	17	-	7240426	0.0960735	119
AC135178.2	17	-	8368637	0.00120773	9
ACTG1	17	-	81509970	0.0653686	47
ASGR1	17	-	7173430	0.00380228	2
ATP5PD	17	-	75039017	0.00300903	3
C17orf49	17	+	7017011,7017518	0.0574255,0.064823	5,17
CD300C	17	-	74541107	0.00831601	4
CD300LF	17	-	74694310	0.00132802	1
COA3	17	-	42797633	0.00468384	2
COPS3	17	-	17246819	6.82058e-05	2
CTDNEP1	17	-	7243590	0.003367	2
CYTH1	17	-	78674047	5.84795e-05	2
DDX5	17	-	64499615	0.0075594	35
EIF1	17	+	41691378	0.0326087	18
EIF4A1	17	+	7578546,7578800	0.27242,0.027563	16,8
EIF4A3	17	-	80135213	0.00724638	2
EVI2A	17	-	31317559	0.00399742	2
EVI2B	17	-	31303765	0.00402414	2
FLII	17	-	18244835	0.000609083	7
FTSJ3	17	-	63819432	0.00542005	2
GGNBP2	17	+	36589578	0.011976	2
GRN	17	+	44352931	0.0573477	16
H3F3B	17	-	75776433	0.000876424	2
IFT20	17	-	28328324	0.00503778	2
KPNA2	17	+	68046682	0.0232558	2
KRT10	17	-	40818116	0.00828228	2
MAFG	17	-	81918269	0.000461361	2
METTL23	17	+	76733623,76733818	0.0330189,0.030303	7,4
MIEN1	17	-	39729155	0.00452489	2
MRPL38	17	-	75898642	0.0144928	3
MRPL58	17	+	75021086	0.0246914	2
NDUFAF8	17	+	81241139	0.0243902	3
NME1-NME2	17	+	51171708	0.21393	43
NME2	17	+	51171708	0.21393	43
P4HB	17	-	81843158	0.000542105	8
PFN1	17	-	4945651	0.129032	32
PHB	17	-	49404048	0.00212089	2
PIGS	17	-	28553382	0.000114358	2
RNASEK-C17orf49	17	+	7017518	0.0456853	9
RPL19	17	+	39204725	0.038961	3
RPL26	17	-	8377515,8377632,8379783	0.102551,0.469048,0.013317	17,146,11
RPL27	17	+	43000102,43002783,43002917	0.0015554,0.0820313,0.0429408	1,17,15
SMIM6	17	+	75647767	0.029703	6
SPAG7	17	-	4959225	0.0043956	4
SRSF2	17	-	76734114	0.00439883	9
SSH2	17	-	29625937	0.000407914	2
TAF15	17	+	35847071	0.015873	2
TIMP2	17	-	78852976	0.000449539	2
TMEM101	17	-	44011187	0.0027027	2
TMEM107	17	-	8173236	0.00122349	2
TOB1	17	-	50862222	0.00396301	3
TP53	17	-	7668401	0.000407747	2
TRIM25	17	-	56887908	8.26241e-05	2
TXNDC17	17	+	6642954	0.00178731	2
UBB	17	+	16382661	0.0625	4
YWHAE	17	-	1344271	0.0010343	10
MYL12A	18	+	3256204	0.0769231	22
MYL12B	18	+	3278200	0.026616	7
RPL17-C18orf32	18	-	49481680	0.000865018	5
ZNF516	18	-	76358189	0.000459664	2
AC008763.3	19	+	7682853	0.173077	63
AC010422.8	19	-	12668070	0.000424845	5
AC011455.2	19	-	38915403	0.039604	8
AC011462.1	19	+	41424848	0.05	12
AD000671.2	19	-	35739251	0.00174638	8
AP2S1	19	-	46838135	0.0289389	9
ATP5F1D	19	+	1244809	0.0026955	1
BAX	19	+	48961636	0.00250313	2
BCKDHA	19	+	41424848	0.05	12
BSG	19	+	582876	0.00831025	3
BST2	19	-	17402938	0.00396825	3
CAPNS1	19	+	36150121	0.0236486	7
CD33	19	+	51239788	0.02	2
CDC37	19	-	10391133	0.0119812	4
CEBPA	19	-	33299933	0.0042735	6
CEBPG	19	+	33379818	0.0238095	3
CIRBP	19	+	1272925	0.00521739	9
CLEC11A	19	+	50725569	0.0118343	2
COPE	19	-	18899890	0.00265856	8
COX6B1	19	+	35658740	0.0461538	6
DEDD2	19	-	42198597	0.00238095	2
DUS3L	19	-	5785455	0.00222222	3
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0321285	15
ERCC1	19	-	45413676	0.000487644	2
EXOSC5	19	-	41386373	0.00772201	2
FBL	19	-	39834457	0.000422208	2
FCHO1	19	+	17788411	0.0176991	2
FKBP8	19	-	18531750	0.000261438	2
FOSB	19	+	45472080	0.0210728	22
FTL	19	+	48966878	0.118881	17
FXYD5	19	+	35169819	0.0311275	7
GADD45B	19	+	2477662	0.00336134	2
GMFG	19	-	39328352,39328938,39329481	0.0808824,0.092072,0.0103173	11,9,1
GPX4	19	+	1106726	0.0555556	10
HCST	19	+	35904215	0.0363636	2
HMG20B	19	+	3578854	0.00900901	3
HNRNPL	19	-	38836387	0.000381971	2
IFI30	19	+	18178116	0.170732	35
JUND	19	-	18279759	0.0455213	31
LENG9	19	-	54461795	0.00680272	2
LILRB2	19	-	54273820	0.000821355	2
LILRB3	19	-	54216277	0.000363306	2
LILRB4	19	+	54668120	0.019802	2
LRRC25	19	-	18391143	0.00474496	4
LSM7	19	-	2321516	0.00154491	7
LYL1	19	-	13099032	0.00699301	2
MAN2B1	19	-	12646512	0.0280374	3
MAP2K2	19	-	4090320	0.00722022	2
MKNK2	19	-	2037464	0.000654664	4
MRPL34	19	+	17306435	0.016129	2
MYADM	19	+	53875425,53876437	0.00658466,0.0107702	3,17
MYDGF	19	-	4657544	0.00869565	4
MYO1F	19	-	8540318	0.00189514	3
MYO9B	19	+	17203475	0.0210526	6
NAPA	19	-	47487636	0.000158675	2
NDUFA11	19	-	5894674,5896317	0.000858424,0.000613549	5,3
NDUFA13	19	+	19528041,19528164	0.148575,0.0246673	26,5
NDUFA3	19	+	54108491	0.00169338	4
NDUFB7	19	-	14566077	0.00398406	3
NFKBID	19	-	35887652	0.000658328	2
NR2C2AP	19	-	19201644	0.00664743	4
NUCB1	19	+	48923372	0.00421941	3
NUP62	19	-	49906824	0.00141443	2
PEAK3	19	-	2274621	0.0094518	10
PGLS	19	+	17521157	0.0394737	3
PLAUR	19	-	43648575	0.0127389	4
POLR2I	19	-	36113709	0.00374532	2
PPP1R15A	19	+	48876056	0.0578778	18
PPP6R1	19	-	55229779	0.0026738	1
PRMT1	19	+	49688444	0.0201005	4
PSENEN	19	+	35746741	0.0222222	2
PSMC4	19	+	39981411	0.0283019	3
PSMD8	19	+	38383297	0.00145773	3
RAVER1	19	-	10316211	0.00322061	4
REX1BD	19	+	18592196	0.0476131	6
RFXANK	19	+	19201734	0.0543362	5
RNF126	19	-	647525	0.0004584	2
RPL13A	19	+	49491547,49491976	0.0910452,0.0113492	43,6
RPL18	19	-	48615327,48615810,48616012	0.00828047,0.146785,0.00275884	4,37,2
RPL18A	19	+	17863303	0.05	2
RPL28	19	+	55388047,55388272,55392084,55403250	0.163521,0.248427,0.00153681,0.0252101	5,16,5,3
RPL36	19	+	5691700	0.0467836	8
RPS11	19	+	49498046,49499650	0.0630126,0.139154	7,54
RPS15	19	+	1440492	0.0757891	10
RPS16	19	-	39433206	0.0814327	24
RPS19	19	+	41869192	0.00815166	43
RPS28	19	+	8322088,8322365	0.149086,0.0816386	1,9
RPS5	19	+	58394804	0.037037	2
RPS9	19	+	54207500,54207644,54207522	0.196894,0.0833964,0.0344828	21,20,33
S1PR4	19	+	3180112	0.0121212	2
SARS2	19	-	38915265	0.0235294	8
SH3GL1	19	-	4360369	0.00162602	2
STX10	19	-	13144057	0.00108499	6
TBCB	19	+	36125875,36125853	0.0322581,0.0220994	3,4
TRAPPC6A	19	-	45162927	0.00194932	2
TRIR	19	-	12730639	0.0058072	5
TYROBP	19	-	35904400	0.0596568	23
UBA52	19	+	18575205	0.0727273	4
UBE2S	19	-	55399744,55401713	0.0017741,0.00192382	3,5
WDR83OS	19	-	12668070	0.011236	5
YIF1B	19	-	38305103	0.00519481	2
ZFP36	19	+	39409158	0.0043573	2
AAMP	2	-	218264122	0.00487805	2
AC068547.1	2	-	151802650	0.000343309	23
AC108488.2	2	-	3531983	0.0158228	5
ACTR1B	2	-	97655962	0.00335196	3
ARPC2	2	+	218254236	0.046729	15
ATRAID	2	+	27217044	0.0208333	2
BCL11A	2	-	60450519	0.000172944	10
CALM2	2	-	47160081	0.00853728	15
CAPG	2	-	85394747	0.0137931	2
CCDC115	2	-	130338240	0.00145985	1
CCDC142	2	-	74471985	0.00370828	3
CCT7	2	+	73252976	0.0173913	2
CHCHD5	2	+	112588711	0.000771307	2
COPS9	2	-	240130825	0.0133333	3
CXCR4	2	-	136114348	0.00576923	3
DBI	2	+	119372449	0.0229008	3
DUSP2	2	-	96143165	0.0197869	13
FANCL	2	-	58213504	0.0204082	2
GCA	2	+	162360831	0.00510204	2
GLS	2	+	190921267	0.000752191	6
HNRNPA3	2	+	177219953	0.0151656	9
HSPD1	2	-	197486580	0.00645161	3
HSPE1	2	+	197503357	0.0276243	5
IL1B	2	-	112829750	0.0360656	22
ILKAP	2	-	238170400	0.000146531	1
IMMT	2	-	86143931	0.00595238	2
ITGA4	2	+	181475892	0.0487805	2
LAPTM4A	2	-	20032649	0.00900901	5
MDH1	2	+	63607106	0.0252101	3
METTL5	2	-	169811756	0.000384221	3
MOB1A	2	-	74152527	0.00123762	5
MOGS	2	-	74461056	0.000516929	2
MRPL53	2	-	74471957	0.0172414	3
NFE2L2	2	-	177230304	0.00416667	2
NR4A2	2	-	156324431	0.00339175	6
OST4	2	-	27070471	0.00797862	6
PCBP1	2	+	70089065	0.063745	16
PDIA6	2	-	10783390	0.00230681	2
PLEK	2	+	68397453	0.00244349	4
PNKD	2	+	218272843	0.0246914	2
POLE4	2	+	74969516	0.0212766	2
PPM1G	2	-	27381193	0.00740741	3
PTMA	2	+	231711980,231712542,231713465	0.129912,0.0504447,0.00754905	13,10,7
RHOQ	2	+	46576344	0.0364372	9
RNF181	2	+	85597111	0.00851064	2
RPL31	2	+	101006368	0.0170235	6
RPL37A	2	+	216500030,216501408	0.146293,0.0571906	10,6
RTN4	2	-	54972186	0.00412797	3
SF3B6	2	-	24067583	0.011236	2
SP100	2	+	230470532	0.0047619	2
SSB	2	+	169811905	0.0201342	3
STK16	2	+	219248684	0.016	2
STK39	2	-	167954019	0.00135501	2
TMSB10	2	+	84906673	0.588	147
TXNDC9	2	-	99318981	0.000142816	2
VAMP8	2	+	85581850	0.0407407	11
VRK2	2	+	58100474,58159645,58159919	4.85584e-05,3.46818e-05,5.3152e-05	2,3,5
ZFP36L2	2	-	43222401	0.0010433	2
C20orf27	20	-	3753507	0.0109091	6
CST3	20	-	23626705,23633711	0.000570952,0.636684	4,129
CTSZ	20	-	58995184	0.0431034	20
EIF6	20	-	35278910	0.0104751	11
FKBP1A	20	-	1368977	0.00190949	5
HCK	20	+	32055679	0.00214286	3
MAFB	20	-	40685847	0.000984737	2
PIGT	20	+	45433014	0.000211015	3
PSMA7	20	-	62136734	0.0245902	3
RAE1	20	+	57378252	0.0130719	2
RGS19	20	-	64073180	0.00595238	4
RPN2	20	+	37241452	0.0218978	3
RPS21	20	+	62388363,62388519	0.101787,0.0305567	21,7
SLA2	20	-	36612317	0.00302847	5
SNRPB	20	-	2461633	0.000355619	2
TGIF2-RAB5IF	20	+	36612381	0.0545455	18
TMEM230	20	-	5099839	0.00315457	3
YWHAB	20	+	44906096,44906730	0.000748208,0.0101255	1,7
ATP5PO	21	-	33903452,33903835	0.0333293,0.000935601	6,3
HMGN1	21	-	39342314	0.000387597	2
IL10RB	21	+	33296683	0.0153374	5
ITGB2	21	-	44885952	0.00136585	28
U2AF1	21	-	43092955	0.00129994	9
U2AF1L5	21	-	6484622	0.00195269	14
USP16	21	+	29054358	0.0116959	2
AP000350.4	22	+	23895153	0.0681818	6
CHCHD10	22	-	23765833	0.00857143	3
CHKB	22	-	50578948	0.0344828	8
CHKB-CPT1B	22	-	50568994	0.000480948	4
CPT1B	22	-	50568860	0.00838574	4
DDTL	22	+	23972452	0.00382409	4
EIF3D	22	-	36510849	0.00649351	2
EIF3L	22	+	37888515,37888619	0.102311,0.0192641	7,3
LZTR1	22	+	20983470	0.0238727	9
