AGO3	1	+	36072499	5.97181e-05	6
CTSS	1	-	150730195	0.000160289	2
ETV3	1	-	157133144	0.00320856	3
FCER1G	1	+	161219136	0.0103627	2
GNG5	1	-	84498324	0.00195487	6
HNRNPU	1	-	244840637	0.000101528	1
IARS2	1	+	220147783	0.0135135	2
JAK1	1	-	64833228	0.00150038	2
JUN	1	-	58780787	0.0084738	10
MCL1	1	-	150574550	0.00601983	17
MNDA	1	+	158849436	0.0251256	5
PTPRC	1	+	198756348	0.011976	2
RNPEP	1	+	202005806	0.0222222	2
RPS27	1	+	153992154	0.0120898	7
RRAGC	1	-	38838197	0.00147601	2
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0128205	2
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.0704225	5
S100A9	1	+	153361021	0.224044	41
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281281	0.033557	10
SLC35E2A	1	-	1727385	0.000394555	2
SVBP	1	-	42807051	0.00552486	2
TAGLN2	1	-	159918106	0.00577201	4
TPM3	1	-	154155303	0.000273635	4
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00514933	5
UQCRH	1	+	46316628	0.000312793	2
APBB1IP	10	+	26567588	0.02	2
ATP5F1C	10	+	7807017,7807713	0.0526156,0.00143686	1,1
ERCC6	10	-	49515200	0.0151515	2
GDI2	10	-	5765222	0.00235849	2
JMJD1C	10	-	63176799	0.00219539	2
NRBF2	10	+	63155031	0.00246002	2
PSAP	10	-	71816297	0.0139983	16
SRGN	10	+	69104631	0.0136986	7
VIM	10	+	17237554	0.0252039	29
AHNAK	11	-	62515904	0.00953516	8
AP002990.1	11	-	62559602	0.00103042	15
ATP5MG	11	+	118409109	0.00178166	3
BEST1	11	+	61964987,61965515	0.00759402,0.00758711	14,17
CTSD	11	-	1752751	0.00232558	5
DNAJC4	11	+	64234069	0.0131579	2
EHBP1L1	11	+	65592467	0.0242424	4
EIF3M	11	+	32602473	0.027027	2
FAU	11	-	65120627,65120982	0.032967,0.00785855	6,3
FTH1	11	-	61964284,61964604	0.00941269,0.0741571	5,24
FXYD6	11	-	117836975	0.000600781	2
GSTP1	11	+	67586264,67586278	0.00250002,0.00272346	2,2
HSPA8	11	-	123057488	0.0163265	4
ILK	11	+	6604975	0.019802	2
MPEG1	11	-	59208509	0.00181406	4
MRPL23	11	+	1956492	0.00619579	5
MTRNR2L8	11	-	10507886	0.00754717	2
RPS25	11	-	119015711,119017188	0.00136793,0.0119737	3,8
RPS3	11	+	75404823	0.0580635	9
SF1	11	-	64764605	0.00036846	2
SPI1	11	-	47354859	0.00961538	6
TALDO1	11	+	764894	0.0348662	3
TMEM258	11	-	61788962	0.00133958	2
TTC17	11	+	43370315	0.00865801	2
UCP2	11	-	73974666	0.00486618	2
ARPC3	12	-	110434824	0.0151515	5
BLOC1S1	12	+	55719540	0.00930233	4
BLOC1S1-RDH5	12	+	55719540	0.00930233	4
CDK2AP1	12	-	123260970	0.0183007	14
CLEC7A	12	-	10116776	0.000203397	2
DDX47	12	+	12829731	0.0282486	5
DYNLL1	12	+	120498257	0.015873	2
GAPDH	12	+	6538351	0.0331492	6
