CD52	1	+	26320488	0.0322581	6
LAPTM5	1	-	30732468	0.00147167	2
RPS27	1	+	153992149	0.0121951	7
SH3BGRL3	1	+	26281157	0.0114943	2
TXNIP	1	-	145992434	0.00141243	2
YBX1	1	+	42702065	0.00190476	2
RBM17	10	+	6115640	0.0238095	2
RPS24	10	+	78040695	0.000733945	2
AP002990.1	11	-	62559602	0.000460466	7
AP003419.1	11	-	67351571	0.0165485	7
ATP5MG	11	+	118409200,118409199	0.00133008,0.00133126	2,3
BANF1	11	+	66003909	0.0145985	2
CORO1B	11	-	67435509	0.000955292	5
FAU	11	-	65120627	0.056	7
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119017169	0.00138759,0.0116201	3,8
UBXN1	11	-	62676497	0.00909091	2
ARHGDIB	12	-	14942016	0.0039604	2
ATP5MC2	12	-	53665165	0.0135135	2
CD69	12	-	9752485	0.0130221	12
HVCN1	12	-	110648685	0.00276243	2
LDHB	12	-	21635341	0.01	2
RPL41	12	+	56117806	0.0673759	19
RPLP0	12	-	120196685	0.00111483	3
TUBA1A	12	-	49184795	0.0140187	3
RPL21	13	+	27256448	0.0262989	6
IGHM	14	-	105851704	0.0689655	18
AC245033.1	15	-	82536787,82538220	0.000327615,0.000256544	5,4
EID1	15	+	48878844	0.0192308	2
RPS17	15	-	82536749,82538182	0.000721715,0.00691986	1,8
SERF2	15	+	43793903	0.0153846	2
CD19	16	+	28939258	0.00677966	2
PSMB10	16	-	67934501	0.0238095	3
RPL13	16	+	89562390,89563090	0.119969,0.0717811	14,20
RPS2	16	-	1962051	0.0129011	21
YPEL3	16	-	30092313	0.000817996	2
ACTG1	17	-	81509970	0.00278164	2
CD79B	17	-	63928739	0.00823045	4
DDX5	17	-	64499615	0.000863931	4
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379723	0.00183165,0.00544421	5,5
RPL27	17	+	43002774	0.00151037	5
AD000671.2	19	-	35739251	0.000390549	2
FTL	19	+	48966857	0.0245902	3
GMFG	19	-	39328352	0.00235156	2
JUND	19	-	18279759	0.00734214	5
RPL18	19	-	48615327,48615813,48616015	0.00411631,0.0803706,0.00877141	2,13,6
RPL28	19	+	55388046,55388328	0.0711159,0.0197663	2,5
RPL36	19	+	5691615	0.0285714	3
RPS11	19	+	49499604	0.0312428	6
RPS15	19	+	1440430	0.045045	5
RPS16	19	-	39433206	0.019544	5
RPS19	19	+	41869191	0.00246492	13
RPS28	19	+	8322393	0.0322682	4
RPS9	19	+	54207553,54207521	0.0759148,0.0447761	12,12
CERKL	2	-	181536675	0.00132626	2
IGKC	2	-	88857160	0.08	16
PTMA	2	+	231712717	0.00379591	4
RPL37A	2	+	216501397	0.00347464	5
TMSB10	2	+	84906670	0.0445344	11
RPS21	20	+	62388407	0.00309598	2
CCDC12	3	-	46921725	0.0060423	2
CNBP	3	-	129169483	0.00206398	1
GPX1	3	-	49357170	0.00246609	2
RPL29	3	-	51993521	0.0138735	19
RPL35A	3	+	197955776	0.00156915	7
RPS3A	4	+	151104285,151104553,151104169	0.0827022,0.0476592,0.0100932	3,6,13
DUSP1	5	-	172768089	0.00892857	6
MZB1	5	-	139387479	0.00103681	2
RACK1	5	-	181236908,181237508	0.000950407,0.000725721	6,4
ATP6V1G2-DDX39B	6	-	31530218	0.000169305	1
DDX39B	6	-	31530218	0.00225479	2
EEF1A1	6	-	73515749,73517724	0.00860912,0.0542023	18,10
HLA-B	6	-	31353871	0.00981997	6
HLA-DPB1	6	+	33086735	0.0250985	5
LSM2	6	-	31797395	0.00554017	2
LTB	6	-	31580554	0.00298805	3
PSMB8	6	-	32840716	0.0123967	3
RPS10	6	-	34417453	0.00274348	1
ACTB	7	-	5527146	0.00887559	16
RPL30	8	-	98041720,98042614	0.0396004,0.00263858	11,6
RPL8	8	-	144789765	0.0110693	12
RPL35	9	-	124857879	0.00509338	3
MTCP1	X	-	155061621	0.000517063	2
RPL36A	X	+	101395405	0.00060241	2
RPL39	X	-	119786505	0.011236	2
TMSB4X	X	+	12977163	0.0653409	23
