AL713999.1	1	-	155169408	0.000992802	4
APH1A	1	-	150265398	0.00178094	2
CAPZB	1	-	19338775	0.000501756	1
CCT3	1	-	156308967	7.10757e-05	2
CD52	1	+	26320461	0.0251572	4
DDOST	1	-	20651766	0.00653595	4
DENND2D	1	-	111187173	0.00464037	2
DPM3	1	-	155139890	0.028169	2
GUK1	1	+	228148835	0.0289855	4
HIST2H2AA4	1	+	149851586	0.025	2
KRTCAP2	1	-	155169407	0.0625	2
MYSM1	1	-	58654738	0.000380373	2
RPA2	1	-	27891523	0.00625978	4
RPS27	1	+	153991676,153992155	0.257426,0.076087	26,7
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
SSR2	1	-	156009047	0.000196367	2
TPM3	1	-	154155303	0.000447427	8
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00411946	4
UFC1	1	+	161158649	0.0127389	2
USP24	1	-	55071272	0.0186335	3
PDCD4	10	+	110898358	0.00740741	2
RPS24	10	+	78040642	0.0645156	2
AP001931.1	11	+	57742897	0.00294118	2
AP002990.1	11	-	62559602	0.00212016	31
ATP5MG	11	+	118409005	0.000970874	2
CORO1B	11	-	67435509	0.00400599	20
CTSD	11	-	1752751	0.00186047	4
CTSW	11	+	65883722	0.0224215	5
DDB2	11	+	47233480	0.02	5
FAU	11	-	65120627,65120928	0.0390625,0.00888099	5,5
HSPA8	11	-	123057488	0.0244898	6
IFITM1	11	+	315255	0.126761	18
IFITM2	11	+	315255	0.126761	18
LAMTOR1	11	-	72097291	0.00181159	2
NAP1L4	11	-	2944430	0.000200642	2
PTPRCAP	11	-	67435509	0.0538117	12
RAD9A	11	+	67393003	0.0213675	5
RARRES3	11	+	63546324	0.0294118	2
RPS25	11	-	119015711,119017197	0.00203875,0.0195721	4,14
SELENOH	11	+	57742897	0.00294118	2
UCP2	11	-	73974666	0.00486618	2
UQCC3	11	+	62672268	0.012987	2
CD63	12	-	55725322	0.00136147	1
CEP290	12	-	88111201	0.00321543	2
KLRC4-KLRK1	12	-	10372352,10372512	0.000281919,5.82881e-05	9,2
KLRK1	12	-	10372352	0.0155954	11
MYL6	12	+	56161482	0.051006	5
NACA	12	-	56712427	0.0044405	5
PHB2	12	-	6965351	0.00273473	3
RPL41	12	+	56117799	0.196364	54
RPLP0	12	-	120196685	0.00297287	8
WASHC3	12	-	102012926	0.000102841	3
RPL21	13	+	27256332,27256458	0.0658482,0.0392757	10,6
CALM1	14	+	90404958	0.00395257	1
DAD1	14	-	22564904	0.000195065	2
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138773	0.00677966	2
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004570	0.0124224	1
AC245033.1	15	-	82536787,82538291	0.000369235,0.000102324	6,1
PSMA4	15	+	78548928	0.0165289	2
RPLP1	15	+	69455544	0.0540541	2
RPS17	15	-	82536749,82538253	0.00194433,0.00178119	5,1
SERF2	15	+	43796079	0.00303556	7
SNRPN	15	+	24978519	0.0266667	2
ALDOA	16	+	30070418	0.0331126	10
COTL1	16	-	84565593	0.00159872	2
DNAJA3	16	+	4437440	0.000672721	2
IL32	16	+	3069426	0.028169	2
RPL13	16	+	89562388,89563090	0.1605,0.0710989	19,20
RPS2	16	-	1962051	0.0223939	37
SEPT1	16	-	30378132	0.000480538	2
AC120057.2	17	-	7240426	0.00320256	3
ACTG1	17	-	81509970	0.0111266	8
CD7	17	-	82314867	0.00235664	3
EIF1	17	+	41691261	0.0137931	6
