C1orf54	1	+	150279797	0.0338983	2
RSRP1	1	-	25242236	0.00070028	2
AP002990.1	11	-	62559602	0.000455718	6
CORO1B	11	-	67435509	0.000382117	2
IFITM1	11	+	315203	0.0444444	4
IFITM2	11	+	315203	0.0444444	4
LRP5	11	+	68449273,68449272	3.276e-05,3.27615e-05	1,1
PTPRCAP	11	-	67435509	0.00896861	2
EAPP	14	-	34529355	0.00060344	6
NFKBIA	14	-	35401510	0.00437637	8
SPG11	15	-	44622475	0.0175439	4
SPG21	15	-	64963020	0.000561956	4
RPS2	16	-	1962051	0.00118413	1
AC026954.2	17	-	7312660	0.000694927	2
NME1-NME2	17	+	51171609	0.0392157	4
NME2	17	+	51171609	0.0392157	4
JUNB	19	+	12793222	0.02457	10
MAN2B1	19	-	12646512	0.0186916	1
PTMA	2	+	231711984	0.00347826	2
TGOLN2	2	-	85318019	0.00042346	2
NFS1	20	-	35686253	0.00020732	1
SNRPB	20	-	2461633	0.000355619	2
SF3A1	22	-	30342319	0.00361664	2
PRRT3	3	-	9945541	0.00875912	6
LARS	5	-	146164314	0.0190476	2
RAB24	5	-	177301450	0.00684932	2
HLA-A	6	+	29945619	0.0182927	3
HLA-B	6	-	31353871	0.00490998	3
HLA-C	6	-	31268748	0.00355731	9
LTB	6	-	31580554	0.00199203	2
CRCP	7	+	66130457	0.0161943	4
KMT2E	7	+	105064473	0.028103	12
TRBC1	7	+	142793278	0.0145985	2
RPL30	8	-	98041720	0.000621504	1
RPL8	8	-	144789765	0.00127796	2
