CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320521	0.0456621	10
CDC73	1	+	193147778	0.000338009	1
GUK1	1	+	228148807	0.0181818	2
LAPTM5	1	-	30732468	0.00294334	4
MINOS1	1	+	19626480	0.0379747	3
MTX1	1	+	155213778	0.025	2
PYCR2	1	-	225919876	0.00346021	2
RC3H1	1	-	173931213	0.000266418	2
RPL11	1	+	23695292	0.00059988	1
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991674,153992153	0.515152,0.152174	51,14
S100A10	1	-	151982914	0.016129	4
S100A4	1	-	153543612	0.0684932	10
SELL	1	-	169690666	0.00179051	2
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.002886	2
TPM3	1	-	154155303	0.000279642	5
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0061792	6
AL360181.3	10	+	133420262	0.0309278	3
DNAJC9	10	-	73242823	0.00520833	3
MTG1	10	+	133420262	0.0309278	3
NDST2	10	-	73801910	0.00555556	3
NDUFB8	10	-	100523936	0.00147086	8
PPA1	10	-	70202829	0.00615385	2
VDAC2	10	+	75231180	0.0157068	3
VIM	10	+	17237504	0.00373703	7
AP002990.1	11	-	62559602	0.0041898	62
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118409069	0.00188324	4
CCDC85B	11	+	65891502	0.0181818	2
CORO1B	11	-	67435509	0.00763409	39
CTSW	11	+	65883563	0.03125	2
EIF4G2	11	-	10797049	0.00261097	2
ETS1	11	-	128458760	0.00132345	5
FAU	11	-	65120627,65120923	0.105691,0.0158451	13,9
HSPA8	11	-	123057488	0.0244898	6
IFITM1	11	+	315183	0.0857143	6
IFITM2	11	+	315183	0.0857143	6
PTPRCAP	11	-	67435509	0.116592	26
RAD9A	11	+	67393023	0.0275591	7
RPL27A	11	+	8685703	0.0529114	14
RPS25	11	-	119015711	0.0415432	33
RPS3	11	+	75404796,75405620	0.303862,0.0377683	66,12
ANAPC5	12	-	121308356	0.000201045	2
ARPC3	12	-	110434824	0.0212121	7
ATP2A2	12	+	110288222,110351089	0.000643713,7.09762e-05	3,4
ATP5MC2	12	-	53665165	0.0135135	2
BICDL1	12	+	120000659	0.00235849	2
BLOC1S1	12	+	55719199	0.0337079	3
BLOC1S1-RDH5	12	+	55719199	0.0337079	3
CD69	12	-	9752485	0.0040201	4
CHD4	12	-	6570081	0.000756386	15
DGKA	12	+	55953938	0.0117647	2
DYNLL1	12	+	120498227	0.0208333	2
EMG1	12	+	6983219	0.0239521	4
GAPDH	12	+	6538307	0.0364964	5
H3F3C	12	-	31791184	0.00348432	2
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161587	0.00159236	2
NACA	12	-	56712427,56712779	0.0228946,0.0140948	10,8
PFDN5	12	+	53299405	0.0326026	5
RPL41	12	+	56117735,56117942	0.326258,0.0338745	68,14
RPLP0	12	-	120196685	0.00665244	17
SLC2A3	12	-	7931350	0.00167598	3
SMARCC2	12	-	56162982	0.000226152	5
TUBA1B	12	-	49127781	0.000808407	2
ZC3H10	12	+	56125580,56127514	0.00194427,0.00173206	7,9
LCP1	13	-	46125919	0.00119689	2
RGCC	13	+	41470600	0.0173913	2
AL928654.3	14	+	105488788	0.0538463	7
CRIP1	14	+	105488788	0.0538463	7
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138806	0.00914634	3
RPS29	14	-	49583571	0.0315789	3
SYNE3	14	-	95407265	0.000189394	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538307	0.0309444,0.000411377	9,6
IMP3	15	-	75639084	0.00378072	2
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749,82538269	0.0309278,0.0243092	3,13
SERF2	15	+	43793999	0.039823	9
ST20-MTHFS	15	-	79845149	0.0333333	2
TRIP4	15	+	64455302	0.000195618	2
ALDOA	16	+	30070387	0.0442804	12
APRT	16	-	88809338	0.00248447	2
ATP6V0C	16	+	2519927	0.010989	2
CORO7-PAM16	16	-	4340250,4340829	0.0901571,0.000102622	14,2
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806803	0.00996678	3
HMOX2	16	+	4509757	0.00625	1
IL32	16	+	3069455	0.04	4
MT1E	16	+	56627111	0.00689655	2
MT1X	16	+	56684196	0.00217628	2
PAM16	16	-	4340247,4340826	0.0736455,0.0281436	9,7
PSMB10	16	-	67934501	0.0238095	3
RNF40	16	+	30775051	0.00426894	4
RPL13	16	+	89562388,89563017,89563254	0.123309,0.283194,0.0210235	15,73,9
RPS2	16	-	1962051,1962448	0.19186,0.0224411	33,28
AC087289.3	17	-	75898644	0.000365464	4
AC120057.2	17	-	7240426	0.00560448	6
ACTG1	17	-	81509970	0.0125174	9
C17orf49	17	+	7017323	0.0328454	5
CTC1	17	-	8224820	0.000194477	2
DDX5	17	-	64499615	0.00151188	7
EIF1	17	+	41691125	0.00668896	2
EIF4A1	17	+	7578722	0.0169492	4
HEXDC	17	+	82442645	0.000330215	6
KRT10	17	-	40818116	0.00557103	2
MRPL38	17	-	75898642	0.00966184	2
NME1-NME2	17	+	51171670	0.0552147	9
NME2	17	+	51171670	0.0552147	9
NMT1	17	+	45105729	0.0222222	2
OVCA2	17	+	2043327	0.0224215	5
PFN1	17	-	4945651	0.0241935	6
PITPNA	17	-	1517717	9.42196e-05	2
RNASEK-C17orf49	17	+	7017407	0.0232558	2
RPL19	17	+	39204726	0.0384615	3
