AC114490.2	1	-	34981532	0.00125576	3
ADAR	1	-	154582056	0.000255004	2
ADIPOR1	1	-	202940822	0.000676819	2
AL031281.2	1	+	22092587	0.00280374	2
AL713999.1	1	-	155169408	0.000983167	3
ARHGAP30	1	-	161048789	0.000175778	2
ARL8A	1	-	202133403	0.00179856	2
ASH1L	1	-	155481410	7.72559e-05	2
ATP1A1	1	+	116404583	0.0143885	2
ATP5IF1	1	+	28237944	0.00268817	4
ATP5PB	1	+	111461140	0.0205479	3
ATP6V0B	1	+	43978268	0.00700117	6
BATF3	1	-	212686417	0.00798897	2
C1orf162	1	+	111478370	0.0161943	4
C1orf43	1	-	154206695	0.000508971	4
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.0490196	15
CD52	1	+	26320520	0.100917	22
CDA	1	+	20618753	0.0216216	4
CDC42	1	+	22092587	0.00280374	2
CSDE1	1	-	114716912	0.00318471	4
DENND4B	1	-	153929500	0.00251256	2
FCER1G	1	+	161219242	0.090301	27
FCGR3A	1	-	161541758	0.0327215	41
GNG5	1	-	84498324	0.0014083	4
GNPAT	1	+	231260616	0.0350877	2
GPBP1L1	1	-	45627303	0.00210084	2
GPR89A	1	+	145623824	0.0176471	3
GUK1	1	+	228148864	0.0239521	4
IL6R	1	+	154469450	0.00116686	5
ISG15	1	+	1014538	0.0833333	5
IVNS1ABP	1	-	185306749	0.0238095	5
LAMTOR5	1	-	110401248	0.0145985	4
LAPTM5	1	-	30732468	0.00809419	11
LBR	1	-	225401501	0.00166574	3
MARCKSL1	1	-	32333831	0.00522876	3
MAST2	1	+	46032881	0.0643275	11
MIIP	1	+	12031952	0.0138889	2
MINOS1	1	+	19626587	0.0591398	11
MNDA	1	+	158849501	0.0189394	5
MTX1	1	+	155213654	0.00159872	2
NENF	1	+	212446134	0.015625	2
PABPC4	1	-	39560815	0.00452001	3
PMVK	1	-	154924733	0.00506329	2
PRDX1	1	-	45511035	0.00682594	2
PTP4A2	1	-	31906420	0.000382041	2
PTPRC	1	+	198756712	0.00376648	2
RAB4A	1	+	229303930	0.00314795	3
RABGAP1L	1	+	174905634,174926227	4.30052e-05,0.00030299	1,14
RBBP4	1	+	32686210	0.000172692	3
RHOC	1	-	112701105	0.00780234	18
RPS27	1	+	153991673,153992133	0.159793,0.09572	15,16
S100A10	1	-	151982914	0.116935	29
S100A11	1	-	152032505	0.0641026	10
S100A4	1	-	153543612	0.157534	23
S100A6	1	-	153534598	0.123711	12
S100A9	1	+	153360989	0.013245	2
SARS	1	+	109238042	0.012987	2
SH3BGRL3	1	+	26281443	0.0586957	27
SORT1	1	-	109309567	0.000446927	2
SRSF11	1	+	70231928	0.00175234	6
SSR2	1	-	156009047	0.000294551	3
STK40	1	-	36339623	0.000559441	2
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.00577201	4
TMEM35B	1	-	34981534	0.00733496	3
TMEM50A	1	+	25360942	0.0126582	3
TRIM11	1	-	228393672	0.00193798	2
TXNIP	1	-	145992434	0.0127119	18
UBXN11	1	-	26281327	0.015448	15
WASF2	1	-	27404225	0.000504668	2
ZBTB7B	1	+	155018430	0.00229226	3
ZNF593	1	+	26170758	0.0285714	2
AL360181.3	10	+	133420338	0.0115607	2
ANXA7	10	-	73375100	0.00201207	2
ATP5F1C	10	+	7807774	0.0050225	3
GDI2	10	-	5765222	0.00943059	7
LIPA	10	-	89213568	0.00317712	3
MTG1	10	+	133420338	0.0115607	2
OTUD1	10	+	23441255	0.0113636	4
PCBD1	10	-	70883509	0.00454545	2
PIK3AP1	10	-	96593311	0.0013245	3
PSAP	10	-	71816297	0.023622	27
RPS24	10	+	78040223,78040699	0.0827678,0.0681539	1,6
SRGN	10	+	69104701	0.0275387	16
VIM	10	+	17236378,17237471,17237589	0.0323708,0.0723641,0.0258026	4,21,10
ZFAND4	10	-	45639705	0.00616333	4
AHNAK	11	-	62515904	0.00834327	7
AP001931.1	11	+	57742244,57743296	0.0712196,0.00285177	1,3
AP002990.1	11	-	62559602	0.00219336	32
AP003419.1	11	-	67351571	0.0567103	23
ARFGAP2	11	-	47164298	0.000249097	2
ARHGAP1	11	-	46677079	0.00153296	3
ATP5MG	11	+	118409249	0.0313669	13
BANF1	11	+	66003935	0.0245399	4
BRMS1	11	-	66337332	0.000542888	2
CAT	11	+	34452246	0.00199178	2
CCDC85B	11	+	65891570	0.0224719	4
CDKN1C	11	-	2883212	0.00505689	4
CFL1	11	-	65854674	0.0453527	29
CHORDC1	11	-	90213978	0.000910136	7
CHRNA10	11	-	3665586	0.000534474	1
COA4	11	-	73872666	0.00446429	2
COX8A	11	+	63976529	0.00956938	2
CTSD	11	-	1752751	0.00325581	7
DNAJC4	11	+	64234161	0.00819672	2
EHBP1L1	11	+	65592647	0.00869565	3
FAM168A	11	-	73400486	0.000567859	4
FAU	11	-	65120627,65120946	0.109589,0.0256881	16,14
FCHSD2	11	-	72836744	0.00195503	4
FIBP	11	-	65883920	0.00175131	3
HSPA8	11	-	123057488	0.044898	11
IFITM1	11	+	315265	0.0197368	3
IFITM2	11	+	315265	0.0197368	3
IFITM3	11	-	319668	0.0075188	4
LAMTOR1	11	-	72097291	0.00362319	4
LMO2	11	-	33858575	0.000481773	3
MAP3K11	11	-	65597754	0.00022205	2
MRPL23	11	+	1956510	0.0348613	8
MS4A7	11	+	60394694	0.00360144	3
MTRNR2L8	11	-	10507886	0.0113208	3
PAK1	11	-	77321706	9.00657e-05	2
PCSK7	11	-	117204336	0.00289256	7
PICALM	11	-	85957683	3.08923e-05	1
PPP1CA	11	-	67398182	0.0170295	5
PTPMT1	11	+	47571765	0.0542322	16
RHOG	11	-	3826977	0.0204855	11
RPS25	11	-	119015711,119015829,119017350	0.00868374,0.0914499,0.00186573	6,22,1
RPS6KB2	11	+	67435292	0.0162602	2
SDHD	11	+	112095794	0.000636267	3
SELENOH	11	+	57742244,57742953	0.042396,0.0316009	1,3
SIDT2	11	+	117197442	0.00205761	3
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.0208333	13
SWAP70	11	+	9724710	0.000180375	2
TAGLN	11	+	117204681	0.0217391	7
TALDO1	11	+	764902	0.0416421	4
TPP1	11	-	6612762	0.000777726	5
UBE2L6	11	-	57551655	0.0042735	3
UNC93B1	11	-	67991103	0.00452489	2
AC023055.1	12	-	55757274	0.021097	5
AC048338.1	12	-	122207778	0.000755002	8
ARHGDIB	12	-	14942016	0.0158416	8
ARPC3	12	-	110434824	0.0484848	16
ASB8	12	-	48147787	0.00126743	1
ATP5F1B	12	-	56638178	0.0208333	3
ATP5MC2	12	-	53665165	0.0202703	3
BIN2	12	-	51281037	0.0130152	6
BLOC1S1	12	+	55719223,55719655	0.0464457,0.0380105	5,8
BLOC1S1-RDH5	12	+	55719223,55719655	0.0330871,0.0378641	3,10
C2CD5	12	-	22448582	0.00169924	2
CDK2AP1	12	-	123260970	0.0313181	23
CTDSP2	12	-	57819926	0.000544218	2
DIABLO	12	-	122207661	0.000426257	8
FAR2	12	+	29340951	0.0144928	2
GAPDH	12	+	6538287	0.0940171	11
GPN3	12	-	110452483	0.00545455	3
HNRNPA1	12	+	54286808	0.00308255	7
HVCN1	12	-	110648685	0.00276243	2
LTA4H	12	-	96000827	8.44916e-05	2
MYL6	12	+	56161530	0.00250209	3
MYO1A	12	-	57028516	0.00173511	3
NACA	12	-	56712427,56712770	0.0810811,0.0776305	9,48
NDUFA12	12	-	94971331	0.000117197	3
OSBPL8	12	-	76351796	0.000488759	2
PFDN5	12	+	53298149,53299449	0.00331664,0.0491263	4,15
PHB2	12	-	6965351	0.00729262	8
PTPN6	12	+	6961263	0.0175439	7
RHOF	12	-	121777753	0.00114679	2
RPL41	12	+	56117806	0.234043	66
RPLP0	12	-	120196685	0.00516676	13
TNFRSF1A	12	-	6328756	0.00063925	3
TPI1	12	+	6870747	0.032967	12
TRAFD1	12	+	112142333	0.0134228	2
TUBA1A	12	-	49184795	0.0373832	7
TUBA1B	12	-	49127781	0.00242522	6
UBC	12	-	124911603	0.0181818	2
WASHC3	12	-	102012926	0.000102966	3
YBX3	12	-	10699088	0.00181901	4
ZNF385A	12	-	54369132	0.00120773	3
ELF1	13	-	40932027	0.000103066	2
