AL445685.3	1	-	52020152	0.000159439	1
AL713999.1	1	-	155169408,155169677	0.004064,0.0043431	5,4
BTG2	1	+	203307946	0.00590551	3
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320427	0.024	3
DENND4B	1	-	153929500	0.00251256	2
DHDDS	1	+	26454797,26471294	0.000231816,0.000163555	2,3
ENO1	1	-	8860999	0.000283648	2
ETV3	1	-	157133144	0.00320856	3
HIST2H2AA4	1	+	149851624	0.059322	7
HMGCL	1	-	23801884	5.52792e-05	2
HMGN2	1	+	26475972	0.00242718	1
IFI6	1	-	27666060	0.009375	3
KYAT3	1	-	88935772	0.00487805	2
LAPTM5	1	-	30732468	0.00147167	2
LCK	1	+	32285871	0.0193548	3
MSTO1	1	+	155614965	0.000587027	1
PARK7	1	+	7985204	0.0133333	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991676,153992155	0.465347,0.130435	47,12
RPS8	1	+	44778715	0.0666667	2
S100A10	1	-	151982914	0.00806452	2
SELL	1	-	169690666	0.00179051	2
SLC35E2B	1	-	1661477	0.000929368	4
SRSF11	1	+	70228726	0.036036	8
SSR2	1	-	156009047	0.000294551	3
SSU72	1	-	1541672	0.00508906	2
SYF2	1	-	25222678	0.00340716	2
SYNC	1	-	32680359	0.00134228	2
TXNDC12	1	-	52020130	0.000192215	2
TXNIP	1	-	145992434	0.00211864	3
ATP5F1C	10	+	7807729	0.00267023	2
PGAM1	10	+	97433441	0.00218103	2
RPS24	10	+	78040694	0.0353575	5
ANKRD13D	11	+	67302434	0.0196078	2
AP001931.1	11	+	57742246,57743201	0.061631,0.00732998	1,7
AP002990.1	11	-	62559602,62559712	0.00888846,0.000600323	133,8
ATP5MG	11	+	118409850	0.0016672	4
CD3G	11	+	118355160	0.000824266	5
CDK2AP2	11	-	67506496	0.00142857	2
CORO1B	11	-	67435509	0.000573175	3
CTSD	11	-	1752751	0.000930233	2
EEF1G	11	-	62559600	0.0897436	7
FAU	11	-	65120627,65120955	0.0903226,0.0223881	14,12
FERMT3	11	+	64223608	0.0172414	2
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315269	0.128205	20
IFITM2	11	+	315269	0.128205	20
LDHA	11	+	18399014	0.00934579	1
NKAPD1	11	+	112082945	0.000793021	2
PPP1CA	11	-	67398182	0.0113636	4
PTPRCAP	11	-	67435509	0.0134529	3
RPL27A	11	+	8684790,8685716	0.00618005,0.0279471	5,9
RPS25	11	-	119015711,119015835,119017320	0.00376765,0.00198475,0.0396867	8,4,24
RPS3	11	+	75404797,75405621	0.182301,0.050173	45,17
SELENOH	11	+	57742996	0.0514127	8
SESN3	11	-	95165512	0.000258331	2
UBE4A	11	+	118399211	0.00108264	3
ARHGDIB	12	-	14942016	0.00792079	4
ATP2A2	12	+	110291467	0.000343603	3
BICDL1	12	+	120003338,120005430,120006757	0.0531788,0.00156803,0.00137946	36,4,5
COX14	12	+	50120312	0.0210526	2
DYNLL1	12	+	120498345	0.0140187	3
GAPDH	12	+	6538242	0.0416667	3
HNRNPA1	12	+	54284841	0.00558436	2
LDHB	12	-	21635341	0.01	2
MAP3K12	12	-	53479668	0.00198282	3
MYL6	12	+	56161461	0.00176991	2
NACA	12	-	56712427,56712784	0.0112519,0.00754117	12,5
NELL2	12	-	44508274	0.00455235	3
POC1B	12	-	89421153	2.82052e-05	2
RPL41	12	+	56117822	0.265101	79
RPLP0	12	-	120196685	0.00482282	12
TMBIM4	12	-	66135845,66160081	4.44827e-05,0.00144929	1,13
CARS2	13	-	110641586	0.000780336	2
RPL21	13	+	27256331,27256532	0.145315,0.0793285	22,17
AL928654.3	14	+	105488722	0.0634931	4
CCNB1IP1	14	-	20311682	0.000729395	3
CRIP1	14	+	105488722	0.0634931	4
IFT43	14	+	75986269	0.040404	4
IRF9	14	+	24163361	0.0131926	5
PIGH	14	-	67589310	0.000438116	2
PNN	14	+	39181990	0.015748	2
RPS29	14	-	49583571	0.0421053	4
ZFP36L1	14	-	68787659	0.00106082	3
AC245033.1	15	-	82536787,82538220,82538794	0.00562742,0.000422801,0.000159035	12,6,2
DUT	15	+	48341583	0.0410711	2
RPL4	15	-	66498014	0.00215517	3
RPS17	15	-	82536749,82538182,82538756	0.000697868,0.118693,0.00715823	1,14,4
SERF2	15	+	43793942	0.0236686	4
WDR61	15	-	78283234	0.0101523	1
ALDOA	16	+	30070310	0.0618557	12
CIAO2B	16	-	66932054	0.000948317	2
CORO1A	16	+	30189047	0.0361446	3
COX4I1	16	+	85806805	0.00660066	2
FAM234A	16	+	266122	0.00181818	2
IL32	16	+	3069426	0.0422535	3
RPL13	16	+	89562389,89563032,89563371	0.116807,0.263701,0.032342	14,72,18
RPS2	16	-	1962051,1962160,1962484	0.0642773,0.218483,0.00710739	13,37,8
XPO6	16	-	28097978	0.00357782	2
AC120057.2	17	-	7240426	0.00800641	10
ACTG1	17	-	81509970	0.0139082	10
CD7	17	-	82314867	0.00157109	2
CYTH1	17	-	78674047	5.84795e-05	2
DDX42	17	+	63813289	0.000234009	3
DDX5	17	-	64499615	0.00215983	10
EIF1	17	+	41691128	0.0165563	5
EIF4A1	17	+	7578754	0.0223881	6
H3F3B	17	-	75776433	0.00128776	2
MAP3K3	17	+	63696302	9.14537e-05	4
METTL23	17	+	76733687,76733847	0.0398551,0.0559006	10,9
NAT9	17	-	74770546	0.00110926	2
NME1-NME2	17	+	51171700	0.0207254	4
NME2	17	+	51171700	0.0207254	4
OVCA2	17	+	2043310	0.0436893	9
PSMC5	17	+	63831989	0.00144578	3
RAB5C	17	-	42124975	0.00247831	2
RPL19	17	+	39204694	0.0434783	2
RPL26	17	-	8377515,8379743	0.198413,0.0993589	25,92
SOCS3	17	-	78356777	0.00365854	6
SRSF2	17	-	76734114	0.000977517	2
STRADA	17	-	63682335	0.000130668	4
TOB1	17	-	50862222	0.00264201	2
MYL12A	18	+	3256127	0.0239234	5
AC008763.3	19	+	7682622	0.0451128	6
AC020915.5	19	+	58274788	0.000281652	7
AES	19	-	3052909	0.00211416	2
CEP89	19	-	32875924	4.91087e-05	3
COX6B1	19	+	35658727	0.017094	2
DHPS	19	-	12675716	0.000467508	2
DNAJB1	19	-	14514769	0.00254383	2
EEF2	19	-	3976055	0.0200803	10
FTL	19	+	48966818	0.0240964	2
GADD45B	19	+	2477560	0.00608519	3
JUNB	19	+	12793258	0.00451467	1
KLF2	19	+	16327872	0.0116959	10
MAP4K1	19	-	38587640	0.0177515	3
MYDGF	19	-	4657544	0.00869565	4
NDUFA13	19	+	19528163	0.00465693	8
NFKBID	19	-	35887652	0.000987492	3
PGLS	19	+	17521242	0.0248447	3
PPP6R1	19	-	55229779	0.0026738	1
PRDX2	19	-	12796819	0.00949367	3
RAVER1	19	-	10316211	0.00241546	3
RPL18	19	-	48615327,48615874	0.0588235,0.128657	7,29
RPL28	19	+	55388048,55388367	0.260461,0.0793703	9,11
RPL36	19	+	5691664	0.0444444	6
RPS11	19	+	49498046,49499600	0.0278636,0.0883918	3,18
RPS15	19	+	1440462	0.0629371	9
RPS16	19	-	39433206,39433313	0.0463752,0.0338141	14,6
RPS19	19	+	41869190	0.00549972	29
RPS28	19	+	8322091,8322482	0.212251,0.0377368	3,8
RPS9	19	+	54207581,54207519	0.118263,0.0220126	21,21
SNRPD2	19	-	45687453	0.00816327	2
TRAPPC6A	19	-	45162927	0.00289662	2
UBA52	19	+	18575241	0.021978	2
ZNF331	19	+	53578276	0.0154321	5
ARPC2	2	+	218254052	0.0145985	2
CALM2	2	-	47160081	0.00170746	3
OST4	2	-	27070471	0.00339093	2
PCBP1	2	+	70088995	0.0165746	3
PTMA	2	+	231711982,231713385	0.081312,0.00284287	8,4
RPL31	2	+	101006401	0.00189484	4
RPL37A	2	+	216500032,216501468	0.162162,0.0390625	12,5
TMSB10	2	+	84906670	0.0931174	23
CEBPB	20	+	50192432	0.00831025	3
LIME1	20	+	63739103,63738609	0.0591133,0.0387597	12,5
RPS21	20	+	62388361,62388517	0.099622,0.0456487	20,10
STMN3	20	-	63639704	0.00122474	2
TMX4	20	-	7987309,7987437	0.000218863,5.88865e-05	6,1
SUMO3	21	-	44805616	0.00149925	2
U2AF1	21	-	43092955	0.000261335	1
U2AF1L5	21	-	6484622	0.000652401	5
AP000350.4	22	+	23895158	0.0215054	2
EIF3L	22	+	37888540	0.030303	3
SERHL2	22	+	42574380	0.000168209	3
ARF4	3	-	57571362,57574065,57576788	0.000547901,0.000705431,0.000147972	6,7,1
FXR1	3	+	180927746	0.0222222	2
GPX1	3	-	49357170	0.00986436	8
RPL24	3	-	101681091	0.0229885	2
RPL29	3	-	51993521	0.0236184	33
RPL35A	3	+	197954145,197955849	0.00848057,0.0576923	23,6
RPSA	3	+	39412406	0.0526316	2
UMPS	3	+	124731757	0.00966184	2
LEF1	4	-	108047544	0.000124347	2
N4BP2	4	+	40115042,40155135,40155458,40158249	0.000136548,2.53676e-05,3.41448e-05,0.00021799	2,1,1,12
RPL34	4	+	108625255	0.0465116	2
RPS3A	4	+	151104287,151104586,151104238	0.247905,0.147856,0.114918	11,24,29
AC008695.1	5	-	131425890	0.00363636	5
BTF3	5	+	73505402	0.054878	9
HNRNPH1	5	-	179614177	0.000257301	2
KDM3B	5	+	138437026	9.86777e-05	5
