C1orf162	1	+	111478350	0.00881057	2
CD247	1	-	167430639	0.012488	13
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320476	0.0287356	5
COP1	1	-	175944830	7.79685e-06	2
DDOST	1	-	20651766	0.00490196	3
DUSP10	1	-	221701423	0.00103842	5
ENO1	1	-	8860999	0.000850943	6
FCER1G	1	+	161219141	0.020202	4
FCGR3A	1	-	161541758	0.00399042	5
GUK1	1	+	228148828	0.0229008	3
H3F3A	1	+	226071919	0.0113636	5
JUN	1	-	58780787	0.003885	5
LAPTM5	1	-	30732468	0.00147167	2
MCL1	1	-	150574550	0.00106232	3
RPA2	1	-	27891523	0.00312989	2
RPS27	1	+	153991675,153992154	0.21,0.076087	21,7
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0273973	4
SDF4	1	-	1216907	0.00116754	2
SH3BGRL3	1	+	26281340	0.0634474	17
SH3GLB1	1	+	86743441	0.00970874	1
SYF2	1	-	25222678	0.00340716	2
TRAF3IP3	1	+	209782095	0.00280505	2
UBXN11	1	-	26281327	0.0102987	10
ZC3H11A	1	+	203834029	0.0327869	2
ZNF692	1	-	248850005	0.000250063	2
AKR1C3	10	+	5107617	0.0175439	2
NDUFB8	10	-	100523936	0.000367715	2
PRF1	10	-	70597347	0.0184397	13
RPS24	10	+	78040694	0.000734214	2
WASHC2A	10	+	50087297	0.00111794	2
ATP5MG	11	+	118409113	0.00229465	4
CCDC73	11	-	32602245	0.00530973	3
CD44	11	+	35187720	0.00341297	3
CORO1B	11	-	67435509	0.00305694	16
COX8A	11	+	63976421	0.019802	2
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.00232558	5
CTSW	11	+	65883671	0.0852714	13
FAU	11	-	65120627	0.0183916	15
H2AFX	11	-	119093853	0.00360685	4
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315268	0.264516	41
IFITM2	11	+	309266,315268	0.0275042,0.264516	6,41
LTBP3	11	-	65538804	0.000128601	2
PPP1CA	11	-	67398182	0.00852273	3
PTPRCAP	11	-	67435509	0.0627803	14
RARRES3	11	+	63546355	0.030303	3
RPL27A	11	+	8685601	0.00355654	5
RPS25	11	-	119015711,119017354	0.00305002,0.0192642	6,11
ZDHHC24	11	-	66535897	0.000550812	2
ARHGAP9	12	-	57472254	0.00144823	1
ARHGDIB	12	-	14942016	0.0118812	6
ARPC3	12	-	110434824	0.0121212	4
BIN2	12	-	51281037	0.00650759	3
BLOC1S1	12	+	55719637	0.0056926	3
BLOC1S1-RDH5	12	+	55719637	0.0056926	3
CD69	12	-	9752485	0.0100503	10
DYNLL1	12	+	120498279	0.0202703	3
HNRNPA1	12	+	54287086	0.00216372	6
IFNG	12	-	68154767	0.00854701	5
ITGB7	12	-	53191317	0.00179695	2
KLRC1	12	-	10446027	0.0114723	6
KLRC2	12	-	10426853	0.000865454	6
KLRK1	12	-	10373184	0.000362384	2
MYL6	12	+	56161459	0.0259735	1
NACA	12	-	56712427,56712782	0.00505871,0.00146107	5,1
RPL41	12	+	56117828	0.134868	41
RPLP0	12	-	120196685	0.00218408	5
TMBIM4	12	-	66135845	5.97496e-05	2
TMBIM6	12	+	49764635	0.00115009	2
TUBA1A	12	-	49184795	0.00934579	1
ZNF641	12	-	48337179	0.000345244	2
ALOX5AP	13	+	30764265	0.0125786	2
HMGB1	13	-	30456703	0.000602531	3
LCP1	13	-	46125919	0.00179533	3
POLR1D	13	+	27623338	0.0227273	2
RPL21	13	+	27256486	0.00530035	6
AL136295.1	14	-	24189156	0.0116279	3
BATF	14	+	75546796	0.016	2
CALM1	14	+	90404982	0.00566038	3
GZMB	14	-	24630953,24631059	0.00850328,0.00164243	17,3
HSP90AA1	14	-	102082664,102085918	0.0010791,0.00537634	2,2
PSME1	14	+	24138919	0.0157344	6
RTRAF	14	+	52004563	0.012987	2
SLC38A6	14	+	61000511	0.000105197	1
TM9SF1	14	-	24189142	0.00224048	3
B2M	15	+	44716681	0.00172563	2
C15orf38-AP3S2	15	-	89834307	0.006628	8
CCPG1	15	-	55340031	0.00643087	2
HYPK	15	+	43801796	0.0138889	3
RAB27A	15	-	55202965	0.00156093	3
SERF2	15	+	43793956	0.0382514	7
ST20-MTHFS	15	-	79845149	0.05	3
AC135050.2	16	-	31083438	0.000259909	1
ALDOA	16	+	30070288	0.0755814	13
ATP6V0C	16	+	2520046	0.0431894	13
EDC4	16	+	67884300	0.0328947	5
IL32	16	+	3069411	0.0357143	2
PRSS53	16	-	31083424	0.00547945	2
RPL13	16	+	89562392,89563261	0.0874855,0.0343958	11,15
SEPT1	16	-	30378132	0.000480538	2
AC087289.3	17	-	75898644	0.000274098	3
AC120057.2	17	-	7240426	0.00640512	7
ACTG1	17	-	81509970	0.0347446	24
AMZ2	17	+	68251271	0.0162162	3
ARHGDIA	17	-	81867720	0.0017316	2
CCL4	17	+	36105605	0.114094	34
CCL5	17	-	35871490	0.0067635	5
CD7	17	-	82314867	0.00471328	6
CENPX	17	-	82018701	0.00397614	1
CRLF3	17	-	30782683	0.000489831	6
DDX5	17	-	64499615	0.0012959	6
EIF1	17	+	41691216	0.00769231	3
EIF4A1	17	+	7578579	0.0322581	3
EVI2A	17	-	31317559	0.00538358	4
EVI2B	17	-	31303765	0.00402414	2
MRPL38	17	-	75898642	0.0144928	3
NME1-NME2	17	+	51171649	0.140845	20
NME2	17	+	51171649	0.140845	20
PFN1	17	-	4945651	0.0483871	12
RPL26	17	-	8377515,8379761	0.0763889,0.0479299	11,43
SRSF2	17	-	76734114	0.00244379	5
UBB	17	+	16382740	0.020979	3
KATNAL2	18	+	47084542	0.0612245	9
MYL12A	18	+	3256211	0.0273038	8
MYL12B	18	+	3278165	0.00877193	2
RNF125	18	+	32053277,32054205,32058738,32058970	0.000917287,0.000306953,0.0009894,0.00239457	5,1,10,26
SMAD7	18	-	48919852	0.00131666	2
AC011462.1	19	+	41424745	0.0218978	3
BCKDHA	19	+	41424745	0.0218978	3
COPE	19	-	18899513	0.0121212	2
EEF2	19	-	3976055	0.0100402	5
FTL	19	+	48966830	0.0315789	3
GMFG	19	-	39328352	0.0016116	2
GZMM	19	+	549867	0.0394737	3
HCST	19	+	35904262	0.0294118	3
JUND	19	-	18279759	0.0161527	11
LDLR	19	+	11133816	0.0008	2
MAP4K1	19	-	38587640	0.0177515	3
MOB3A	19	-	2071037	0.000848536	2
MYO1F	19	-	8540318	0.00126342	1
NKG7	19	-	51371605	0.140271	31
PKN1	19	+	14471606	0.00429108	3
RPL18	19	-	48615327,48615759	0.00246374,0.00833582	3,8
RPL28	19	+	55388045,55388329	0.1068,0.0181839	3,4
RPL36	19	+	5691632	0.0163934	2
RPS11	19	+	49498043,49499661	0.0434773,0.0384985	5,8
RPS15	19	+	1440430	0.045045	5
RPS16	19	-	39433206	0.029316	9
RPS19	19	+	41869189	0.00322458	17
RPS28	19	+	8322356	0.0106762	3
RPS9	19	+	54207638,54207522	0.0489598,0.0104493	11,10
TRIR	19	-	12730639	0.00464576	4
TYROBP	19	-	35904400	0.000633112	2
UBE2M	19	-	58555711	0.0106101	4
AAMP	2	-	218264122	0.00487805	2
ARPC2	2	+	218254236	0.0186916	5
BCL2L11	2	+	111130413	0.0224719	4
CALM2	2	-	47160081	0.0011383	2
CIAO1	2	+	96271491	0.0142857	2
DUSP2	2	-	96143165	0.00761035	5
GNLY	2	+	85698837	0.114068	30
ILKAP	2	-	238170400	0.000219796	3
PCBP1	2	+	70088979	0.0242424	4
PECR	2	-	215996328	3.62536e-05	2
PLEK	2	+	68396165	0.00573066	2
PTMA	2	+	231713173	0.0033743	5
RPL37A	2	+	216500031,216501504	0.0527528,0.00203688	3,3
TMSB10	2	+	84906670	0.105263	26
VAMP5	2	+	85593298	0.0212766	3
WBP1	2	+	74460766	0.0117647	1
YWHAQ	2	-	9583971	0.00152207	2
ZFP36L2	2	-	43222401	0.00156495	3
ADA	20	-	44619521	0.000563857	2
APMAP	20	-	24962924	0.00337838	3
CST7	20	+	24959879	0.0359281	6
DYNLRB1	20	+	34540894	0.0111111	3
FKBP1A	20	-	1368977	0.00159541	5
LIME1	20	+	63738993	0.0645161	6
NDRG3	20	-	36651765	0.00114025	2
PPDPF	20	+	63522041	0.0246914	4
RGS19	20	-	64073180	0.00297619	2
RPS21	20	+	62388307,62388441	0.0045604,0.00663238	2,4
ITGB2	21	-	44885952	0.000378842	8
AP000350.4	22	+	23895127	0.0322581	2
APOBEC3G	22	+	39087676	0.0235294	6
HDAC10	22	-	50245182	0.0016032	7
IL2RB	22	-	37125837	0.00088574	2
RAC2	22	-	37225260	0.00495751	7
SGSM3	22	+	40409886	0.0349345	8
SUN2	22	-	38734724	0.00194553	3
TXN2	22	-	36467035	0.00390625	3
YPEL1	22	-	21697543	0.00055788	2
EOMES	3	-	27715948	0.00178412	2
GPX1	3	-	49357170	0.0123207	9
HCLS1	3	-	121631398	0.00894855	4
IL17RC	3	+	9933621,9933620	0.000404392,0.000404443	6,6
NFKBIZ	3	+	101859457	0.0232558	2
RPL15	3	+	23919591	0.0222222	2
RPL29	3	-	51993521	0.00555942	8
RPL35A	3	+	197955815	0.0294096	7
SEC62	3	+	169976916,169982692	0.00116293,0.000352066	1,2
SENP7	3	-	101347325	0.00706714	2
SERP1	3	-	150545396	0.0131004	3
THOC7	3	-	63833869	0.00763359	2
USP4	3	-	49277830	0.00324675	2
FGFBP2	4	-	15960242	0.000902935	1
HOPX	4	-	56647987	0.00876095	7
LYAR	4	-	4267700	0.0106383	2
MFSD10	4	-	2930560	0.000774593	2
RPL34	4	+	108625254	0.047619	2
RPS3A	4	+	151104284,151104628,151104102	0.0994551,0.0116305,0.0718996	4,4,8
SPON2	4	-	1166931	0.00555556	3
WDR1	4	-	10074338	0.00192493	2
DUSP1	5	-	172768089	0.0207912	13
MATR3	5	+	139329508	0.0133333	2
RACK1	5	-	181236908	0.000866214	5
SQSTM1	5	+	179822352	0.0318471	25
ABRACL	6	+	139043060	0.0127389	2
CCND3	6	-	41934932	0.00496524	5
COX7A2	6	-	75237674	0.00170017	5
DEF6	6	+	35321623	0.0375587	8
EEF1A1	6	-	73517536	0.129266	48
HLA-A	6	+	29945841	0.0751295	29
HLA-B	6	-	31353871	0.0654661	39
HLA-C	6	-	31268748	0.0144497	36
HSP90AB1	6	+	44253793	0.0102564	2
PPP1R18	6	-	30676388	0.00227273	2
SAMD3	6	-	130144314	0.0097561	2
SRSF3	6	+	36598667	0.0382166	6
AC004922.1	7	+	99394653	0.131182	28
AC021097.2	7	-	151207836	0.017094	4
AC093668.2	7	-	102483343	0.000139894	3
ACTB	7	-	5527146,5527288	0.0265219,0.00208511	50,3
ARF5	7	+	127591501	0.049505	10
ARPC1B	7	+	99394605,99394723	0.127172,0.0340092	20,9
CHCHD2	7	-	56101568	0.0141844	4
DAGLB	7	-	6412986	0.000338209	4
GUSB	7	-	65960683	0.000106276	2
MRPS24	7	-	43866557	0.0141844	2
MYO1G	7	-	44962661	0.000143246	2
RASA4B	7	-	102483138	0.0154525	7
TRBC1	7	+	142793225	0.0238095	2
URGCP-MRPS24	7	-	43866557	0.00123558	2
ZNF655	7	+	99564490	0.0015625	2
DOK2	8	-	21909614	0.00328947	4
MYOM2	8	+	2145214	0.0128755	3
PUF60	8	-	143816343	0.0113636	2
RPL30	8	-	98041720,98042641	0.046147,0.00335824	15,7
RPL8	8	-	144789765	0.00570374	8
SLA	8	-	133036723	0.00111111	2
ANXA1	9	+	73170320	0.0328638	7
ARPC5L	9	+	124877076	0.0147059	2
DCTN3	9	-	34613544	0.00374532	2
DPP7	9	-	137110541	0.000584795	2
EDF1	9	-	136862118	0.00593472	2
OSTF1	9	+	75147005	0.0113636	3
PHPT1	9	+	136850900	0.018018	2
RPL35	9	-	124857879	0.00848896	5
SMIM27	9	+	32552821	0.018018	2
STOM	9	-	121338987	0.000903342	2
TLE4	9	+	79601569,79602844	0.0325978,0.00470681	4,6
TUBB4B	9	+	137243643	0.0229885	2
RBMX	X	-	136877915	0.00161551	2
RPL36A	X	+	101395386	0.00121175	4
RPL39	X	-	119786505	0.0561798	10
TMSB4X	X	+	12977150	0.126844	43
TSC22D3	X	-	107713220	0.00231125	3
