AC114490.2	1	-	34981532	0.00418585	9
AC118553.2	1	+	100024059	8.06712e-05	2
AL713999.1	1	-	155169408	0.00205134	8
APH1A	1	-	150265398	0.00356189	4
ARHGAP30	1	-	161048789	0.000175778	2
ATP1A1	1	+	116404614	0.0176471	3
BTG2	1	+	203307588	0.02	3
C1orf162	1	+	111478433	0.00645161	2
C1orf74	1	-	209779207	0.000552944	2
CCT3	1	-	156308967	0.000106614	3
CD244	1	-	160830159	0.000790514	2
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320505	0.103448	21
CEP170	1	-	243124427	0.000989609	2
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.00027725	4
DDOST	1	-	20651766	0.00653595	4
DR1	1	+	93360841	0.00990099	2
ENO1	1	-	8860999	0.00113459	8
ETV3	1	-	157133144	0.00427807	4
FCER1G	1	+	161219209	0.12406	33
FCGR3A	1	-	161541758	0.00159617	2
GNB1	1	-	1785284	0.00244379	5
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148840	0.027972	4
HIST2H2AA3	1	-	149842187	0.0254237	3
HIST2H2AA4	1	+	149851620	0.0263158	3
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00588668	8
MAP7D1	1	+	36180773	0.0116505	6
MCL1	1	-	150574550	0.00106232	3
MIIP	1	+	12031930	0.0163934	2
MINOS1	1	+	19626552	0.0596026	9
MNDA	1	+	158849402	0.0363636	6
MRPL20	1	-	1401907	0.0114286	2
NADK	1	-	1751231	0.00119617	2
NBPF14	1	-	148531384	4.35284e-05	2
NCF2	1	-	183555562	0.0126126	7
NDUFS5	1	+	39034548	0.0384615	2
PABPC4	1	-	39560815	0.00453515	4
PARK7	1	+	7985215	0.0372671	6
PEF1	1	-	31629861	0.00266312	2
PHC2	1	-	33323622	0.00161031	2
PMVK	1	-	154924733	0.00506329	2
PRDX1	1	-	45511035	0.0136519	4
PTP4A2	1	-	31906420	0.000674673	5
RAB29	1	-	205767985	0.000698324	2
RAP1A	1	+	111713005,111716689	0.000365004,0.000486173	1,3
RER1	1	+	2403359	0.00373749	3
RHOC	1	-	112701105	0.00390117	9
RPL11	1	+	23695232	0.00091631	3
RPS27	1	+	153991676,153992135	0.17606,0.0556393	17,8
RUNX3	1	-	24899510	0.00076599	2
S100A10	1	-	151982914	0.0725806	18
S100A11	1	-	152032505	0.0705128	11
S100A4	1	-	153543612	0.136986	20
S100A6	1	-	153534598	0.0515464	5
S100A9	1	+	153360916,153361021	0.15743,0.0476528	12,8
SARS	1	+	109238036	0.0202703	3
