AL713999.1	1	-	155169408	0.00123514	4
CDC14A	1	+	100392671	0.00158479	3
DDOST	1	-	20651766	0.00326797	2
GJA9-MYCBP	1	-	38864502	0.000544484	5
MINOS1	1	+	19626540	0.0215827	3
CD44	11	+	35187676	0.00359281	3
APOLD1	12	+	12726537	0.0186916	3
PWP1	12	+	107696556	0.000564016	2
AL928654.3	14	+	105488850	0.00872813	2
CRIP1	14	+	105488850	0.00872813	2
DEGS2	14	-	100143956	0.00069735	2
NPIPB4	16	-	21837623	0.000138956	2
RPS2	16	-	1962051	0.0017762	3
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7578541	0.0363636	2
GSDMB	17	-	39904594	0.0138249	3
QRICH2	17	-	76274048	0.000562254	9
RAB5C	17	-	42124975	0.00371747	3
STAT5B	17	-	42199167	0.00077821	2
RPL18	19	-	48615327	0.00139665	2
SIPA1L3	19	+	38107974	0.00130378	2
KANSL1L	2	-	210023121	0.00095648	2
LRP2	2	-	169127108	7.31074e-05	1
HM13	20	+	31554639	0.000122617	2
KIZ	20	+	21136391	0.000465983	2
LIME1	20	+	63739019	0.0756303	9
ABHD5	3	+	43695199	0.013986	2
DUSP1	5	-	172768089	0.00297619	2
C6orf62	6	-	24704860	0.0015674	2
LTB	6	-	31580554	0.00298805	3
RPS10	6	-	34417453	0.00274348	1
COG5	7	-	107201554	0.00101989	2
NDUFB2	7	+	140703246	0.000580833	2
FBXO16	8	-	28348286	0.000236425	3
TMSB4X	X	+	12976991	0.0166667	3
