ADAR	1	-	154582056	0.000255004	2
AKR7A2	1	-	19303964	0.00647249	2
AL713999.1	1	-	155169408	0.00196185	7
ATF6	1	+	161964067	0.000369481	2
ATP5IF1	1	+	28238104	0.00121359	1
ATP5PB	1	+	111461084	0.0222222	2
ATP6V0B	1	+	43978139	0.0306615	4
C1orf162	1	+	111478378	0.00784314	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320476	0.0517241	9
CDA	1	+	20618773	0.0146341	3
CSF3R	1	-	36466042	0.00955414	3
CTSS	1	-	150730195	0.000449128	7
DDOST	1	-	20651766	0.00816993	5
DPYD	1	-	97077742	0.00162206	2
EMC1	1	-	19215663	0.000824402	3
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219242	0.0334448	10
FOXJ3	1	-	42176538	0.000630716	2
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148866	0.0236686	4
HIST2H2AA3	1	-	149842187	0.059322	7
HIST2H2AA4	1	+	149851623	0.034188	4
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.0103017	14
MCL1	1	-	150574550	0.00389518	11
MNDA	1	+	158849450	0.0422535	9
NBPF14	1	-	148531384	4.35284e-05	2
NCF2	1	-	183555562	0.00720721	4
NDUFS2	1	+	161214265	0.00617284	2
PPP1R15B	1	-	204403386	0.000739372	2
PTGS2	1	-	186671790	0.00312256	8
RPS27	1	+	153991677,153992145	0.160514,0.0494497	16,8
S100A10	1	-	151982914	0.0403226	10
S100A11	1	-	152032505	0.0512821	8
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0616438	9
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.15493	11
S100A9	1	+	153360905,153361026	1.42094,0.429772	95,80
SRM	1	-	11054588	0.00699301	2
SSR2	1	-	156009047	0.000294551	3
SSU72	1	-	1541672	0.00508906	2
TAGLN2	1	-	159918106	0.002886	2
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00823893	8
UQCRH	1	+	46316703	0.000709859	4
GDI2	10	-	5765222	0.00235849	2
GLUD1	10	-	87050485	0.00158103	2
NCOA4	10	-	46005087	0.000739098	3
NDST2	10	-	73801910	0.0148148	8
PSAP	10	-	71816297	0.00612423	7
RPS24	10	+	78040701	0.04545	4
SRGN	10	+	69104723	0.0165837	10
VIM	10	+	17237098	0.00117302	2
AHNAK	11	-	62515904	0.00476758	4
AP001931.1	11	+	57742892	0.00296296	2
AP002990.1	11	-	62559602	0.00418993	62
APLP2	11	+	130123144	0.00159828	3
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409041	0.0654182	10
BEST1	11	+	61964890,61965066	0.00467033,0.0492858	12,133
BSCL2	11	-	62690274	0.00356824	4
CASP1	11	-	105025442	0.00368098	3
CCDC73	11	-	32602245	0.00353982	2
CCDC88B	11	+	64357233	0.0143885	2
CHORDC1	11	-	90201159	0.00160643	2
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.000930233	2
EIF4G2	11	-	10797049	0.00522193	4
FAU	11	-	65120627,65120977	0.079096,0.0214008	14,11
FERMT3	11	+	64223593	0.029703	3
FTH1	11	-	61964284,61964662	0.0319578,0.12206	40,106
HNRNPUL2-BSCL2	11	-	62690274	0.000235682	4
LAMTOR1	11	-	72097291	0.00362319	4
MPEG1	11	-	59208509	0.00181406	4
PICALM	11	-	85957683	6.17846e-05	3
PPP1CA	11	-	67398182	0.00568182	2
PTPMT1	11	+	47571765	0.0300242	10
RHOG	11	-	3826977	0.0034188	2
RNH1	11	-	494511	0.00096463	6
RPL27A	11	+	8684752,8685703	0.00354434,0.0359129	2,10
RPS25	11	-	119015711,119017351	0.0256981,0.00430294	20,2
SELENOH	11	+	57742892	0.00296296	2
SPI1	11	-	47354859	0.00641026	4
STARD10	11	-	72755328	0.0112994	2
TALDO1	11	+	764432,764998	0.082026,0.0425543	1,7
TPP1	11	-	6612762	0.000622181	4
UNC93B1	11	-	67991103	0.00452489	2
AC078927.1	12	-	66123916	0.000282287	4
ARHGDIB	12	-	14942016	0.00987745	4
ARPC3	12	-	110434824	0.00606061	2
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0202703	3
C12orf76	12	-	110041159	0.000610501	2
CAMKK2	12	-	121243587	0.00373134	2
CHD4	12	-	6570081	9.9965e-05	2
CLEC4A	12	+	8138447	0.0125	2
COX14	12	+	50120352	0.0222222	3
COX6A1	12	+	120440726	0.021164	4
DDX23	12	-	48829763	0.00283688	2
DDX47	12	+	12829780	0.0132743	3
DYNLL1	12	+	120498302	0.0116959	2
GAPDH	12	+	6538290	0.125	15
IRAK3	12	+	66198062	0.00193424	2
LLPH	12	-	66116554	0.000274537	2
LTA4H	12	-	96000827	0.000283573	6
LYZ	12	+	69354097,69354212	0.00708779,0.156875	6,155
MGST1	12	+	16364080	0.00369004	1
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161478,56162499	0.0434766,0.0169492	3,3
NACA	12	-	56712427,56712777	0.0338983,0.0528533	4,32
NDUFA12	12	-	94971331	7.81311e-05	2
NFE2	12	-	54292110	0.00760456	2
NR4A1	12	+	52059507	0.00886821	4
RPL41	12	+	56117810	0.230769	66
RPLP0	12	-	120196685,120197270	0.06,0.00332384	12,7
SLC2A3	12	-	7919229	0.00137426	3
SRSF9	12	-	120461667	0.000636132	2
TFCP2	12	-	51093662	0.00126743	1
TMBIM4	12	-	66135845	0.000261799	8
TUBA1A	12	-	49184795	0.00934579	1
ZNF385A	12	-	54369132	0.00120773	3
LCP1	13	-	46125919	0.00239378	4
RGCC	13	+	41470810	0.0553846	18
RPL21	13	+	27256334,27256663	0.118475,0.0262252	18,9
AL928654.3	14	+	105488788	0.0312504	4
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90405459,90408261	0.00183231,0.0010908	1,4
CRIP1	14	+	105488788	0.0312504	4
DAD1	14	-	22564904	0.000511239	5
ERH	14	-	69380122	0.00481928	2
FOS	14	+	75282227	0.129514	103
LGALS3	14	+	55145352	0.037037	3
NEDD8	14	-	24216851	0.00391543	5
NFKBIA	14	-	35401510	0.0125765	22
PSMC1	14	+	90272541	0.0223881	3
PSME2	14	-	24143364	0.00199208	4
RPS29	14	-	49583571	0.0421053	4
SLC7A7	14	-	22773221	0.000877193	2
TTC7B	14	-	90524563	2.57825e-05	2
TTLL5	14	+	75820681	0.0289855	2
AC245033.1	15	-	82536787,82538305	0.0526442,0.000499122	14,7
AKAP13	15	+	85749358	0.000640889	3
BCL2A1	15	-	79960888	0.00740741	2
NOP10	15	-	34341712	0.0106762	3
PKM	15	-	72199028	0.000526593	5
PPIB	15	-	64155811	0.0189573	4
RPLP1	15	+	69455593	0.0116279	1
RPS17	15	-	82536749,82538267	0.0526316,0.0313365	5,17
SEC11A	15	-	84669537	0.000516049	5
SERF2	15	+	43793982	0.062201	13
ALDOA	16	+	30070410	0.159864	47
ATP6V0C	16	+	2519966	0.113122	25
CIAO2B	16	-	66932054	0.00187016	3
CKLF	16	+	66566059	0.00125661	3
CKLF-CMTM1	16	+	66566059	0.00125661	3
COTL1	16	-	84565593	0.0159704	19
COX4I1	16	+	85806804	0.00993377	3
EIF3C	16	+	28735574	0.0327869	2
FAM173A	16	+	722291	0.021978	2
METTL9	16	+	21657473	0.00293974	6
MRPS34	16	-	1771889	0.0060423	2
MSRB1	16	-	1938209	0.00130067	3
NDUFAB1	16	-	23581001	0.000137174	2
NPRL3	16	-	85385	5.04859e-05	2
PHKB	16	+	47587498,47587730	4.51113e-05,0.000113317	1,2
PLCG2	16	+	81958093	0.0150376	2
PSMB10	16	-	67934501	0.015873	2
ROGDI	16	-	4796967	0.000476872	2
RPL13	16	+	89562950,89563207	0.265538,0.0360304	51,11
RPS2	16	-	1962051,1962465	0.201058,0.0243123	38,30
VKORC1	16	-	31090841	0.0149573	7
AC026954.2	17	-	7312660	0.00104239	3
AC087289.3	17	-	75898644	0.000182732	2
AC120057.2	17	-	7240426	0.0240024	29
ACTG1	17	-	81509970	0.0263908	18
ARHGDIA	17	-	81867720	0.0034632	4
ARRB2	17	+	4721498	0.00229885	2
ASGR2	17	-	7101321	0.00790514	1
CD300E	17	-	74609886	0.0010846	3
CENPX	17	-	82018701	0.00397614	1
DDX5	17	-	64499615	0.00302376	14
EIF1	17	+	41691301	0.0315789	15
EIF4A1	17	+	7578803	0.0157729	5
EVI2B	17	-	31303765	0.00603622	3
FLOT2	17	-	28879334	0.000519076	1
GPS2	17	-	7312659	0.00990099	3
GRB2	17	-	75318075	0.000867303	2
GRN	17	+	44352927	0.0363636	10
KIAA0100	17	-	28614439	0.00320513	2
MRPL38	17	-	75898642	0.00966184	2
NME1-NME2	17	+	51171644,51171744	0.17697,0.020064	24,4
NME2	17	+	51171644,51171744	0.17697,0.020064	24,4
P2RX5-TAX1BP3	17	-	3663062	0.000745395	7
PFN1	17	-	4945651	0.0241935	6
PITPNA	17	-	1517717	9.42196e-05	2
PSMC3IP	17	-	42572314	0.0004111	2
RPL19	17	+	39204730	0.0365854	3
RPL26	17	-	8377515,8379789	0.180233,0.0719101	30,64
SAT2	17	-	7626233	0.00176367	2
SLC38A10	17	-	81244999	0.00359712	2
STX8	17	-	9250470	2.88527e-05	7
TAX1BP3	17	-	3662895	0.00821596	7
TOB1	17	-	50862222	0.00264201	2
TRAPPC1	17	-	7930344	0.00258065	2
TVP23C	17	-	15536979	0.000196715	2
MALT1	18	+	58710564	0.011194	6
RAB31	18	+	9723775,9725574	0.0206772,0.00945207	4,18
AC008763.3	19	+	7682677	0.0744681	14
AC008878.2	19	+	7533949	0.0251572	4
AC010616.2	19	-	41956878	0.00146341	3
AD000671.2	19	-	35739251	0.000585823	3
AP2S1	19	-	46838135	0.00643087	2
ASNA1	19	+	12748222	0.0169492	2
BTBD2	19	-	1985437	0.00190476	2
CAPNS1	19	+	36150352	0.00379507	2
CD33	19	+	51239889	0.0199005	4
CFD	19	+	863353	0.0173913	2
CLEC11A	19	+	50725497	0.0206186	2
COPE	19	-	18899513,18899890	0.0121212,0.000591366	2,2
COX6B1	19	+	35658758	0.027027	4
DDX49	19	+	18921361	0.0127904	8
EEF2	19	-	3976055	0.0281124	14
FKBP8	19	-	18531750	0.000261438	2
FTL	19	+	48966878	0.132867	19
GPX4	19	+	1106699	0.0457516	6
HNRNPL	19	-	38836387	0.00114591	6
