AC114490.2	1	-	34981532	0.00167434	4
ATP1A1	1	+	116404542	0.0204082	1
ATP5PB	1	+	111461091	0.0206186	2
CD52	1	+	26320423	0.0495868	6
CTSS	1	-	150730195	0.000452719	8
ENO1	1	-	8860999	0.000567295	4
LYST	1	-	235661040	1.56529e-05	1
MCL1	1	-	150574550	0.00141643	4
MINOS1	1	+	19626505	0.0384615	4
MNDA	1	+	158849467	0.0217391	5
PPOX	1	+	161170682	0.0232558	5
PRDX1	1	-	45511035	0.00682594	2
PTGS2	1	-	186671790	0.00117096	3
RPS27	1	+	153992127	0.0126812	7
S100A10	1	-	151982914	0.0322581	8
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0479452	7
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.028169	2
S100A9	1	+	153361022	0.152174	28
SDHB	1	-	17018721	0.0125786	2
TMEM35B	1	-	34981534	0.00977995	4
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00411946	4
PIK3AP1	10	-	96593311	0.000883002	2
PSAP	10	-	71816297	0.00612423	7
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040671	0.000740466	2
AHNAK	11	-	62515904	0.00238379	2
AP001931.1	11	+	57742895	0.00294985	2
AP002990.1	11	-	62559602	0.000131562	2
AP003419.1	11	-	67351571	0.0070922	3
ATP5MG	11	+	118409123	0.00148551	3
BRMS1	11	-	66337332	0.000542888	2
CARD16	11	-	105041522	0.000998502	2
COX8A	11	+	63976462	0.0140845	2
CTSD	11	-	1752751	0.0027907	6
EHBP1L1	11	+	65592416	0.0175439	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627	0.00674593	5
MPEG1	11	-	59208509	0.00181406	4
SELENOH	11	+	57742895	0.00294985	2
TALDO1	11	+	764917	0.0384542	4
ARHGDIB	12	-	14942016	0.0039604	2
CHPT1	12	+	101726497	0.0416588	2
GAPDH	12	+	6538340	0.0117647	2
GNS	12	-	64713444	0.000606796	1
HCAR3	12	-	122714755	0.00244499	2
LDHB	12	-	21635341	0.01	2
NACA	12	-	56712427	0.00885124	9
RPL41	12	+	56117810	0.0699301	20
SLC38A2	12	-	46358188	0.000220192	2
SYCP3	12	-	101728900	0.0769173	1
TNFRSF1A	12	-	6328756	0.000426167	1
TUBA1A	12	-	49184795	0.00934579	1
LCP1	13	-	46125919	0.00418911	6
AL132780.3	14	-	22946269	0.0431373	11
AL928654.3	14	+	105488745	0.0128205	3
CRIP1	14	+	105488745	0.0128205	3
HAUS4	14	-	22946227	0.037037	11
NEDD8	14	-	24216851	0.00156617	2
PABPN1	14	+	23325288	0.0434741	1
PSME1	14	+	24138822	0.0370122	4
RNASE6	14	+	20782276	0.016129	2
AC245033.1	15	-	82536787,82538234	0.000221537,0.00013913	3,2
NOP10	15	-	34341712	0.0213523	6
PLA2G4B	15	+	41848050	0.0473684	9
PPIB	15	-	64155811	0.00947867	2
