HIST2H4A	1	+	149837767	0.000419199	2
USP24	1	-	55071272	0.0372671	6
ANO9	11	-	418262	0.037037	4
CNOT2	12	+	70294293,70294293	0.025,0.025	4,4
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
LPAR6	13	-	48411044	0.00581395	2
MICU2	13	-	21492699	0.00364299	2
IRF9	14	+	24166320	0.0241935	3
USP3	15	+	63578287,63584249,63584569,63559882	2.6971e-05,7.61129e-05,0.000208759,0.000178234	1,4,11,5
SPG7	16	+	89513478	0.00401606	1
CYTH1	17	-	78674047,78678916	0.000201183,3.81692e-05	6,1
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7578626	0.107143	15
QRICH2	17	-	76274048	0.000747038	11
FOSB	19	+	45472052	0.00885827	9
KLF2	19	+	16327351	0.011976	4
LENG9	19	-	54461795	0.0102041	2
RPL28	19	+	55403240	0.0183486	2
AC068547.1	2	-	151802650	5.97059e-05	4
PTMA	2	+	231712346	0.00519547	4
RANBP2	2	+	108733117	0.0011236	2
ZFP36L2	2	-	43222401	0.0010433	2
DRG1	22	+	31423317,31520068,31528737	0.000677462,0.000635419,0.000121866	8,7,2
TACC3	4	+	1731391	0.0182927	3
ANKHD1	5	+	140539594	0.0113636	2
SQSTM1	5	+	179821981	0.0338164	13
HLA-A	6	+	29945604	0.0134228	2
TAB2	6	+	149411611	0.000157878	5
TRBC1	7	+	142793229	0.0340909	3
C9orf85	9	+	71982996	0.0243902	3
PSIP1	9	-	15470635	0.00301659	2
TLE4	9	+	79576384	0.0130719	2
CCNQ	X	-	153587918	0.000204499	2
DOCK11	X	+	118685723	0.0606061	12
TMSB4X	X	+	12976932	0.0165289	2
VAMP7	X	+	155898290	0.0482759	7
