ADAR	1	-	154582056	0.000382507	3
AL713999.1	1	-	155169408	0.000922453	3
APH1A	1	-	150265398	0.00178094	2
ATP1A1	1	+	116404526	0.0243902	2
C1orf162	1	+	111478295	0.0174419	3
CDC42SE1	1	-	151050970	0.000915751	3
CMPK1	1	+	47358454	0.0198675	3
ELOVL1	1	-	43363396	0.00385356	2
ENO1	1	-	8860999	0.000283648	2
GUK1	1	+	228148796	0.020202	2
IVNS1ABP	1	-	185296387	0.00182149	3
LAPTM5	1	-	30732468	0.00294334	4
MCL1	1	-	150574550	0.00283286	8
MEF2D	1	-	156463726	0.000128238	1
MTX1	1	+	155213783	0.0235294	2
NBPF14	1	-	148531384	6.52926e-05	3
NFYC	1	+	40770949	0.0165289	2
PABPC4	1	-	39560815	0.00340136	3
RABGGTB	1	+	75794764	0.0175439	2
RGS2	1	+	192812281	0.00729927	5
RPL5	1	+	92841924	0.0338983	2
RPS27	1	+	153991672	0.0721649	6
S100A4	1	-	153543612	0.0205479	3
S100A6	1	-	153534598	0.0206186	2
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.010101	7
UBXN11	1	-	26281327	0.0061792	6
UQCRH	1	+	46316565	0.000315906	2
ATP5F1C	10	+	7807717	0.0027137	1
GDI2	10	-	5765222	0.00353774	3
KIF5B	10	-	32009009	0.000460193	3
PSAP	10	-	71816297	0.0148731	17
RPS24	10	+	78040658	0.000744048	2
VSIR	10	-	71747558	0.000812128	3
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00203503	30
ATP5MG	11	+	118409129	0.00274725	6
C11orf98	11	-	62662815	0.0128205	3
CTSD	11	-	1752751	0.00232558	5
EHBP1L1	11	+	65592454	0.0131579	2
FAU	11	-	65120627,65120958	0.0443038,0.011257	7,6
LAMTOR1	11	-	72097291	0.00181159	2
LBHD1	11	-	62662816	0.00641026	2
PAK1	11	-	77321706	0.000135099	3
PPP1CA	11	-	67398182	0.00568182	2
PPP1R14B	11	-	64244479	0.0109489	3
RELA	11	-	65653595	0.000245339	1
RPS25	11	-	119015711,119017350	0.00305963,0.0139801	6,8
UCP2	11	-	73974666	0.00486618	2
ARF3	12	-	48935722	0.000620347	2
ARHGDIB	12	-	14942016	0.00990099	5
ATG101	12	+	52077299	0.0275229	3
ATP5F1B	12	-	56638178	0.0138889	2
BLOC1S1	12	+	55719531	0.00475059	2
BLOC1S1-RDH5	12	+	55719531	0.00475059	2
DYNLL1	12	+	120498359	0.0131579	3
GAPDH	12	+	6538276	0.0283019	3
HNRNPA1	12	+	54284849	0.00373134	2
MYL6	12	+	56161522	0.00419815	5
PTPN6	12	+	6961157	0.0102389	3
RPL41	12	+	56117790	0.101504	27
RPLP0	12	-	120196685	0.00553871	14
YBX3	12	-	10699088	0.00136426	3
ZNF385A	12	-	54369132	0.00161031	4
ARGLU1	13	-	106541672	0.000860956	2
CARS2	13	-	110641416	0.0166667	2
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256451	0.00455789	5
AL928654.3	14	+	105488781	0.0247936	3
ATP5MPL	14	-	103912287	0.00119332	2
CRIP1	14	+	105488720	0.0500018	3
DAD1	14	-	22564904	0.000195065	2
EAPP	14	-	34529355	0.000201147	2
NFKBIA	14	-	35401510	0.00164114	3
PSME1	14	+	24138819	0.00879765	3
PSME2	14	-	24143364	0.000802246	2
SNX6	14	-	34561093	4.11218e-05	2
AC245033.1	15	-	82536787	0.000778452	13
RPS17	15	-	82536749	0.00483666	12
SERF2	15	+	43793997	0.0178571	4
AC093525.2	16	+	2519400,2520167	0.107208,0.0104304	1,8
AC120114.4	16	+	29820022	0.00746269	2
ALDOA	16	+	30070322	0.0339806	7
ANKRD11	16	-	89267618	6.01726e-05	2
ATP6V0C	16	+	2519400,2519678	0.0747319,0.0428634	1,6
B3GNT9	16	-	67148104	0.00170648	2
COTL1	16	-	84565593	0.00959233	12
EDC4	16	+	67884350	0.019802	4
METTL26	16	-	634426	0.00416667	2
PAGR1	16	+	29820022	0.00746269	2
RNF166	16	-	88696494	0.0010929	2
RPL13	16	+	89562388,89563123	0.0753942,0.081988	9,25
RPS2	16	-	1962051,1962435	0.138365,0.00766284	22,10
SNX20	16	-	50671624	0.00112296	2
TPPP3	16	-	67389808	0.00547945	2
AC120057.2	17	-	7240426	0.0224115	27
ACTG1	17	-	81509970	0.0180807	13
ARHGDIA	17	-	81867720	0.0017316	2
C17orf49	17	+	7017001,7017435	0.0331727,0.0466506	2,10
CTDNEP1	17	-	7243590	0.003367	2
EIF1	17	+	41691396	0.00526316	3
EIF4A1	17	+	7578737	0.0239044	6
NME1-NME2	17	+	51171683	0.0795455	14
NME2	17	+	51171683	0.0795455	14
PER1	17	-	8144054	0.000763068	2
PFN1	17	-	4945651	0.0362903	9
RAB5C	17	-	42124975	0.00247831	2
RNASEK-C17orf49	17	+	7017448	0.0551181	7
RPL26	17	-	8377515,8379736	0.00495336,0.0236143	15,22
SRSF2	17	-	76734114	0.00146628	3
TOB1	17	-	50862222	0.00396301	3
WSB1	17	+	27312671	0.00993377	3
KDSR	18	-	63327725	5.1365e-05	2
AC007192.1	19	+	18178117	0.00853437	70
AC008763.3	19	+	7682670	0.0165746	3
AP2S1	19	-	46838135	0.0096463	3
CD33	19	+	51239785	0.0206186	2
CFD	19	+	863382	0.0138889	2
COX6B1	19	+	35658696	0.0232558	2
DUS3L	19	-	5785455	0.00148148	2
EEF2	19	-	3976055	0.0140562	7
ETHE1	19	-	43506718	9.85076e-05	2
FOSB	19	+	45471311	0.00727273	2
FTL	19	+	48966872	0.109489	15
IFI30	19	+	18178117	0.101942	21
JUND	19	-	18279759	0.00293686	2
KCNN1	19	+	18000078	0.00299043	5
MOB3A	19	-	2071037	0.000848536	2
MYDGF	19	-	4657544	0.00434783	2
NDUFA13	19	+	19528101	0.00982583	10
OAZ1	19	+	2273303	0.00262689	3
PKN1	19	+	14471513	0.00358852	3
RPL18	19	-	48615327,48615845	0.00721335,0.00228457	10,2
RPL28	19	+	55388049,55388284	0.0633336,0.0476922	2,3
RPS11	19	+	49498034,49499606	0.0400708,0.0371003	4,6
RPS15	19	+	1440398	0.0379747	3
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869192	0.00473934	25
RPS28	19	+	8322089,8322371	0.0942452,0.0485519	1,5
RPS9	19	+	54207582,54207521	0.0956891,0.0188285	20,18
SIRT2	19	-	38881099	0.000647616	8
ARPC2	2	+	218254146	0.012987	3
CALM2	2	-	47160081	0.0011383	2
CIAO1	2	+	96271453	0.0196078	2
CXCR4	2	-	136114348	0.0134615	7
NR4A2	2	-	156324431	0.00169587	3
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70088960	0.0205479	3
PLEK	2	+	68397413	0.00187852	3
PTMA	2	+	231712439,231712808	0.00450956,0.00311268	4,4
RPL37A	2	+	216500030,216501418	0.068002,0.001441	4,2
TMSB10	2	+	84906670	0.105263	26
WBP1	2	+	74460738	0.0350877	2
ZFP36L2	2	-	43222401	0.0010433	2
ERGIC3	20	+	35557566	0.0246914	2
FKBP1A	20	-	1368977	0.000638162	2
HCK	20	+	32054627	0.0172414	6
MAFB	20	-	40685847	0.00246184	5
RPS21	20	+	62387912,62388514	0.0303307,0.00942113	4,5
SLA2	20	-	36612317	0.00121139	2
TRPC4AP	20	-	35002403	0.00269542	2
ITGB2	21	-	44885952	9.47104e-05	2
U2AF1L5	21	-	6484622	0.000391441	3
ATXN10	22	+	45843821	0.0133333	2
EIF3L	22	+	37888548	0.0186916	1
GAS2L1	22	+	29312620	0.0243902	3
PLXNB2	22	-	50274978	0.000730727	2
AC006254.1	3	-	52813281	0.000636894	12
ACAP2	3	-	195274735	0.00043554	2
ARF4	3	-	57571362	0.000158253	2
CNBP	3	-	129169483	0.00206398	1
DCBLD2	3	-	98795940	0.00058292	2
EIF2A	3	+	150584047	0.000124069	2
GPX1	3	-	49357170	0.0123305	10
HCLS1	3	-	121631398	0.00447427	2
PDHB	3	-	58427629	0.000886525	2
RHOA	3	-	49359144	0.00089153	3
RPL15	3	+	23919757	0.015625	4
RPL35A	3	+	197954146,197955759	0.00192143,0.000801179	5,3
SERP1	3	-	150541993	0.00243506	6
UMPS	3	+	124731730	0.0166667	3
CCNI	4	-	77047157	0.00282752	3
MED28	4	+	17623949	0.013245	2
PLAC8	4	-	83090047	0.000431127	2
RPS3A	4	+	151104283,151104555,151104105	0.0793882,0.0568706,0.00571895	3,7,6
BTF3	5	+	73505421	0.0163934	3
CD74	5	-	150401636,150401746	0.0183364,0.000883479	30,1
DUSP1	5	-	172768089	0.0178571	12
HNRNPH1	5	-	179614177	0.000257301	2
IQGAP2	5	+	76683226	0.0333333	2
JADE2	5	+	134583229	0.000314169	2
NPM1	5	+	171410715	0.0133333	2
RAB24	5	-	177301450	0.0205479	6
TRIM52	5	-	181255146	0.00174864	3
AIF1	6	+	31616994	0.0319149	2
AKIRIN2	6	-	87675071	0.00380952	2
ATP6V1G2-DDX39B	6	-	31530218	0.000169305	1
B3GALT4	6	+	33278629	0.0273973	2
C6orf62	6	-	24704860	0.0015674	2
DDX39B	6	-	31530218	0.00225479	2
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945676	0.0361991	8
HLA-B	6	-	31353871	0.0163666	10
HLA-C	6	-	31268748	0.0027668	7
HLA-DMB	6	-	32934628	0.00584795	2
HLA-DPB1	6	+	33086795	0.0307692	7
HLA-DRB1	6	-	32578768	0.0248447	7
MARCKS	6	+	113861641	0.00376648	4
RNASET2	6	-	166929503	0.000116097	2
SERPINB6	6	-	2948158	0.000163854	2
SERPINB9	6	-	2887265	0.000690369	2
AC004922.1	7	+	99394653	0.108194	23
AC093668.2	7	-	102483343	6.99472e-05	1
AC105052.1	7	-	102582522	0.000174978	5
AC105052.3	7	-	102637048	0.000206313	6
ACTB	7	-	5527146,5527258	0.0229111,0.00308771	43,5
ARF5	7	+	127591542	0.0205761	5
ARPC1B	7	+	99394793	0.0693935	24
BRI3	7	+	98291469	0.00884956	2
CHCHD2	7	-	56101568	0.0070922	2
FGL2	7	-	77193370	0.000687758	2
LAMTOR4	7	+	100154010	0.0142349	4
PEX1	7	-	92487019	0.00457666	2
RAC1	7	+	6402503	0.0175439	1
RASA4B	7	-	102483138	0.00441501	2
RSPH10B	7	-	5925549	0.000167532	3
TES	7	+	116252027	0.0162602	4
TSC22D4	7	-	100466518	0.00454545	2
UPK3BL1	7	-	102637024	0.012	6
YWHAG	7	-	76326793	0.000718649	2
ZNHIT1	7	+	101224160	0.00990099	2
ANGPT2	8	-	6499650	0.000869565	3
ASAP1	8	-	130052103	1.29196e-05	4
CYC1	8	+	144097479	0.020979	3
EEF1D	8	-	143579696	0.00425552	3
PABPC1	8	-	100709135	0.00393701	2
RPL30	8	-	98041720,98042546	0.00164209,0.00197146	5,4
RPL8	8	-	144789765,144790267	0.00532485,0.00141107	8,1
KLF4	9	-	107484851	0.00222469	2
PSIP1	9	-	15470635	0.00301659	2
