CD52	1	+	26320488	0.0376344	7
LAPTM5	1	-	30732468	0.00147167	2
MARCKSL1	1	-	32333831	0.00261438	1
RPS27	1	+	153991673,153992152	0.326531,0.0869565	31,8
RSRP1	1	-	25242236	0.00070028	2
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281244	0.0114943	3
SRRM1	1	+	24648827	0.00114745	1
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.002886	2
TPM3	1	-	154155303	0.000111857	2
TXNIP	1	-	145992434	0.00211864	3
UQCRH	1	+	46316600	0.0254234	3
NDST2	10	-	73801910	0.00925926	5
OTUD1	10	+	23441277	0.00534759	1
RPS24	10	+	78040686	0.000736377	2
STK32C	10	-	132324036	0.0152284	3
WAC	10	+	28610707	7.84857e-05	6
WDFY4	10	+	48982752	0.0112994	2
AP002990.1	11	-	62559602	0.00325335	48
AP003419.1	11	-	67351571	0.0212766	9
ATP5MG	11	+	118408979	0.000983284	2
CFL1	11	-	65854674	0.00302572	2
CORO1B	11	-	67435509	0.00745128	39
FAU	11	-	65120627,65120893	0.0537634,0.0083612	5,5
FIBP	11	-	65883920	0.00116754	2
GANAB	11	-	62624825	0.000137457	1
H2AFX	11	-	119093853	0.00180343	2
PTPRCAP	11	-	67435509	0.125561	28
RPS25	11	-	119015711,119017222	0.00266603,0.0127004	5,9
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.00606061	2
GAPDH	12	+	6538265	0.0210526	2
NACA	12	-	56712427,56712712	0.00738191,0.0103243	8,8
PTPN6	12	+	6961171	0.00651466	2
RPL41	12	+	56117824	0.133333	40
TUBA1A	12	-	49184795	0.00934579	1
UHRF1BP1L	12	-	100069907	0.00826446	2
N4BP2L1	13	-	32400722	0.000302267	6
IGHG3	14	-	105764502	0.00637845	9
IGHM	14	-	105851704	0.0536398	14
NFKBIA	14	-	35401510	0.00164114	3
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
TCL1A	14	-	95709966	0.00215285	5
AC245033.1	15	-	82536787	0.000284466	4
ANXA2	15	-	60347133	7.27617e-05	2
RPS17	15	-	82536749	0.00190545	4
SERF2	15	+	43793997	0.03125	7
ST20-MTHFS	15	-	79845149	0.0333333	2
ALDOA	16	+	30070305	0.010582	2
ATP6V0C	16	+	2519977	0.103448	24
BOLA2B	16	-	30192933	0.0047619	2
CD19	16	+	28939213	0.012	3
METTL26	16	-	634426	0.00416667	2
RPL13	16	+	89562389,89562967,89563185	0.0207543,0.216714,0.022973	2,45,7
RPS2	16	-	1962051	0.0147526	24
SOCS1	16	-	11254404	0.00456621	2
ACTG1	17	-	81509970	0.00556328	4
ATP2A3	17	-	3923869	0.00127959	2
CD79B	17	-	63928739	0.0144033	7
DDX5	17	-	64499615	0.000647948	3
EIF4A1	17	+	7578528	0.047619	2
H3F3B	17	-	75776433	0.000876424	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515,8379717	0.1,0.035343	10,34
MYL12B	18	+	3278046	0.0183486	2
CD79A	19	+	41881224	0.057377	14
