AL031281.2	1	+	22101359	0.000609632	5
AL713999.1	1	-	155169408,155169652	0.0010763,0.000703727	4,2
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320496	0.0206186	4
CD55	1	+	207340733	0.0224719	2
CDC42	1	+	22092945	0.00420168	6
EIF3I	1	+	32231361	0.0121212	2
FUBP1	1	-	77948404	0.0042735	2
H3F3A	1	+	226071848	0.00542005	2
HIST2H2AA4	1	+	149851603	0.0206186	2
ID3	1	-	23557917	0.00191939	2
JUN	1	-	58780787	0.0023094	2
LAPTM5	1	-	30732468	0.00809419	11
LSM10	1	-	36393429	0.00609756	2
MARCKSL1	1	-	32333831	0.00392157	3
NUDT4B	1	+	148749729	0.017316	4
PMF1	1	+	156233651	0.000466128	6
PPIH	1	+	42675943	0.000944189	7
RPS27	1	+	153991674,153991920,153992153	0.369652,0.00407095,0.119565	36,1,11
S100A10	1	-	151982914	0.00806452	2
SFPQ	1	-	35176377	0.00122324	1
SLC2A1	1	-	42951615	0.0149254	3
SSU72	1	-	1541672	0.00508906	2
TMEM56-RWDD3	1	+	95247126	0.03125	8
UQCRH	1	+	46316577	0.000315308	2
FBXL15	10	+	102423134	0.0141844	2
RPS24	10	+	78040698	0.000733138	2
AP001931.1	11	+	57742247,57743081	0.101493,0.0318209	3,7
AP002990.1	11	-	62559602	0.00284004	42
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118409014	0.00144998	3
CORO1B	11	-	67435509	0.000764234	4
FAU	11	-	65120627	0.0693642	11
FNBP4	11	-	47716516	0.00220994	2
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119017232	0.00198729,0.0192873	4,13
SELENOH	11	+	57742247,57742994	0.0806287,0.052645	2,8
UCP2	11	-	73974666	0.00973236	4
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0151515	5
CD69	12	-	9752485	0.00301508	3
ERP29	12	+	112023450	0.00545596	7
GAPDH	12	+	6538248	0.025641	2
LRMP	12	+	25102735	0.00261097	2
NAA25	12	-	112029549	2.94829e-05	2
NACA	12	-	56712427,56712761	0.00620058,0.0151744	6,12
OVCH1	12	-	29412473	0.000279746	3
RPL41	12	+	56117808	0.292254	83
RPLP0	12	-	120196685	0.00293869	7
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.000808407	2
UBC	12	-	124911603	0.0181818	2
DAD1	14	-	22564904	0.000276163	2
IGHM	14	-	105851704	0.0191571	5
NFKBIA	14	-	35401510	0.00109409	2
PNP	14	+	20476782	0.0110497	2
PRPF39	14	+	45097010	0.00519031	3
PSME1	14	+	24138763	0.00701754	2
RPS29	14	-	49583571	0.0210526	2
YY1	14	+	100277815	0.0139535	3
AC245033.1	15	-	82536787,82538227,82538801	0.000512138,0.000470229,0.000168698	8,7,2
RPS17	15	-	82536749,82538189,82538763	0.000698147,0.00947362,0.00379411	1,10,2
SERF2	15	+	43793949	0.0170455	3
COTL1	16	-	84565593	0.0039968	5
COX4I1	16	+	85806805	0.00660066	2
RPL13	16	+	89562957,89563233	0.181711,0.0109082	36,4
RPS2	16	-	1962051	0.029531	49
TCF25	16	+	89892245	0.000581987	8
AC087289.3	17	-	75898644	0.000639561	7
AC120057.2	17	-	7240426	0.00880705	11
ACTG1	17	-	81509970	0.0111266	8
C17orf49	17	+	7017398	0.0124224	6
EIF1	17	+	41691192	0.0163934	6
EIF4A1	17	+	7578776	0.0103448	3
EVI2B	17	-	31303765	0.00402414	2
MRPL38	17	-	75898642	0.0241546	5
NME1-NME2	17	+	51171711	0.102941	21
NME2	17	+	51171711	0.102941	21
PFN1	17	-	4945651	0.016129	4
RNASEK	17	+	7013500	0.0391061	7
RNASEK-C17orf49	17	+	7017401	0.025	2
RPL23A	17	+	28724020	0.0143885	2
RPL26	17	-	8377515,8379743	0.150794,0.0555556	19,52
RPL27	17	+	43000099,43002912	0.00185516,0.0368623	1,12
MYL12A	18	+	3256065	0.0136054	2
PTPN2	18	-	12785477	0.000227273	2
RPL17-C18orf32	18	-	49481680	0.00145486	9
SS18	18	-	26016252	4.41917e-05	3
AES	19	-	3052909	0.00211416	2
CD79A	19	+	41881297	0.0283912	9
EEF2	19	-	3976055	0.0160643	7
ELOF1	19	-	11553042	0.00252525	2
EMP3	19	+	48329442	0.00110619	2
FTL	19	+	48966802	0.0597015	4
HNRNPL	19	-	38836387	0.000381971	2
HSH2D	19	+	16151596	0.0615385	4
LSM7	19	-	2321516	0.000662105	3
NDUFA11	19	-	5894674	0.000719505	4
OAZ1	19	+	2273490	0.00176887	3
PKN1	19	+	14471557	0.00227273	2
PPP1R15A	19	+	48876057	0.00518672	5
