AL713999.1	1	-	155169408	0.00162118	6
ATP5PB	1	+	111461115	0.0165289	2
C1orf162	1	+	111478329	0.0145631	3
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320425	0.0569106	7
CTSS	1	-	150730195	0.00016977	3
ENO1	1	-	8860999	0.000425472	3
FCER1A	1	+	159308108	0.0113636	2
GUK1	1	+	228148786	0.0224719	2
HLX	1	+	220884804	0.02	2
IVNS1ABP	1	-	185296387	0.00242866	4
LAPTM5	1	-	30732468	0.00515085	7
LRRC8B	1	+	89593270	0.00881057	2
MCL1	1	-	150574550	0.00177054	5
MINOS1	1	+	19626498	0.0515464	5
MNDA	1	+	158849480	0.0288066	7
NBPF14	1	-	148531384	8.43168e-05	3
PGD	1	+	10420038	0.0138408	4
PTCH2	1	-	44819843	0.00473373	4
PTP4A2	1	-	31906420	0.000269869	2
RPS27	1	+	153991674,153992133	0.053709,0.0276975	5,3
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0578512	7
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0515464	5
S100A8	1	-	153390031	0.225352	16
S100A9	1	+	153360890,153361023	1.10811,0.353396	57,65
SH3BGRL3	1	+	26281267	0.0316901	9
SSU72	1	-	1541672	0.00508906	2
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0061792	6
FRAT2	10	-	97332496	0.0014556	2
GDI2	10	-	5765222	0.00353774	3
GHITM	10	+	84152562	0.00934579	1
NDUFB8	10	-	100523936	0.000919287	5
OTUD1	10	+	23441102	0.0150754	3
PSAP	10	-	71816297	0.00349956	4
PTPRE	10	+	128061846	0.027027	4
RPS24	10	+	78040668	0.036362	2
VIM	10	+	17236633	0.00307877	3
AHNAK	11	-	62515904	0.00357569	3
AP002990.1	11	-	62559602,62559709	0.000911943,0.000402916	13,6
AP003419.1	11	-	67351571	0.0070922	3
ATP5MG	11	+	118409175	0.00266682	5
CFL1	11	-	65854674	0.00302572	2
CTSD	11	-	1752751	0.00232558	5
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120935	0.0444444,0.00899281	6,5
HBG1	11	-	5248427	0.00177936	2
LAMTOR1	11	-	72097291	0.00362319	4
MS4A6A	11	-	60172013	0.000639284	4
MTRNR2L8	11	-	10507886	0.00754717	2
PPP1CA	11	-	67398182	0.00568182	2
RPS25	11	-	119015711	0.00134831	3
SF1	11	-	64764605	0.00055269	3
SPI1	11	-	47354859	0.00801282	5
TALDO1	11	+	764983	0.0290353	5
AC048338.1	12	-	122207778	0.000471876	5
ARPC3	12	-	110434824	0.0363636	12
ATP5MC2	12	-	53665165	0.0135135	2
C12orf57	12	+	6944854	0.0252101	3
CTDSP2	12	-	57819926	0.000544218	2
GAPDH	12	+	6538368	0.0555556	11
LTA4H	12	-	96000827	0.000420325	9
LYZ	12	+	69354059,69354189	0.0120995,0.10911	10,105
MYL6	12	+	56161548	0.0367996	5
NACA	12	-	56712427,56712710	0.00382024,0.013877	4,11
RPL41	12	+	56117819	0.0881356	26
RPLP0	12	-	120196685	0.00222346	5
TUBA1A	12	-	49184795	0.00934579	1
UBC	12	-	124911603	0.0272727	3
ALOX5AP	13	+	30764262	0.0128205	2
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256332,27256519	0.0252521,0.0341493	3,8
ACTN1	14	-	68874142	0.0027933	2
BCL2L2-PABPN1	14	+	23325344	0.0344828	2
EAPP	14	-	34515928	0.00369686	2
NEDD8	14	-	24216851	0.00156617	2
NEDD8-MDP1	14	-	24213954	0.00223714	4
NFKBIA	14	-	35401510	0.00273523	5
PABPN1	14	+	23325436	0.00351803	4
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004557	0.0135135	2
SLC39A9	14	+	69455542	0.00014666	2
SLC7A7	14	-	22773221	0.00131579	3
AC245033.1	15	-	82536787,82538304	0.0425649,0.000414595	11,6
DMXL2	15	-	51447710	0.00235664	3
NOP10	15	-	34341712	0.00711744	2
RPS17	15	-	82536749,82538295	0.0325203,0.0256218	4,13
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43794105	0.0210843	6
SPG21	15	-	64963020	0.000421467	3
ALDOA	16	+	30070365	0.11245	28
ATP6V0C	16	+	2520161	0.0959319	39
ATP6V0D1	16	-	67438018	9.48767e-05	2
BOLA2B	16	-	30192933	0.0047619	2
CKLF	16	+	66563207	0.0178571	2
CKLF-CMTM1	16	+	66563548	0.00441501	2
COTL1	16	-	84565593	0.00719424	9
METTL26	16	-	634426	0.00833333	4
NOMO1	16	+	14895734	0.0224719	2
PPP4C	16	+	30085186	0.016129	2
RPL13	16	+	89562389,89566826	0.110506,0.0038418	13,17
RPS2	16	-	1962051,1962470	0.0515464,0.00629921	10,8
ZNF276	16	+	89733626	0.00114233	5
AC120057.2	17	-	7240426	0.0240018	29
ACTG1	17	-	81509970	0.0111204	7
BORCS6	17	-	8188332	0.0027248	2
C17orf49	17	+	7017369	0.0480469	8
DDX5	17	-	64499615	0.00107991	5
EIF1	17	+	41691133	0.029316	9
EIF4A1	17	+	7578626	0.0285714	4
EVI2B	17	-	31303765	0.0160966	8
GRN	17	+	44352893	0.0165975	4
MKS1	17	-	58205436	0.000332083	3
PFN1	17	-	4945651	0.0201613	5
PSMB3	17	+	38764145	0.000557801	2
RNASEK-C17orf49	17	+	7017367	0.0434783	2
RPL26	17	-	8377515,8379742	0.08,0.0341515	10,32
SCARF1	17	-	1633857	0.000175901	2
SLC35B1	17	-	49700933	0.000807754	4
WSB1	17	+	27312713	0.00872093	3
MYL12A	18	+	3256091	0.017341	2
AC010422.8	19	-	12668070	0.000169938	2
BAX	19	+	48961798	0.00285307	2
BLVRB	19	-	40447764	0.000292426	3
CFD	19	+	863327	0.0224719	2
CIRBP	19	+	1274609	0.00671141	2
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0060241	3
EPN1	19	+	55695527	0.0175439	3
FTL	19	+	48966875	0.0928571	13
GMFG	19	-	39328352,39328885	0.00543149,0.00460385	6,3
GPR108	19	-	6729913	0.000525947	3
HOMER3	19	-	18929200	0.00826446	2
IFI30	19	+	18178075	0.152439	25
ISOC2	19	-	55452984	0.00619195	2
JUNB	19	+	12793028	0.0375587	8
JUND	19	-	18279759	0.0132159	9
LILRA6	19	-	54236591	0.000441891	2
NDUFA11	19	-	5894674	0.000295465	2
NDUFA13	19	+	19527769,19528100	0.0305968,0.0313555	4,7
OAZ1	19	+	2273287	0.0567367	19
PRMT1	19	+	49688363	0.0169492	2
RPL18	19	-	48615327	0.00139665	2
RPL18A	19	+	17864153	0.00224719	2
RPL28	19	+	55388049,55388315	0.111801,0.0270469	4,2
RPS11	19	+	49498043,49499672	0.0118692,0.048165	1,13
RPS15	19	+	1440449	0.0384615	5
RPS16	19	-	39433206	0.029316	9
RPS19	19	+	41869189	0.000948407	5
RPS28	19	+	8322091,8322342	0.131888,0.0555658	2,4
RPS9	19	+	54207579,54207521	0.0875952,0.0167364	18,15
TYROBP	19	-	35904400	0.0660488	17
UBA52	19	+	18575228	0.025641	2
UBL5	19	+	9830067	0.0365854	3
WDR83OS	19	-	12668070	0.00449438	2
AC068547.1	2	-	151802650	0.000164191	11
ARPC2	2	+	218254036	0.0247934	3
CCDC142	2	-	74471985	0.0123609	10
COPS9	2	-	240130825	0.00888889	2
CXCR2	2	+	218136036	0.0131579	2
MRPL53	2	-	74471957	0.0229885	4
POLE4	2	+	74969647	0.00888889	2
RANBP2	2	+	108784013	0.0178571	2
RPL31	2	+	101006363	0.000964785	2
RPL37A	2	+	216501381	0.00210822	2
TMSB10	2	+	84906557,84906669	0.113386,0.035798	15,8
UGGT1	2	+	128138435,128138433	4.26103e-05,6.94541e-05	2,2
VAMP8	2	+	85581815	0.00851064	2
ZFP36L2	2	-	43222401	0.00156495	3
AL034430.1	20	-	10413519	0.00930233	2
HCK	20	+	32056737	0.0012205	3
RALY	20	+	34079993	0.00138504	2
RGS19	20	-	64073180	0.00297619	2
ROMO1	20	+	35700918	0.0210526	2
RPS21	20	+	62388438	0.0234314	7
SIRPB1	20	-	1597339	0.000344471	2
SMIM26	20	+	18569464	0.0338983	2
SNRPB	20	-	2461633	0.000355619	2
TGIF2-RAB5IF	20	+	36612321	0.0296296	8
FP565260.2	21	-	5116342	0.00263158	2
GATD3B	21	-	5116340	0.00262467	2
ITGB2	21	-	44885952	0.000142066	3
CHCHD10	22	-	23765833	0.00857143	3
DDTL	22	+	23972460	0.0028463	3
EIF3L	22	+	37888562	0.0330579	4
TSPO	22	+	43163239	0.0282258	7
CNBP	3	-	129169483	0.00309598	3
CSTA	3	+	122341668	0.019802	2
GPX1	3	-	49357170	0.0665845	54
HCLS1	3	-	121631398	0.00447427	2
ISY1-RAB43	3	-	129087574	0.000805369	6
RAB43	3	-	129087568	0.00121335	6
RPL29	3	-	51993521	0.00903405	13
RPL35A	3	+	197955826	0.00155176	7
SHISA5	3	-	48467797	5.53848e-05	2
SPCS1	3	+	52708017	0.0146341	3
THUMPD3	3	+	9384760	0.0555556	4
TMA7	3	+	48443951	0.0289855	2
AC126283.2	4	-	109713915	0.00867679	4
CCNI	4	-	77047157	0.00375847	3
GAK	4	-	849276	0.0011744	2
H2AFZ	4	-	99948087	0.00534759	1
HMGB2	4	-	173331694	0.0103896	4
RPS3A	4	+	151104285,151104615	0.155083,0.0616508	7,10
BTF3	5	+	73505353	0.0347826	4
CD74	5	-	150401636	0.00419162	7
DAP	5	-	10679229	0.00109529	2
DUSP1	5	-	172768089	0.03125	21
RAB24	5	-	177301450	0.010274	3
RACK1	5	-	181236908,181237512	0.000704489,0.000516319	4,3
TBCA	5	-	77691165	0.00102249	2
ABHD16A	6	-	31686948	0.000132092	2
AL662899.1	6	-	31686961	7.95545e-05	2
BLOC1S5-TXNDC5	6	-	7881521	0.000129517	3
C6orf106	6	-	34587287	0.000610314	2
CLIC1	6	-	31730580	0.0229885	6
COX7A2	6	-	75237674	0.00199852	6
GPSM3	6	-	32190765	0.00363636	4
HLA-A	6	+	29945870	0.0433735	18
HLA-B	6	-	31353871	0.0392763	23
HLA-C	6	-	31268748	0.0061721	15
HLA-DMA	6	-	32948612	0.00796813	2
HLA-DPB1	6	+	33086601	0.00550964	2
HLA-DRB1	6	-	32578768	0.00931677	3
HLA-E	6	+	30494127	0.00384427	5
HSPA1A	6	+	31817791	0.0275229	3
IER3	6	-	30743198	0.00332226	3
LST1	6	+	31588762	0.0112994	2
LY86	6	+	6654765	0.0144928	2
PSMB8	6	-	32840716	0.0123967	3
RNASET2	6	-	166929503	0.000174145	3
RPS10	6	-	34417453	0.00411523	3
SERINC1	6	-	122443353	0.00118343	2
SGK1	6	-	134169245	0.00195695	2
TOMM6	6	+	41789811	0.0289855	14
TXNDC5	6	-	7881516	0.00184388	3
ZNF322	6	-	26634382	0.00270088	8
AC004922.1	7	+	99394653	0.239812	52
AC006978.2	7	+	30362686	0.0119048	3
ACTB	7	-	5527146,5527290	0.0345429,0.00138974	65,2
ARF5	7	+	127591606	0.0846906	26
ARPC1B	7	+	99394627,99394769	0.214655,0.0563331	38,17
ATP6V1F	7	+	128865738	0.0125	2
BRI3	7	+	98291420	0.0564972	10
COPS6	7	+	100091741	0.00653595	2
GIMAP2	7	+	150693415	0.0173913	2
GNB2	7	+	100678900	0.030303	3
H2AFV	7	-	44834227	0.00607903	2
LAMTOR4	7	+	100153921	0.0104167	2
MDH2	7	+	76066512	0.0196078	2
MYO1G	7	-	44962661	0.000214869	3
RAC1	7	+	6402819	0.0080429	3
SUN1	7	+	886835	0.0204082	3
TAX1BP1	7	+	27795070,27829765	0.000390945,4.5657e-05	5,1
TMEM176B	7	-	150791284	0.00813008	2
TOMM7	7	-	22812631	0.0111524	6
URGCP-MRPS24	7	-	43866557	0.00288303	7
ZNRF2	7	+	30362686	0.0119048	3
CEBPD	8	-	47736908	0.00992875	3
EEF1D	8	-	143579696,143579934	0.00449871,0.0112258	4,7
ENY2	8	+	109343421	0.000675447	2
GPAA1	8	+	144086211	0.0232558	2
RPL30	8	-	98041720,98042632	0.0589355,0.00239549	26,5
RPL8	8	-	144789765	0.0047171	7
VPS28	8	-	144423600	0.000826105	2
FCN1	9	-	134909584	0.056338	12
KLF4	9	-	107484851	0.00330572	2
NUP214	9	+	131233548	0.00171241	4
RPL35	9	-	124857879	0.00509338	3
TUBB4B	9	+	137243663	0.0186916	1
COX7B	X	+	77905264	0.0365826	3
FLNA	X	-	154348523	0.000185586	3
PLP2	X	+	49174853	0.0188679	3
RPL36A	X	+	101395431	0.000896593	3
RPL39	X	-	119786505,119786607	0.0490565,0.148262	8,11
SAT1	X	+	23786055	0.0201005	4
SLC25A5	X	+	119471208	0.02	3
SLC25A6	X	-	1386151	0.00444444	2
TMSB4X	X	+	12977184	0.142091	53
TSC22D3	X	-	107713220	0.00231125	3
UXT	X	-	47651797	0.000715273	3
