AC114490.2	1	-	34981532	0.00125576	3
AL031281.2	1	+	22092007	0.00408163	2
AL713999.1	1	-	155169408,155169723	0.00748392,0.00109005	9,1
BOLA1	1	+	149900620	0.0136054	2
BTG2	1	+	203307639	0.00995025	2
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320421	0.0420168	5
CDC42	1	+	22092007	0.00408163	2
CITED4	1	-	40861050	0.00383142	2
DDOST	1	-	20651766	0.0114379	6
ENO1	1	-	8860999	0.000425472	3
EPB41	1	+	28995383	0.000499168	3
GPA33	1	-	167052835	0.00133511	2
HMGN2	1	+	26475317	0.0118343	2
ID3	1	-	23557917	0.00383877	4
KPNA6	1	+	32162823,32176567	0.00144218,0.000367295	3,5
LAPTM5	1	-	30732468	0.00294334	4
MINOS1	1	+	19626512	0.018018	2
NASP	1	+	45593411,45602253,45602918	0.000804961,0.0471839,0.00151978	2,26,1
RPS27	1	+	153991673,153992132	0.178297,0.138688	17,23
S100A6	1	-	153534598	0.0206186	2
SELENOF	1	-	86862444	0.000539084	2
SSU72	1	-	1541672	0.00763359	3
TMEM35B	1	-	34981534	0.00733496	3
TXNIP	1	-	145992434	0.00141243	2
UQCRH	1	+	46316694	0.000710847	4
ANKRD16	10	-	5861616	0.000120446	2
RPS24	10	+	78040716	0.00135988	3
AP001931.1	11	+	57742926	0.00282087	2
AP002990.1	11	-	62559602	0.00599822	89
ATP5MG	11	+	118409093	0.0384587	7
CCDC85B	11	+	65891591	0.0150754	3
CORO1B	11	-	67435509	0.000382117	2
FAU	11	-	65120627	0.0357838	30
FTH1	11	-	61964284	0.0015949	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315194	0.0987654	8
IFITM2	11	+	315194	0.0987654	8
LAMTOR1	11	-	72097291	0.00181159	2
MACROD1	11	-	63998557	0.00645161	2
NKAPD1	11	+	112080546	0.0243902	3
PTPRCAP	11	-	67435509	0.0133527	2
RASGRP2	11	-	64726910	0.000141483	2
RBM4B	11	-	66664997	0.000551572	2
RPS25	11	-	119015711,119015831,119017352	0.00854111,0.0516695,0.00183879	6,19,1
SELENOH	11	+	57742926	0.00282087	2
TMEM123	11	-	102396331	0.000788955	2
ARHGDIB	12	-	14942016	0.00594059	3
ATP5MC2	12	-	53665165	0.0202703	3
CD69	12	-	9752485	0.00201005	2
COX6A1	12	+	120440619	0.0243902	2
DGKA	12	+	55953904	0.0147059	2
LDHB	12	-	21635341	0.01	2
MAP3K12	12	-	53479668	0.00132188	2
MPHOSPH9	12	-	123152323	0.00956938	2
NACA	12	-	56712427,56712763	0.102286,0.0159253	23,10
PFDN5	12	+	53299450	0.00380344	11
RAN	12	+	130875874	0.0212766	2
RPL41	12	+	56117807	0.279152	79
RPLP0	12	-	120196685	0.00659194	17
SLC2A3	12	-	7931350	0.00335196	6
CARS2	13	-	110676973	0.000142939	3
RPL21	13	+	27256333,27256544	0.143333,0.0631663	21,15
RPS29	14	-	49583571	0.0315789	3
AC245033.1	15	-	82536787,82538267	0.000655043,0.000300002	11,4
IMP3	15	-	75639084	0.00378072	2
RPLP1	15	+	69455539	0.0625	2
RPS17	15	-	82536749,82538229	0.00275819,0.00700736	7,7
ALDOA	16	+	30070206	0.0222222	2
APRT	16	-	88809338	0.00744777	5
COX4I1	16	+	85806804	0.00993377	3
MT2A	16	+	56609476	0.0103093	3
NPIPB12	16	-	29483641	0.0425532	2
NSMCE1	16	-	27224990	0.000118892	2
RPL13	16	+	89562389,89563045,89563324	0.167633,0.261794,0.0107486	20,74,5
RPS2	16	-	1962051,1962152,1962471	0.0495451,0.227004,0.00713992	9,37,9
AC026954.2	17	-	7312660	0.00104239	3
AC120057.2	17	-	7240426	0.0304232	37
ACTG1	17	-	81510744	0.00290276	2
CD7	17	-	82314867	0.00157109	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691304	0.0041841	1
FAM117A	17	-	49711344	0.00059997	4
FLOT2	17	-	28879334	0.000519076	1
GPS2	17	-	7312659	0.00990099	3
KPNA2	17	+	68042208	0.00083316	4
KRT10	17	-	40818116	0.00557103	2
OVCA2	17	+	2043361	0.0272374	7
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.00806452	2
RPL19	17	+	39204732	0.047619	4
RPL26	17	-	8377515,8379765	0.148649,0.062363	22,56
SLC46A1	17	-	28394755	0.00201218	9
SOCS3	17	-	78356777	0.00121951	2
USP36	17	-	78828991	0.000622471	4
MYL12A	18	+	3256176	0.0271318	7
MYL12B	18	+	3278027	0.0222222	2
AC003002.2	19	+	57438358	0.0294118	6
AC008763.3	19	+	7682719	0.0565217	13
AC010619.1	19	+	49486230	0.000185288	4
AES	19	-	3052909	0.00634249	6
CD37	19	+	49340606	0.00140252	4
CPAMD8	19	-	16892946	2.56368e-05	2
DNAJB1	19	-	14514769	0.0017094	2
EEF2	19	-	3976055	0.0060241	3
GMFG	19	-	39328352	0.0039295	4
JUNB	19	+	12793103,12793204	0.0566801,0.0300158	16,11
JUND	19	-	18279759	0.010279	7
NDUFA13	19	+	19528062	0.00161388	2
NFIC	19	+	3462974	0.00109359	6
RPL13A	19	+	49491546,49492307	0.0190277,0.0170419	14,14
RPL18	19	-	48615327,48615878	0.0406504,0.147483	5,33
RPL18A	19	+	17863312	0.0408163	1
RPL28	19	+	55388049,55388376,55403215	0.209053,0.0969841,0.0238095	7,16,2
RPL36	19	+	5691665	0.0364964	5
RPS11	19	+	49498045,49499688	0.0448584,0.0335497	5,8
RPS15	19	+	1440491	0.0619879	8
RPS16	19	-	39433206,39433311	0.038307,0.0803947	11,16
RPS19	19	+	41871414,41869192	0.0540541,0.00682464	2,36
