AKR7L	1	-	19265981	0.00438917	6
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320501	0.0301508	6
FCRL1	1	-	157794535	0.00123077	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00147167	2
PARP1	1	-	226360690	0.00260078	2
RABGGTB	1	+	75794753	0.0194175	1
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991676,153992143	0.158069,0.149775	15,26
S100A6	1	-	153534598	0.0206186	2
SELENOF	1	-	86862444	0.000539084	2
SELL	1	-	169690666	0.00268577	3
SRM	1	-	11054588	0.00699301	2
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.002886	2
TSTD1	1	-	161037630	0.00806452	2
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00205973	2
UQCRH	1	+	46316625	0.000605928	3
GDI2	10	-	5765222	0.00353774	3
PSAP	10	-	71816297	0.00174978	2
RBM17	10	+	6115706	0.0133333	2
RPS24	10	+	78040681	0.00140085	3
AP001931.1	11	+	57742943	0.00688705	5
AP002990.1	11	-	62559602	0.0036045	54
CORO1B	11	-	67435509	0.00378946	19
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120920	0.133333,0.0210158	16,12
JAM3	11	+	134070352	0.0571429	8
PTPRCAP	11	-	67435509	0.058296	13
RPS25	11	-	119015711,119015880	0.0160166,0.032125	3,20
SELENOH	11	+	57742943	0.00688705	5
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.015136	4
CD69	12	-	9752485	0.00301508	3
CHPT1	12	+	101730934	0.00524934	2
COX6A1	12	+	120440739	0.00990099	2
HNRNPA1	12	+	54287087	0.00246355	6
KMT2D	12	-	49018974	0.00142602	4
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161509	0.0465057	5
NACA	12	-	56712427,56712688	0.00418244,0.0130527	4,11
PTPN6	12	+	6961246	0.0104712	4
RPL41	12	+	56117811	0.226481	65
RPLP0	12	-	120196685	0.00629347	16
BIVM-ERCC5	13	+	102875984	0.0246914	2
ERCC5	13	+	102875984	0.0246914	2
ING1	13	+	110720110	0.011236	2
RPL21	13	+	27256333,27256645	0.102289,0.0160337	15,7
AL928654.3	14	+	105488755	0.00819672	2
ATL1	14	+	50622062	0.0206186	4
CRIP1	14	+	105488755	0.00819672	2
DAD1	14	-	22564904	0.000276147	2
FAM177A1	14	+	35050500	0.000526732	2
FOS	14	+	75282230	0.0322581	26
IGHA2	14	-	105583730,105584059	0.012168,0.0303506	5,2
NFKBIA	14	-	35401510	0.00273523	5
PPP2R3C	14	-	35085466	0.0001239	3
RPS29	14	-	49583571	0.0315789	3
RTRAF	14	+	52004611	0.00990099	2
SYNJ2BP-COX16	14	-	70326063	0.0111524	3
AC245033.1	15	-	82536787,82538229	0.000334661,0.000269543	5,4
CSK	15	+	74802654	0.0141844	2
RPS17	15	-	82536749,82538191	0.000730906,0.00700788	1,8
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43794064	0.0103093	3
SNRPN	15	+	24978521	0.025974	2
ATP6V0C	16	+	2519834	0.0449438	4
CFDP1	16	-	75293709	0.00826446	2
CORO1A	16	+	30189041	0.025974	2
CORO7-PAM16	16	-	4340250	0.000179894	3
COTL1	16	-	84565593	0.00239808	3
PAM16	16	-	4340247	0.00319205	3
RPL13	16	+	89562977,89563259	0.215598,0.0318237	47,14
RPS15A	16	-	18781294	0.000292056	1
RPS2	16	-	1962051	0.0295268	49
TBC1D10B	16	-	30357101	0.0023753	2
TFAP4	16	-	4257185	0.0023015	2
TRADD	16	-	67154179	0.00426439	2
AC087289.3	17	-	75898644	0.000730927	8
ACTG1	17	-	81509970	0.0180807	13
ARHGDIA	17	-	81867720	0.0017316	2
CD79B	17	-	63928739	0.0123457	6
CDK12	17	+	39551141	0.000437063	3
DDX5	17	-	64499615	0.00151188	7
EIF1	17	+	41691160	0.00299401	1
MED1	17	-	39407713	9.53834e-05	3
MPRIP	17	+	17201684	0.0294118	2
MRPL38	17	-	75898642	0.0241546	5
NME1-NME2	17	+	51171604	0.0206186	2
NME2	17	+	51171604	0.0206186	2
PFN1	17	-	4945651	0.0120968	3
RPL19	17	+	39204725	0.038961	3
RPL26	17	-	8377515,8379786	0.106509,0.0459127	18,41
SEPT9	17	+	77500498	0.00108696	2
SOCS3	17	-	78356777	0.00121951	2
UBB	17	+	16382685	0.0340909	3
MYL12A	18	+	3256134	0.00925926	2
RPL17-C18orf32	18	-	49481680	0.000584966	4
AC008763.3	19	+	7682765	0.0507246	14
CD79A	19	+	41881262	0.0248227	7
CEP89	19	-	32931964	0.000590146	2
EEF2	19	-	3976055	0.0200803	10
FTL	19	+	48966804	0.0289855	2
GMFG	19	-	39328352	0.0016116	2
JUNB	19	+	12793186	0.0431267	16
JUND	19	-	18279759	0.0249633	17
KLF2	19	+	16327709	0.0144509	10
REX1BD	19	+	18592172	0.00153846	2
RPL18	19	-	48615327,48615854,48616056	0.00759055,0.0907584,0.0118288	4,16,8
RPL28	19	+	55388048,55388357	0.0715486,0.0430685	2,6
RPL36	19	+	5691666	0.0296296	4
RPS11	19	+	49498044,49499658	0.0733003,0.053371	8,11
RPS15	19	+	1440457	0.057971	8
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869192	0.00530806	27
RPS28	19	+	8322090,8323339	0.192793,0.00720577	2,9
RPS9	19	+	54207647,54207522	0.05555,0.0114943	13,11
TBCB	19	+	36125879,36125769	0.0206186,0.0206186	2,2
TMEM259	19	-	1009647	0.00138504	2
ZFP36	19	+	39409410	0.00281294	2
AAMP	2	-	218264122	0.00487805	2
ARPC2	2	+	218254353	0.00456621	2
BIN1	2	-	127048026	0.00400802	1
CXCR4	2	-	136114348	0.00576923	3
DBI	2	+	119372415	0.0206186	2
MCEE	2	-	71109683	0.00699301	2
OST4	2	-	27070471	0.00454276	3
PTMA	2	+	231712442,231713147	0.00421548,0.00152191	4,2
RPL31	2	+	101006405	0.00189125	4
RPL37A	2	+	216500032,216501409	0.11592,0.0580369	8,6
RTN4	2	-	54972186	0.00206398	1
TMSB10	2	+	84906670	0.0161943	4
AL121845.3	20	+	63736029	0.0272727	3
GNAS	20	+	58892586,58894207,58910970,58911191	5.51998e-05,7.11899e-05,9.57591e-05,0.000151104	2,3,6,10
RPS21	20	+	62387912,62388363,62388518	0.0178948,0.0182034,0.0464258	2,3,5
ZGPAT	20	+	63736029	0.0272727	3
ATP5PO	21	-	33903452	0.000503271	2
U2AF1L5	21	-	6484622	0.000782881	6
AC004997.1	22	-	30285237	0.000852515	3
AP000350.4	22	+	23895213	0.0202703	3
CHKB	22	-	50578948	0.0517241	12
DGCR6L	22	-	20314275	0.00169779	2
EIF3D	22	-	36510849	0.00649351	2
IGLC2	22	+	22901413	0.0677966	8
IGLC3	22	+	22906763	0.0490196	5
IGLL5	22	+	22895519	0.0520833	5
MIF	22	+	23895212	0.0188679	2
RAC2	22	-	37225260	0.00283286	4
XRCC6	22	+	41663912	0.0206186	2
FAM43A	3	+	194688241	0.013986	2
GPX1	3	-	49357170	0.00369914	3
H1FX	3	-	129314770	0.00816327	4
HCLS1	3	-	121631398	0.00447427	2
MTMR14	3	+	9650541	0.0127389	2
RHOA	3	-	49359144	0.000594354	1
RPL29	3	-	51993521	0.0194507	27
RPL35A	3	+	197954151	0.00564175	16
RPSA	3	+	39412432	0.03125	2
RPS3A	4	+	151104287,151104644,151104125	0.270833,0.0751445,0.128351	13,13,18
CD74	5	-	150401636	0.0353276	58
COX7C	5	+	86620718	0.00160128	1
HIGD2A	5	+	176389601	0.0192308	2
NPM1	5	+	171410758,171406533	0.015544,0.015625	3,2
NSD1	5	+	177180465	0.000271321	3
RAB24	5	-	177301450	0.0376712	11
RACK1	5	-	181236908,181237131	0.00157007,0.0215486	10,12
ABHD16A	6	-	31686948	0.000330229	5
AL662899.1	6	-	31686961	0.000198886	5
CLIC1	6	-	31730580	0.0153048	3
GPSM3	6	-	32190765	0.00272727	3
HLA-A	6	+	29945825	0.0540541	20
HLA-B	6	-	31353871	0.0327332	20
HLA-C	6	-	31268748	0.00553228	13
HLA-DOB	6	-	32812762	0.000828844	2
HLA-DPB1	6	+	33086829	0.0340136	9
HLA-DRA	6	+	32444989	0.0231696	25
HLA-DRB1	6	-	32578768	0.0248447	7
LTB	6	-	31580554	0.0119522	12
MRPL18	6	+	159798245	0.0163934	2
QRSL1	6	+	106666180	0.011236	2
RNASET2	6	-	166929503	0.000116097	2
RPS10	6	-	34417453	0.00411523	3
SF3B5	6	-	144094880	0.00842697	3
TUBB	6	+	30724493	0.0208333	2
ZBTB22	6	-	33314405	0.00330033	2
ZNF322	6	-	26634382	0.00101283	3
AC004922.1	7	+	99394648	0.014652	8
AC105052.3	7	-	102637048	0.000103157	3
ACTB	7	-	5527146,5527278	0.0169828,0.0010004	32,1
ARF5	7	+	127591513	0.0186916	3
ARPC1B	7	+	99394746	0.0139752	9
GTF2IRD2B	7	+	75112699	0.04	3
MKRN1	7	-	140453039	9.36637e-05	2
UPK3BL1	7	-	102637024	0.006	3
ASAP1	8	-	130052103	2.55934e-05	7
EEF1D	8	-	143579696,143579975	0.0102079,0.00531507	9,3
PABPC1	8	-	100685815,100703440	0.000510799,0.00350104	9,5
RPL30	8	-	98041720,98042639	0.0715415,0.00314867	35,7
RPL8	8	-	144789765	0.0271515	31
RPS20	8	-	56072946	0.00811908	6
TCEA1	8	-	53966551,53993375	0.00128866,0.0144928	2,4
TP53INP1	8	-	94925971	0.000327118	2
VPS28	8	-	144423600	0.000826105	2
AL355987.1	9	-	136738166	0.000769823	5
FAM120AOS	9	-	93431440	0.000176367	3
LCN10	9	-	136738166	0.00134771	5
NRARP	9	-	137300481	0.00181488	2
PAXX	9	+	136993917	0.0267857	3
RPL35	9	-	124857879	0.00848896	5
RPS6	9	-	19378773	0.00347826	2
COX7B	X	+	77905242	0.000795862	2
CXorf21	X	-	30558823	0.00479233	3
IDS	X	-	149502659	0.00377358	2
MORF4L2	X	-	103675495	0.00300752	2
P2RY8	X	-	1462571	0.00103199	2
RPL10	X	+	154400911	0.0350877	2
RPL36A	X	+	101395411	0.00180397	6
RPL39	X	-	119786505	0.162921	29
SLC25A6	X	-	1386311	0.0205262	5
TMSB4X	X	+	12977203	0.0612245	24
TSC22D3	X	-	107713220	0.00770416	10
