ATP1A1	1	+	116404663	0.00913242	2
ATP5PB	1	+	111461133	0.0143885	2
C1orf162	1	+	111478231	0.0185185	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320448	0.0479452	7
CHTOP	1	+	153645179	0.0192308	2
CLSTN1	1	-	9729025,9729781,9736812	0.000437822,0.000483833,0.000174962	6,7,1
DDOST	1	-	20651766	0.00980392	6
DFFA	1	-	10461642	0.00196335	3
ENO1	1	-	8860999	0.000425472	3
ESPN	1	+	6461255	0.0285714	2
H3F3A	1	+	226071755	0.0181159	5
HDAC1	1	+	32333247	0.00985222	2
LAPTM5	1	-	30732468	0.00147167	2
MRPL20	1	-	1401907	0.0114286	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991673,153992135	0.275688,0.133171	27,22
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0273973	4
SELL	1	-	169690666	0.00179051	2
SLC30A7	1	+	100975384	0.00948767	5
SSR2	1	-	156009047	0.000392734	4
TTC13	1	-	230940508,230943327	0.000169004,0.000248752	2,3
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.0030896	3
UQCRH	1	+	46311441	0.0024855	3
GLUD1	10	-	87050485	0.00316206	4
ITGB1	10	-	32900318	0.00073046	6
NUDT5	10	-	12167737	0.000642055	2
RPS24	10	+	78040226,78040697	0.0642529,0.0241765	11,7
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00337735	50
CCDC73	11	-	32602245	0.00353982	2
CFL1	11	-	65854674	0.0075643	5
CORO1B	11	-	67435509	0.00152847	8
COX8A	11	+	63976508	0.0159574	2
CPSF7	11	-	61402640	0.000240906	2
EEF1G	11	-	62559600	0.025641	2
ETS1	11	-	128458760	0.00105876	4
FAU	11	-	65120627,65120965	0.0969697,0.0209125	16,11
HSPA8	11	-	123057488	0.0285714	7
IFITM1	11	+	315204	0.153846	14
IFITM2	11	+	315204	0.153846	14
NAP1L4	11	-	2944430	0.000200642	2
PIK3C2A	11	-	17141321	0.000408664	3
PTPRCAP	11	-	67435509	0.0269058	6
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119015836,119017315	0.0161267,0.104495,0.0124925	9,15,7
SIGIRR	11	-	405715	0.0106952	1
TMEM138	11	+	61368855	0.0136986	2
ARPC3	12	-	110434824	0.0121212	4
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719182	0.0416667	3
BLOC1S1-RDH5	12	+	55719182	0.0416667	3
CD27	12	+	6451530	0.0144928	2
COX6A1	12	+	120440660	0.0162602	2
DGKA	12	+	55953942	0.0172414	3
LDHB	12	-	21635341	0.025	5
NACA	12	-	56712427,56712748	0.0582048,0.0209631	12,13
NDUFA12	12	-	94971331	7.81311e-05	2
PRH1-PRR4	12	-	10845848	5.49662e-05	2
PRR4	12	-	10845848	0.00164745	2
RPL41	12	+	56117826	0.228477	69
RPLP0	12	-	120196685	0.0666667	12
N4BP2L1	13	-	32424921	0.00220507	2
PCID2	13	-	113177538	0.00455235	3
RPL21	13	+	27256331,27256500	0.081205,0.0436961	12,9
AL121594.1	14	+	35273625	0.0338983	2
AL928654.3	14	+	105488775	0.0442485	5
CHURC1	14	+	64932432	0.00858369	2
CHURC1-FNTB	14	+	64933095	0.00231214	2
CRIP1	14	+	105488775	0.0442485	5
DEGS2	14	-	100143956	0.0013947	4
IRF9	14	+	24166384	0.0212766	4
KIAA0391	14	+	35273625	0.0338983	2
RPS29	14	-	49583571	0.0421053	4
SYNJ2BP-COX16	14	-	70326063	0.00743494	2
AC245033.1	15	-	82536787,82538265,82538839	0.0114118,0.000329622,9.11306e-05	22,5,1
CHD2	15	+	92999555,92999103	0.00141643,0.000260485	2,2
NGRN	15	+	90271850	0.0483871	3
RORA	15	-	60488283	0.000218079	2
RPLP1	15	+	69456193	0.00291545	2
RPS17	15	-	82536749,82538227	0.0041699,0.0334982	6,20
SERF2	15	+	43793992	0.00913242	2
AC040162.1	16	-	67930924,67934607,67934794	0.00135858,0.0188857,0.00560827	5,13,2
AC093512.2	16	+	30070419	0.0575537	16
AC106886.5	16	+	30745169	0.000551876	3
AC120114.4	16	+	29819871	0.025641	3
ALDOA	16	+	30070420	0.0526316	16
C16orf54	16	-	29742462	0.00110254	2
CKLF	16	+	66565901	0.00142552	4
CKLF-CMTM1	16	+	66566082	0.00133914	4
CLUAP1	16	+	3512355	0.000741107	3
CORO1A	16	+	30189076	0.0178571	2
COTL1	16	-	84565593	0.00319744	4
IL32	16	+	3069521	0.0120482	2
ITGAL	16	+	30523184,30479189	0.00131666,0.00205286	2,8
MT2A	16	+	56609377	0.015625	3
NPIPB13	16	-	30230750	0.00453655	3
NUTF2	16	+	67872372	0.0013708	2
PAGR1	16	+	29819871	0.025641	3
RPL13	16	+	89562390,89562955,89563252	0.0103606,0.288694,0.0303754	1,57,12
RPS2	16	-	1962051,1962165	0.0328414,0.00224183	55,3
SEPT1	16	-	30378132	0.00120135	5
TMEM265	16	+	30744278	0.00895522	3
YPEL3	16	-	30092313	0.000817996	2
AC026954.2	17	-	7312660	0.00104239	3
AC134669.1	17	-	31305212	0.000338409	3
ACTG1	17	-	81509970	0.0361453	25
CYTH1	17	-	78674047	8.77193e-05	2
DDX5	17	-	64499615	0.00194384	9
EIF1	17	+	41691117	0.00687285	2
EVI2B	17	-	31303765	0.00603622	3
LASP1	17	+	38921767	0.000201296	5
NCOR1	17	-	16126131	0.000152625	7
NME1-NME2	17	+	51171722	0.027907	6
NME2	17	+	51171722	0.027907	6
PFN1	17	-	4945651	0.0362903	9
RPL19	17	+	39204732	0.0238095	2
RPL23	17	-	38847864	0.000810373	2
RPL26	17	-	8377515,8379733	0.181034,0.0602535	21,56
RPL27	17	+	43000099,43002780,43002956	0.00196458,0.0732587,0.0336599	1,27,5
SKAP1	17	-	48133439	3.34976e-05	3
TMEM107	17	-	8173236	0.00203915	5
UBB	17	+	16382689	0.0217391	2
MBP	18	-	77012778	0.000495663	2
NDC80	18	+	2582382	0.028169	2
RPL17-C18orf32	18	-	49481680	0.00131617	9
AC008763.3	19	+	7682769	0.05	14
AP2S1	19	-	46838135	0.00643087	2
DDX49	19	+	18920930	0.0260223	7
EEF2	19	-	3976055	0.0321285	15
GMFG	19	-	39328352	0.00473018	5
JAK3	19	-	17824785	0.00102197	2
JUND	19	-	18279759	0.00293686	2
KCNN4	19	-	43766532	0.000359971	2
MFSD12	19	-	3538260	0.000442478	2
NDUFA11	19	-	5894674	0.00101371	6
PET100	19	+	7631353	0.0172414	2
POLD1	19	+	50417860	0.00295858	2
RPL18	19	-	48615327,48615872	0.042735,0.0382277	5,28
RPL28	19	+	55388047,55388372	0.130966,0.0757237	4,12
RPL36	19	+	5691733	0.0539216	11
RPS11	19	+	49498045,49499650	0.0586019,0.0709692	7,14
RPS15	19	+	1440488	0.028297	3
RPS16	19	-	39433206	0.0586319	18
RPS19	19	+	41869191	0.00935579	35
RPS28	19	+	8322090,8322395	0.0936132,0.0396865	1,5
RPS9	19	+	54207581,54207522	0.139748,0.0851064	26,24
SNRPD2	19	-	45687453	0.00816327	2
TBCB	19	+	36125909,36125844	0.015748,0.0116279	2,2
UBA52	19	+	18575206	0.0357143	2
ZNF585A	19	-	37165384	0.00974771	2
ANKRD36C	2	-	95857457	2.56216e-05	1
ATRAID	2	+	27217027	0.0253165	2
CCDC93	2	-	117915477	6.99325e-05	2
CLK1	2	-	200853008	0.000297752	2
LIMS1	2	+	108684540	0.0110906	6
OST4	2	-	27070471	0.00569448	4
PCBP1	2	+	70089062	0.00806452	2
PRPF40A	2	-	152672547	0.000239006	5
PTMA	2	+	231712784,231713100	0.0128894,0.00927387	14,3
RNF149	2	-	101271221	0.00240154	5
RPL31	2	+	101006065	0.00169014	3
RPL37A	2	+	216500029,216501392	0.100182,0.0546595	7,6
SF3B6	2	-	24067583	0.011236	2
SH3YL1	2	-	218135	0.000155848	2
TMSB10	2	+	84906672	0.11245	28
ZC3H15	2	+	186501284	0.00181984	2
AL121845.3	20	+	63736418	0.00801603	3
CDC25B	20	+	3805382	0.00475059	2
EIF6	20	-	35278910	0.00176211	2
LIME1	20	+	63739103	0.137931	28
PLTP	20	-	45898620	0.00625	2
RPS21	20	+	62387913,62388489	0.0466913,0.03267	7,10
SLX4IP	20	+	10623592	0.0375587	8
SNRPB	20	-	2461633	0.000688426	3
ZBTB46	20	-	63743665	0.00122549	4
ZGPAT	20	+	63736008	0.0449438	4
RUNX1	21	-	34787800	2.15392e-05	2
SOD1	21	+	31668745	0.011976	2
U2AF1	21	-	43092955	0.000772921	5
AC253536.7	22	-	23971377	0.017341	2
AP000350.4	22	+	23895173	0.0648148	7
ATF4	22	+	39522683	0.0246914	2
DDT	22	-	23971364	0.016129	3
