SRSF4	1	-	29154735	0.000177415	2
MMS19	10	-	97458323	8.80747e-05	2
AP003419.1	11	-	67351571	0.0118203	5
PZP	12	-	9148839	5.58899e-05	3
NPIPB12	16	-	29483641	0.0425532	2
SPG7	16	+	89513271	0.024055	7
TCF25	16	+	89883417	0.000406669	2
NME1-NME2	17	+	51171651	0.0138889	2
NME2	17	+	51171651	0.0138889	2
IRF3	19	-	49659569	0.000843882	2
RPS9	19	+	54207495,54207494	0.00206398,0.00215285	1,1
UCKL1	20	-	63939828	0.00350467	3
AC097634.4	3	-	70959225	2.73625e-06	2
MUC20	3	+	195733369	0.0331126	5
USP4	3	-	49316731	0.0142857	5
HLA-B	6	-	31353871	0.00490998	3
LEPROTL1	8	+	30105813	0.00224467	2
PARP10	8	-	143977152	0.000339271	2
