JUN	1	-	58780787	0.001554	2
RPS27	1	+	153992136	0.0392157	22
RSRP1	1	-	25242236	0.00138885	3
SFPQ	1	-	35176377	0.00488687	7
SSR2	1	-	156009047	0.000196367	2
ZYG11B	1	+	52805621	0.0206897	3
WAC	10	+	28534390	0.0538462	7
AP002990.1	11	-	62559602	0.000389138	5
BSCL2	11	-	62690274	0.00891479	9
FAU	11	-	65120627	0.00347222	3
HNRNPUL2-BSCL2	11	-	62690274	0.000586236	9
RPS25	11	-	119015711	0.00314607	7
CD27	12	+	6451470	0.025641	2
CSAD	12	-	53157662	0.000209585	3
DDIT3	12	-	57516587	0.0135747	3
GAPDH	12	+	6538341	0.0175439	3
UBC	12	-	124911603	0.0181818	2
ZNF140	12	+	133083719	0.0294118	7
RPL21	13	+	27256333,27256513	0.0404724,0.0252077	6,5
NFKBIA	14	-	35401510	0.00218818	4
RPS29	14	-	49583571	0.0315789	3
DIS3L	15	+	66308914,66308914	0.0289855,0.0289855	4,4
ATP6V0C	16	+	2519951	0.0242718	5
COTL1	16	-	84565593	0.00159872	2
RPL13	16	+	89562391,89563117	0.0781448,0.0681003	9,20
RPS2	16	-	1962051	0.00885122	14
SPG7	16	+	89513374	0.0203046	7
AC005837.2	17	+	76738436	0.0222222	2
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691214	0.00515464	2
EIF4A1	17	+	7578660	0.0862069	15
GRAPL	17	+	19155103	0.000182017	2
NLRP1	17	-	5499426	0.000837872	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515	0.000632111	2
RPL27	17	+	43002958	0.0011774	4
TUBD1	17	-	59860321	0.000246134	5
ELL	19	-	18442662	0.000105891	3
JUND	19	-	18279759	0.00587372	4
PEAK3	19	-	2274621	0.00378072	4
RPL18	19	-	48615327	0.00487796	6
RPL28	19	+	55388047,55388333	0.084668,0.0537736	2,5
RPL36	19	+	5691676	0.0180723	3
RPS16	19	-	39433206	0.0162866	5
RPS28	19	+	8322346	0.0110701	3
RPS9	19	+	54207521,54207520	0.0314888,0.00418848	3,4
ARHGAP25	2	+	68826668	0.00632911	3
DUSP2	2	-	96143165	0.00913242	6
RGPD2	2	-	87755954	0.00139179	2
RPL37A	2	+	216501415	0.0266613	4
TMSB10	2	+	84906649	0.0530973	12
RPS21	20	+	62388364	0.0289855	4
MTMR14	3	+	9650563	0.0111732	2
RPL29	3	-	51993521	0.00347464	5
UMPS	3	+	124731702	0.0197368	3
RPS3A	4	+	151104283,151104592,151104164	0.0283661,0.039952,0.00311769	1,6,4
USP38	4	+	143204634	0.0357143	5
CAMK4	5	+	111394884,111395479,111394884,111395479	0.0321243,0.0151354,0.0321243,0.0151354	4,11,4,11
EGR1	5	+	138469315	0.00324149	4
FBXW11	5	-	171861548,171894987,171920185	9.03396e-05,2.19818e-05,1.9882e-05	12,2,1
HNRNPH1	5	-	179614177	0.000257301	2
RACK1	5	-	181236908	0.00101873	6
SQSTM1	5	+	179821983	0.0192308	8
UBE2B	5	+	134388600	0.0338346	9
GPSM3	6	-	32190765	0.00181818	2
HLA-A	6	+	29945686	0.017316	4
HLA-B	6	-	31353871	0.00490998	3
LTB	6	-	31580554	0.00199203	2
RPS18	6	+	33276507	0.0487805	2
AC105052.3	7	-	102637048	0.000103157	3
ACTB	7	-	5527146	0.00368809	7
CDK6	7	-	92604920	0.000195714	2
HNRNPA2B1	7	-	26173056	0.00019758	4
NFE2L3	7	+	26185867	0.0357143	3
UPK3BL1	7	-	102637024	0.006	3
RPL30	8	-	98041720	0.00745603	18
RPL8	8	-	144789765	0.00253303	3
RPS20	8	-	56072946	0.0067659	5
DNAJA1	9	+	33038956	0.0377358	2
NCBP1	9	+	97645201	0.0333333	2
RPL35	9	-	124857879	0.0101868	6
APOO	X	-	23833352	7.88364e-05	2
SAT1	X	+	23786066	0.0285714	6
TMSB4X	X	+	12976981	0.0176471	3
EIF1AY	Y	+	20592493	0.0136054	2
