AK2	1	-	33007939	8.44381e-05	2
AL713999.1	1	-	155169408	0.001922	7
ARHGAP30	1	-	161046947,161048789	0.0065189,0.000263667	5,2
ARHGEF2	1	-	155946850	0.000500626	1
ATP5IF1	1	+	28238033	0.0249944	4
ATP5PB	1	+	111461280	0.013986	4
C1orf162	1	+	111478362	0.0083682	1
C1orf74	1	-	209779207	0.000552944	2
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.0326797	10
CDA	1	+	20618708	0.0214286	3
CTSS	1	-	150730195	0.000619877	10
DDOST	1	-	20651766	0.00490196	3
EIF3I	1	+	32231394	0.0151515	3
ENO1	1	-	8860999	0.000992767	6
FCER1G	1	+	161219237	0.0612245	18
FOXJ3	1	-	42176538	0.000630716	2
GNB1	1	-	1785284	0.000977517	2
GUK1	1	+	228148787	0.0222222	2
HAX1	1	+	154275508	0.00738007	2
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851623	0.034188	4
INTS11	1	-	1311584	0.00017328	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00956586	13
LBR	1	-	225401501	0.00111049	2
LYSMD1	1	-	151159747	0.00617284	7
MAD2L2	1	-	11674479	0.00677966	2
MCL1	1	-	150574550	0.00318697	9
MNDA	1	+	158849465	0.0175439	4
MTMR11	1	-	149928651	0.00419287	2
NBPF14	1	-	148531384	6.52926e-05	3
NCF2	1	-	183555562	0.0162162	9
NFYC	1	+	40770924	0.0208333	2
PARK7	1	+	7985214	0.025	4
PGD	1	+	10419970	0.0180995	4
PHACTR4	1	+	28462880	0.000268097	8
PLEKHO1	1	+	150159630	0.0186916	1
PRDX1	1	-	45511035	0.00682594	2
PTCH2	1	-	44819843	0.00236686	2
PTP4A2	1	-	31906420	0.000269869	2
PYGO2	1	-	154957025	0.00171135	3
RPA2	1	-	27891523	0.00312989	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991676,153992155	0.19802,0.0446735	20,13
RSRP1	1	-	25242236	0.0017507	5
RTCA	1	+	100291733	0.0131004	3
S100A10	1	-	151982914	0.0887097	22
S100A11	1	-	152032505	0.0384615	6
S100A12	1	-	153373705	0.0826446	10
S100A4	1	-	153543612	0.10274	15
S100A6	1	-	153534598	0.0721649	6
S100A8	1	-	153390031	0.056338	4
S100A9	1	+	153360896,153361027	1.1143,0.351167	64,66
SDF4	1	-	1216907	0.00116754	2
SH3BGRL3	1	+	26281237,26281345	0.0659981,0.0559019	16,20
SRSF4	1	-	29154735	0.000177415	2
SSR2	1	-	156009047	0.000196367	2
SVBP	1	-	42807051	0.0110497	4
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.0244879	16
TMEM50A	1	+	25360909	0.00980392	2
TMEM56-RWDD3	1	+	95244535	0.0140351	4
TRAF3IP3	1	+	209779545	0.00205562	2
TTC4	1	+	54742255	0.00673854	5
TXNIP	1	-	145992434	0.00635593	9
UBXN11	1	-	26281327	0.0195675	19
UQCRH	1	+	46316706	0.00086684	5
ADAM8	10	-	133262402	0.00155521	2
GDI2	10	-	5765222	0.0117925	10
IL15RA	10	-	5952370	0.00224972	2
NCOA4	10	-	46005087	0.000985464	4
NDST2	10	-	73801910	0.00740741	4
NDUFB8	10	-	100523936	0.000367715	2
PSAP	10	-	71816297	0.0122485	14
RPS24	10	+	78040226,78040702	0.0915923,0.0678574	2,6
SRGN	10	+	69104581	0.0607375	28
VDAC2	10	+	75231248	0.019305	5
VIM	10	+	17236377,17237570	0.00885666,0.138285	1,100
AHNAK	11	-	62515904	0.00476758	4
ANAPC15	11	-	72109582	0.00671141	2
ANKRD13D	11	+	67302418	0.0232558	2
AP001931.1	11	+	57742248,57743039	0.0710215,0.0903766	2,18
AP002990.1	11	-	62559602	0.00519263	77
AP003419.1	11	-	67351571	0.0070922	3
APLP2	11	+	130121145	0.00705882	3
ATP5MG	11	+	118409153	0.062886	14
CARD16	11	-	105041522	0.000998502	2
CCDC73	11	-	32602245	0.00353982	2
CCDC85B	11	+	65891577	0.0108108	2
CELF1	11	-	47465932	0.000635223	4
COX8A	11	+	63976431	0.045045	5
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.00372093	8
EEF1G	11	-	62559600	0.0384615	3
FAU	11	-	65120627,65120924	0.0967742,0.026455	12,15
FERMT3	11	+	64223618	0.0238095	3
HSPA8	11	-	123057488	0.0203834	4
LAMTOR1	11	-	72097291	0.00724638	8
LDHA	11	+	18406946,18400932	0.00109215,0.000938086	6,2
LMO2	11	-	33858575	0.00128473	8
MS4A6A	11	-	60172013	0.000958926	6
PPP1CA	11	-	67398182	0.0227273	8
PPP1R14B	11	-	64244479	0.00729927	2
RAD9A	11	+	67392947	0.0280899	5
RHOG	11	-	3826977	0.00854701	5
RNH1	11	-	494511	0.000321543	2
RPL27A	11	+	8684749,8685795	0.00791705,0.0118968	6,14
RPS25	11	-	119015711,119017317	0.0382987,0.00169962	25,1
RTN3	11	+	63759890	0.000441176	3
SELENOH	11	+	57742248,57743039	0.0710215,0.0903766	2,18
SF1	11	-	64764605	0.00055269	3
SIPA1	11	+	65650769	0.037037	2
SPI1	11	-	47354859	0.00641026	4
TALDO1	11	+	764956	0.0482516	7
TMEM9B	11	-	8947293	0.00194932	2
TPP1	11	-	6612762	0.00031109	2
UBE2L6	11	-	57551655	0.002849	2
UNC93B1	11	-	67991103	0.00452489	2
AC006064.6	12	-	6556885	0.000227046	5
AC023055.1	12	-	55757274	0.0253165	6
ARHGAP9	12	-	57472254	0.00289645	3
ARHGDIB	12	-	14942016	0.0237624	12
ARPC3	12	-	110434824	0.0666667	22
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719624	0.0155642	8
BLOC1S1-RDH5	12	+	55719624	0.0155642	8
CCDC65	12	+	48919778,48919961	0.000106497,0.000428885	1,6
CDK2AP1	12	-	123260970	0.00522876	3
CHD4	12	-	6570081	9.9965e-05	2
CLEC4A	12	+	8138448	0.0248447	3
COX6A1	12	+	120440673	0.0147059	2
DYNLL1	12	+	120498326	0.0307692	6
EIF4B	12	+	53042207	0.00401966	7
GALNT4	12	-	89519407	0.000587372	2
GAPDH	12	+	6538352	0.10989	20
GLIPR1	12	+	75498874	0.00152158	4
H2AFJ	12	+	14774931	0.028169	2
HDAC7	12	-	47782721	0.000204165	3
HNRNPA1	12	+	54285069,54286706	0.00553908,0.00493482	4,11
HSP90B1	12	+	103953602	0.0192308	4
LDHB	12	-	21635341	0.02	4
LTA4H	12	-	96000827	0.000126737	3
MAP3K12	12	-	53479668	0.00132188	2
