ADAR	1	-	154582056	0.000255004	2
ADIPOR1	1	-	202940822	0.00101523	3
AL031281.2	1	+	22092080,22101358	0.0438651,0.000538964	24,5
AL445685.3	1	-	52020152	0.000239158	3
AL713999.1	1	-	155169408	0.0138966	15
ARHGAP30	1	-	161046947	0.00782269	6
ARHGEF2	1	-	155946850	0.000500626	1
C1orf162	1	+	111478425	0.0231788	7
C1orf43	1	-	154206695	0.000381728	3
CAPZB	1	-	19338775	0.00125439	5
CD48	1	-	160678745	0.0424837	13
CD52	1	+	26320488	0.0752688	14
CDC42	1	+	22092080,22092944	0.038546,0.00581542	21,8
CDK11A	1	-	1702729	0.00478334	10
CREG1	1	-	167541012	0.00311284	4
CSDE1	1	-	114716912	0.00318471	4
CSF3R	1	-	36466042	0.0191083	6
CTSS	1	-	150730195,150730509,150732280	0.00318165,0.000378779,0.000590445	56,6,9
DDOST	1	-	20651766	0.0196041	11
DR1	1	+	93360763	0.016129	2
EIF3I	1	+	32231483	0.010453	3
ENO1	1	-	8860999	0.000709119	5
EVA1B	1	-	36322030	0.00757576	2
FCER1G	1	+	161219219	0.076087	21
FCGR1A	1	+	149791634	0.017094	2
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00255489	8
GSTM2	1	+	109675246	0.00243902	1
INTS11	1	-	1311584	0.00025992	3
IVNS1ABP	1	-	185296387	0.00242866	4
JUN	1	-	58780787	0.001554	2
KLHL12	1	-	202891099	0.00130124	2
LAMTOR5	1	-	110401248	0.0145985	4
LAPTM5	1	-	30732468	0.0110375	15
LRRC8D	1	+	89935737	0.0217391	2
LYST	1	-	235661040	2.34793e-05	3
MINOS1	1	+	19626551	0.0266667	4
MNDA	1	+	158849502	0.0603774	16
MRPL9	1	-	151759642	0.000704473	2
NBPF9	1	-	149054026	0.000205023	2
NIT1	1	+	161120873	0.0185185	2
NLRP3	1	+	247426741,247425684	0.00175747,0.0246914	1,2
PARK7	1	+	7985267	0.0140845	3
PEF1	1	-	31629861	0.00266312	2
PGD	1	+	10419895	0.0205479	3
PRDX1	1	-	45511035	0.0102389	3
PTCH2	1	-	44819843	0.00473373	4
RAB29	1	-	205767985	0.000698324	2
RNPEP	1	+	202005831	0.0173913	2
RPL11	1	+	23695222	0.000612745	2
RPL22	1	-	6185019	0.00359682	5
RPS27	1	+	153991675,153992154	0.14,0.0326087	14,3
RTCA	1	+	100291613	0.0183486	2
S100A10	1	-	151982914	0.112903	28
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0495868	6
S100A4	1	-	153543612	0.143836	21
S100A6	1	-	153534598	0.0721649	6
S100A8	1	-	153390031	0.323944	23
S100A9	1	+	153361027	1.68783	319
SDHB	1	-	17018721	0.0125786	2
SELL	1	-	169690666	0.00447628	5
SH3BGRL3	1	+	26281400	0.0527578	22
SRM	1	-	11054588	0.00699301	2
SRSF4	1	-	29147742	0.0029985	2
SSR2	1	-	156009047	0.000196367	2
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.011544	8
TPM3	1	-	154155303,154156886,154157261,154160048,154160236	0.00138825,0.000656341,0.000130837,0.00234554,0.000139895	24,10,2,30,1
TXNDC12	1	-	52020130	0.000288323	3
TXNIP	1	-	145992434	0.0138137	19
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.0123584	12
UFC1	1	+	161158672	0.0166667	3
WASF2	1	-	27404225	0.00100934	4
YARS	1	-	32775238	0.00269542	2
ADK	10	+	74708626	0.0110497	2
APBB1IP	10	+	26567650	0.0123457	2
ATP5F1C	10	+	7807714	0.0027248	2
ECHS1	10	-	133362479	0.00515464	2
FRAT1	10	+	97320416	0.0162602	2
GDI2	10	-	5765222	0.00353774	3
GLUD1	10	-	87050485	0.00158103	2
LARP4B	10	-	806913	0.000332668	2
LIPA	10	-	89213568	0.00476569	6
NCOA4	10	-	46005087	0.000985464	4
NDUFB8	10	-	100523936	0.000735429	4
NRBF2	10	+	63155031	0.00369004	3
OGA	10	-	101784442	0.000996016	2
PPA1	10	-	70202829	0.00615385	2
PRDX3	10	-	119167702	0.002574	2
PSAP	10	-	71816297	0.0244969	28
RGS10	10	-	119499827	0.0105263	3
RPS24	10	+	78040671	0.0701734	4
