AC093423.3	1	+	89866133,89928051,89933247	9.15673e-05,1.74544e-05,8.33695e-05	2,1,7
AC114490.2	1	-	34981532	0.0029301	7
AKR7L	1	-	19265981	0.00146306	2
AL031281.2	1	+	22091858	0.0058651	2
APH1A	1	-	150265398	0.00356189	4
ASH1L	1	-	155481410	0.000231768	9
ATP13A2	1	-	16985957	0.00760456	2
ATP5PB	1	+	111461231	0.021097	5
BTF3L4	1	+	52090716	0.000500501	2
BTG2	1	+	203307982	0.00367647	2
C1orf162	1	+	111478484	0.033241	12
CACYBP	1	+	175010160	0.0246914	2
CAPZB	1	-	19338775	0.00125439	5
CD48	1	-	160678745	0.0326797	10
CD52	1	+	26320515	0.0704225	15
CDA	1	+	20618705	0.0145985	2
CDC42	1	+	22091858	0.0058651	2
CDC73	1	+	193147833	0.000334896	2
CSDE1	1	-	114716912	0.00159236	2
CSF3R	1	-	36466042	0.0127389	4
DUSP23	1	+	159782428	0.0222222	2
EFHD2	1	+	15430342	0.00184957	3
ELOA	1	+	23759682	0.0183486	2
ENO1	1	-	8860999	0.000709119	5
FCER1G	1	+	161219190	0.0647773	16
GNB1	1	-	1785284	0.00193825	3
GNG5	1	-	84498324	0.00170026	5
GUK1	1	+	228148843	0.0136986	2
HDGF	1	-	156742106	0.00149031	2
HIST2H2AA4	1	+	149851623	0.034188	4
HMGCL	1	-	23801884	5.52792e-05	2
IFI6	1	-	27666060	0.00625	2
INTS11	1	-	1311584	0.00017328	2
JUN	1	-	58780787	0.004662	6
LAMTOR2	1	+	156058447	0.0263158	2
LAPTM5	1	-	30732468	0.0117734	16
LRRC42	1	+	53968045	0.0188679	2
LSM10	1	-	36393429	0.0121616	3
MCL1	1	-	150574550	0.00389518	11
MINOS1	1	+	19626572	0.0292398	5
MNDA	1	+	158849416	0.0558659	10
MRPL20	1	-	1401907	0.0114286	2
MRTO4	1	+	19260125	0.0015444	2
NBPF14	1	-	148531384	4.35284e-05	2
NBPF15	1	-	144421385	0.00184388	3
NCF2	1	-	183555562	0.0144144	8
PABPC4	1	-	39560815	0.00226757	2
PARK7	1	+	7985265	0.0331754	7
PGD	1	+	10404273	0.000791557	3
PRDX1	1	-	45511035	0.0204778	6
PTGS2	1	-	186671790	0.00078064	2
RABGAP1L	1	+	174958014	0.0183486	2
RCC2	1	-	17406759	0.00170148	3
RPL11	1	+	23692606,23696353	0.0133421,0.000535675	8,2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153992147	0.0297203	17
S100A10	1	-	151982914	0.0685484	17
S100A11	1	-	152032505	0.102564	16
S100A4	1	-	153543612	0.143836	21
S100A6	1	-	153534598	0.103093	10
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360907,153361027	0.909354,0.250024	62,47
SH3BGRL3	1	+	26281322	0.100295	34
TAGLN2	1	-	159918106	0.00865801	6
TMEM35B	1	-	34981534	0.0171149	7
TMEM50A	1	+	25360798	0.0215054	2
TMEM56-RWDD3	1	+	95247054	0.0163043	3
TXNIP	1	-	145992434	0.00847458	12
UBE2J2	1	-	1253908	0.000143379	1
UBXN11	1	-	26281327	0.0205973	20
UFC1	1	+	161158600	0.0277778	3
UQCRH	1	+	46316759	0.000858993	5
AL355315.1	10	+	97673853	0.027027	3
